"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
350	0.0072861	0.0196869	0.7509267	0.7526785	0.7548715	0.3372246	0.4927557	0.8563606	0.0457849	0.7610123
400	0.0049275	0.0183436	0.7684033	0.7719137	0.6905373	0.3415290	0.5737461	0.6706123	0.0751848	0.7115338
450	0.0168288	0.0158176	0.8535538	0.7464762	0.7036443	0.2895314	0.4603296	0.6616366	0.1233941	0.5979132
500	0.0049798	0.0154184	0.5917534	0.6225497	0.6467262	0.3084683	0.6152258	0.6784498	0.0998077	0.5426840
550	0.0606696	0.0246205	0.7052355	0.8222374	0.7365952	0.2547741	0.3521539	0.8246671	0.1446219	0.6928095
600	0.0321939	0.0851064	0.7461330	0.7365781	0.7089720	0.3170078	0.3146548	0.8083898	0.1917907	0.6758899
650	0.0722655	0.0480340	0.6338664	0.8308010	0.7851775	0.3159113	0.3300778	0.8524420	0.2444232	0.6459709
700	0.0535969	0.0777925	0.7592046	0.6544481	0.7372463	0.3469170	0.3224832	0.8425895	0.2076827	0.6900616
750	0.0240852	0.0766082	0.6413300	0.6277254	0.6916603	0.3260985	0.3689884	0.6598792	0.2016236	0.7457124
800	0.0349213	0.0588900	0.7191310	0.6015490	0.7149874	0.3635689	0.4120618	0.6582244	0.3914036	0.7035052
850	0.0356650	0.0983357	0.7518571	0.6357509	0.7090779	0.2396922	0.4155511	0.5997132	0.2599029	0.7481113
900	0.0615139	0.1170352	0.7731987	0.7364633	0.7146221	0.3602669	0.3761347	0.6165103	0.1657771	0.6806575
950	0.0318489	0.1129485	0.6614583	0.5741893	0.7806931	0.2427001	0.4061311	0.6830617	0.1738584	0.7544427
1000	0.0384177	0.0478953	0.6321653	0.7668697	0.9237675	0.2543473	0.4438718	0.7270871	0.1848288	0.7314657

0	0.0467155	0.0552062	0.7024462	0.7112158	0.7544219	0.2934319	0.4498727	0.6679739	0.2295189	0.8265033
50	0.0426256	0.0337444	0.5494732	0.6442135	0.7889238	0.3841734	0.2428921	0.7784573	0.1778783	0.7593143
100	0.0594141	0.1025647	0.7624915	0.6785628	0.6417605	0.4601042	0.2571049	0.6454481	0.1807335	0.6899998
150	0.0346907	0.0497972	0.7026176	0.8110694	0.7461959	0.4148121	0.2422847	0.7378147	0.3152496	0.6256227
200	0.0929408	0.0637686	0.8297666	0.8420753	0.6936879	0.4593129	0.1634150	0.7419885	0.1931099	0.6667732
250	0.0315696	0.0902535	0.7496606	0.7518240	0.8868125	0.4822933	0.1525955	0.7399266	0.2047464	0.6253667
300	0.0583336	0.0635001	0.8063247	0.6515441	0.6670287	0.5937208	0.1673617	0.8394756	0.1482812	0.6521659
350	0.0492512	0.0908911	0.7359002	0.8446304	0.6556943	0.4596869	0.1632232	0.7460269	0.2031227	0.7179472
400	0.0393730	0.0664693	0.7021811	0.7070304	0.7801955	0.4821017	0.2313765	0.7241781	0.1746205	0.7169539
450	0.0683402	0.0738918	0.7947575	0.7100744	0.7245945	0.4558032	0.2315756	0.7278886	0.2109167	0.6358190
500	0.0160120	0.0570929	0.7215439	0.7760451	0.7540082	0.4101721	0.1820094	0.7456159	0.2086438	0.6898349
550	0.0290005	0.0675577	0.7174885	0.6679334	0.7181803	0.3745290	0.3481265	0.6121501	0.2169328	0.8095223
600	0.0192375	0.0834628	0.7169498	0.6891630	0.7730026	0.4461594	0.4213827	0.6974432	0.1382231	0.7530839
650	0.0771888	0.0519342	0.7251936	0.6873675	0.6849697	0.3703533	0.4324576	0.7157983	0.2182148	0.7694070
700	0.0616969	0.0656562	0.8385937	0.6429606	0.6563517	0.3631739	0.3316756	0.7914643	0.2191838	0.6930873
750	0.0547485	0.0707296	0.6960184	0.7053825	0.7587617	0.2897026	0.3485743	0.6129542	0.1889785	0.8354917
800	0.0543267	0.0377871	0.8669161	0.8065839	0.6773959	0.2767278	0.4881678	0.6262547	0.2336066	0.9281673
850	0.1046562	0.0497106	0.7574795	0.8867040	0.5159163	0.2347411	0.5446437	0.7750134	0.2387626	0.6930305
900	0.0461442	0.0739964	0.7696781	0.6127137	0.6410666	0.2486204	0.4864971	0.8148423	0.1764103	0.7366038
950	0.0279329	0.0520186	0.6171328	0.6886101	0.8466986	0.2940171	0.4130099	0.6935623	0.1561070	0.7105817
1000	0.0527365	0.0621836	0.6652790	0.6318624	0.7153555	0.2696714	0.4153157	0.7048928	0.2382136	0.7675151

0	0.0529902	0.0873893	0.7503376	0.6269031	0.7574089	0.3372669	0.3630528	0.7678457	0.2219206	0.6933975
50	0.0517137	0.0836401	0.8607062	0.7219587	0.7162775	0.1125382	0.1188019	0.7024779	0.2005487	0.3385901
100	0.0240711	0.0593569	0.7041876	0.5737101	0.7096948	0.0663322	0.1047668	0.7650825	0.1935034	0.3432880
150	0.0168648	0.0738485	0.6810910	0.8133863	0.5739876	0.0641030	0.0941787	0.7888944	0.1734432	0.3794453
200	0.0426766	0.0805792	0.7596504	0.6674303	0.7418539	0.0701131	0.1556643	0.7394804	0.2061674	0.3796312
250	0.0405110	0.0832987	0.8285040	0.9461277	0.5112932	0.0988456	0.1355202	0.7138267	0.2514035	0.2671593
300	0.0671313	0.0341491	0.7372577	0.7071547	0.6964178	0.0706815	0.1355659	0.6246966	0.2622190	0.3210121
350	0.0447389	0.0500264	0.5882771	0.7518591	0.6133549	0.0602106	0.1067010	0.8286651	0.2390581	0.3628143
400	0.0411425	0.0908164	0.6213235	0.7157766	0.5830215	0.0564995	0.1469295	0.5996624	0.2659355	0.3993448
450	0.0357234	0.0757773	0.7474578	0.6432743	0.6560835	0.0588665	0.1391631	0.6641375	0.2557693	0.2975517
500	0.0836543	0.0550379	0.8058244	0.7288870	0.5311532	0.0483369	0.1315058	0.7575962	0.2815889	0.3537387
550	0.0289227	0.0785148	0.6071825	0.7288582	0.5491174	0.3864960	0.3633753	0.7577951	0.2817843	0.8105570
600	0.0329724	0.0541826	0.6018643	0.7116549	0.7038640	0.3270456	0.2938667	0.7720744	0.2174942	0.8037996
650	0.0353264	0.0463827	0.8020786	0.5796293	0.5717048	0.3859967	0.5097552	0.8169865	0.2579152	0.7363346
700	0.0490165	0.0629651	0.6568689	0.6857223	0.7594189	0.3471729	0.5475879	0.6390718	0.2279529	0.7431887
750	0.0324618	0.0916092	0.7258066	0.6542781	0.6519239	0.2692772	0.3849514	0.7860353	0.1776260	0.9308370
800	0.0614603	0.0822616	0.7506127	0.7552129	0.6663836	0.3320616	0.4871819	0.6480959	0.2019030	0.6774453
850	0.0285750	0.0893179	0.6547967	0.7376541	0.7316783	0.3138180	0.4085979	0.7991476	0.2036959	0.8504589
900	0.0344067	0.0527524	0.7828602	0.6306793	0.6086923	0.3814104	0.3439702	0.6208007	0.1725125	0.7388109
950	0.0184368	0.0626612	0.7603262	0.6630228	0.8262550	0.2698622	0.4523291	0.6255025	0.1609533	0.8320239
1000	0.0709708	0.0508596	0.6611317	0.6992188	0.6672794	0.3166596	0.3089721	0.6486653	0.2060980	0.8602694

0	0.0403207	0.0628515	0.7314948	0.7639091	0.7281614	0.3887440	0.3211441	0.7218189	0.1889276	0.5991187
50	0.0217162	0.0129579	0.8181424	0.7616123	0.6709302	0.1258146	0.3415715	0.7271199	0.1539631	0.7523731
100	0.0533241	0.0000285	0.8097849	0.6806489	0.7401339	0.0709966	0.3048173	0.6734339	0.0842555	0.7091982
150	0.0305775	0.0079525	0.7066858	0.7024615	0.7757470	0.0698751	0.3573838	0.7809667	0.1065500	0.7017093
200	0.0540774	0.0002188	0.7082451	0.6775249	0.6587531	0.0720715	0.4205698	0.7237756	0.0850175	0.9092844
250	0.0321548	0.0017154	0.6528938	0.6362986	0.5628953	0.0552849	0.5125157	0.7611443	0.0714011	0.7400270
300	0.0560037	0.0013375	0.7331071	0.7393318	0.5757540	0.0587225	0.3399012	0.6717742	0.1075398	0.8634464
350	0.0661660	0.0009619	0.7021890	0.7205203	0.5291116	0.0412423	0.4445499	0.7060318	0.0839243	0.7774607
400	0.0456326	0.0004203	0.8140403	0.7571695	0.5973645	0.0394353	0.4751848	0.7088478	0.0577052	0.7254725
450	0.0775745	0.0003275	0.6584084	0.6773751	0.5082748	0.0386451	0.3494791	0.7172517	0.0598451	0.8018024
500	0.0510997	0.0000173	0.7382397	0.7800224	0.3777074	0.0722378	0.3757485	0.6490756	0.0769198	0.6694887
550	0.0709706	0.0894696	0.6566731	0.7707470	0.6087041	0.2713650	0.3891583	0.7223525	0.1637856	0.7064703
600	0.0261564	0.0941724	0.6540629	0.6664865	0.5968678	0.3344344	0.3963801	0.6525007	0.1868812	0.6151374
650	0.0289281	0.0549425	0.6541439	0.7052399	0.7763317	0.3409613	0.3341831	0.7818234	0.1433376	0.6801664
700	0.0436680	0.0692476	0.7060538	0.5807325	0.6172652	0.3874681	0.3479358	0.8053959	0.1634704	0.7852353
750	0.0566904	0.0895578	0.8467658	0.7378859	0.8067610	0.3324432	0.4186403	0.7240851	0.2400821	0.7700869
800	0.0586546	0.0765220	0.7264057	0.7347335	0.7654855	0.3650126	0.4083290	0.6219152	0.2331494	0.7502393
850	0.0372458	0.0814707	0.7059983	0.6969093	0.6979709	0.3205055	0.3941856	0.7893229	0.1965914	0.8118658
900	0.0232857	0.0886854	0.6349456	0.7601251	0.6692811	0.3190916	0.4005413	0.6239280	0.2742920	0.8198238
950	0.0724307	0.0952215	0.7771536	0.7052343	0.7996902	0.2499654	0.4792652	0.7744391	0.2482582	0.6299294
1000	0.0399562	0.0862211	0.7642300	0.8492197	0.6171517	0.3464633	0.4453198	0.6960417	0.2119850	0.7770741
