"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
950	0.5416457	0.0636173	0.1571926	0.2020281	0.4508454	0.1250730	0.4029671	0.3926974	0.2718583	0.6956001
1000	0.5680128	0.0624615	0.1808606	0.1836478	0.4162402	0.2067461	0.4867155	0.1853708	0.3743618	0.7544899

0	0.5479426	0.1288325	0.1846580	0.2943156	0.2000288	0.3903089	0.6042886	0.4013778	0.4254769	0.7240205
50	0.6330752	0.1904187	0.4371882	0.4391280	0.1550716	0.4615986	0.4560551	0.4406865	0.3262813	0.3718859
100	0.7235739	0.2494782	0.4805296	0.5681412	0.0828152	0.5336397	0.4051121	0.5363419	0.4115300	0.1427708
150	0.9253208	0.2919536	0.5268629	0.6407765	0.0856735	0.5059532	0.4205338	0.7223921	0.5943960	0.0858829
200	0.7934712	0.3183811	0.5248562	0.6195756	0.0957501	0.6477557	0.5276551	0.5888919	0.7021756	0.0977442
250	0.7380794	0.3037666	0.4673725	0.6913194	0.0997181	0.5331274	0.4347563	0.6576918	0.6265384	0.0482277
300	0.8247034	0.3619563	0.5437637	0.7919191	0.0780542	0.6669791	0.4153067	0.6619162	0.6047514	0.0678486
350	0.7636413	0.3581634	0.6202921	0.8108903	0.0431461	0.4607105	0.3132262	0.6698152	0.7577576	0.0763161
400	0.6797417	0.3340107	0.6545427	0.7463337	0.0678208	0.5649487	0.3401724	0.7605110	0.7300450	0.0715132
450	0.6952142	0.2613803	0.5348232	0.7732168	0.0891607	0.4860665	0.3640402	0.7042908	0.7614552	0.0468038
500	0.8371803	0.3632134	0.5163814	0.7091384	0.0975749	0.5591773	0.3383566	0.5679256	0.6389344	0.0617266
550	0.5191423	0.2987304	0.5428237	0.6053910	0.0892524	0.3264041	0.2906483	0.5555511	0.8371249	0.5340232
600	0.4149149	0.1920956	0.3535969	0.7475840	0.1372251	0.1553650	0.2564203	0.6156677	0.7282866	0.7356458
650	0.3388882	0.0561194	0.2336713	0.5341875	0.2010927	0.1239828	0.3199101	0.7251588	0.6052870	0.7893628
700	0.3922535	0.0457947	0.2048533	0.4368347	0.4429045	0.0829290	0.3037567	0.4986884	0.4587536	0.8321384
750	0.3484098	0.0325074	0.1444047	0.2126284	0.4368863	0.0983115	0.4348944	0.3359957	0.4448696	0.9142540
800	0.4555299	0.0261042	0.0957027	0.2036623	0.6200626	0.1337157	0.4644516	0.2315775	0.3954867	0.7878133
850	0.4171161	0.0223433	0.0413220	0.1201718	0.6698894	0.1885377	0.5274750	0.1113574	0.3357410	0.6580612
900	0.5247638	0.0315567	0.1388967	0.0792454	0.5438003	0.2338275	0.5234872	0.1074089	0.3339598	0.6899681
950	0.7208102	0.0545249	0.1380983	0.1467283	0.4229145	0.2466699	0.7590981	0.1125561	0.2836991	1.0673673
1000	0.7090228	0.0796672	0.2097513	0.1512586	0.4060050	0.3217047	0.5308488	0.1852471	0.2866504	0.8312079

0	0.4572136	0.0927030	0.1897730	0.2184198	0.1674436	0.3170195	0.6342730	0.3467843	0.4175554	0.9353607
50	0.6494970	0.0708252	0.1558509	0.2483853	0.2198627	0.2457881	0.4178872	0.4600869	0.3687053	0.6819161
100	0.6472018	0.1147895	0.1304652	0.2904328	0.2842428	0.2419434	0.5183697	0.3385699	0.4936426	0.7138821
150	0.6087526	0.0959077	0.1212433	0.2711575	0.2784206	0.2641594	0.6913038	0.2240342	0.4312672	0.5410414
