Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G68A	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
550	0.0096665	0.1503409	0.0534073	0.3510114	0.1483881	0.0701936	0.0112548	0.3698696	0.5888814	0.0260881	0.2658992	0.1887535	0.0429313	0.6851486	0.0330501	0.4233455	0.7348426	0.2844290	0.0765227	0.3719788	0.3183129	0.2286368	0.0526000	0.4384675	0.7699982	0.2177023	0.3982095	0.3559467	0.6198249	0.4459158	0.2493054	0.0740419	0.5747262	0.0893295	0.5950778	0.1498919	0.5381834	0.2369517	0.0225047	0.4125754	0.0210218	0.1302874	0.3682546	0.1781737	0.3705469	0.3742320	0.3519940	0.7922121	0.4113020	0.0579047	0.3734788	0.0619350	0.6503821	0.5890569	0.3476537	0.4814086	0.0307799	0.4265943	0.4132376	0.4577767	0.2518700	0.5675135	0.2934552	0.1766691	0.0828292	0.3910060	0.7632285	0.4936708	0.5379764	0.3989835	0.4505922	0.0892770	0.0874001	0.0165850	0.3250650	0.4117754	0.2652547	0.0719944	0.5158875	0.5378857	0.1928463	0.5822765	0.2639159	0.4446607	0.0400579	0.2951197	0.1899621	0.3023771	0.3808796	0.3152269	0.5136582	0.0380626	0.1247164	0.4743675	0.5009318	0.3446700	0.5004659	0.0005872	0.3043487	0.5770170
600	0.0024742	0.2013848	0.0436658	0.2196875	0.1167834	0.0366659	0.0186683	0.5039550	0.5861271	0.0396201	0.2188344	0.2569009	0.0264472	0.6269430	0.0331252	0.6015204	0.6531442	0.2023984	0.0603483	0.3473064	0.1739828	0.0767412	0.0384761	0.3973960	0.6611397	0.1600325	0.4230096	0.4313555	0.6389056	0.4360271	0.3273421	0.0552968	0.7102669	0.0626834	0.4248592	0.1490771	0.4961952	0.2554558	0.0479790	0.4808912	0.0083159	0.1176635	0.5358215	0.1906973	0.4233038	0.2407204	0.3564797	0.6137765	0.3411602	0.1009768	0.4295564	0.0749470	0.7468775	0.7119395	0.3698982	0.5214885	0.0474951	0.4691708	0.3463582	0.2692396	0.1770759	0.5468462	0.2210997	0.2251861	0.1005813	0.3576794	0.6702410	0.4840296	0.6690032	0.2967106	0.4374644	0.1651512	0.1054427	0.1177984	0.2426346	0.3100620	0.2359242	0.0888932	0.5295089	0.5514943	0.2248353	0.5354732	0.2504188	0.4281755	0.0731562	0.2627676	0.1958119	0.3828240	0.3843068	0.2555416	0.3894695	0.1209246	0.0647498	0.5014668	0.5882444	0.3312672	0.5628148	0.0000000	0.2738364	0.4693258
650	0.0029166	0.3651025	0.0461949	0.3432849	0.1962044	0.0482552	0.0094341	0.4461316	0.6588987	0.0362165	0.2572966	0.4521772	0.0211931	0.6530657	0.0192301	0.5493475	0.6250008	0.2204237	0.0404131	0.2891892	0.1087452	0.0475361	0.0524377	0.3208994	0.6629682	0.1881179	0.4805317	0.3552741	0.6342226	0.4096113	0.3746804	0.0831983	0.8255924	0.0709767	0.2259849	0.1200848	0.6565604	0.2833552	0.0886770	0.4954049	0.0636586	0.2849890	0.6328173	0.1482441	0.3915343	0.2543141	0.3989185	0.5390301	0.3881998	0.0805016	0.3395735	0.0541604	0.7516156	0.6412714	0.3733651	0.3709183	0.0674924	0.5412434	0.3275877	0.1983759	0.1542221	0.3378422	0.2168062	0.1562899	0.0924180	0.3453372	0.5831129	0.8823156	0.6957302	0.3995690	0.4459598	0.2018937	0.1605860	0.2554602	0.1724261	0.3960968	0.2904610	0.1213961	0.5178571	0.5937554	0.2772436	0.5610020	0.1609182	0.5264727	0.1478199	0.3200592	0.2498182	0.5461218	0.4251354	0.2688710	0.4846188	0.1239841	0.1054560	0.6751683	0.5154541	0.3728391	0.4990923	0.0055924	0.1275683	0.6265842
700	0.0021651	0.4664315	0.0186347	0.4467175	0.3445962	0.0458177	0.0161513	0.3885027	0.6010311	0.0272132	0.2915869	0.4677544	0.0115843	0.7404129	0.0100192	0.4604153	0.6851777	0.2171539	0.0634799	0.2472460	0.0535102	0.0353659	0.0375600	0.3768700	0.6304906	0.1395699	0.5234488	0.3885258	0.6167662	0.3928456	0.4848436	0.1083673	0.6474446	0.0699411	0.4119193	0.0993920	0.6024622	0.4500735	0.1034346	0.5937057	0.0456137	0.3610931	0.7046351	0.1825948	0.4724164	0.2626948	0.3582947	0.5411934	0.3113071	0.0685646	0.4112745	0.0261754	0.4723412	0.6470062	0.3245453	0.1977980	0.0802980	0.3819605	0.3035800	0.1335605	0.1883841	0.3143612	0.1578795	0.1858129	0.1186394	0.2839379	0.6619953	0.5582274	0.6817805	0.4615700	0.5067151	0.1032571	0.2877919	0.2634525	0.1554214	0.2838456	0.3933794	0.1950753	0.5297545	0.5342569	0.2561850	0.3960345	0.1930889	0.2942931	0.1496058	0.2001814	0.2395655	0.4745546	0.3717284	0.2267955	0.3653318	0.1162715	0.1794516	0.5128559	0.5351308	0.4315833	0.4160988	0.0014050	0.0970465	0.4130368
750	0.0027913	0.3845613	0.0363662	0.4992609	0.2410384	0.0655682	0.0158842	0.3624836	0.5929003	0.0293954	0.3295455	0.5492896	0.0365616	0.6775473	0.0105783	0.4063370	0.6208580	0.1444389	0.0692678	0.4150739	0.0161997	0.0195175	0.0567821	0.3588364	0.6165668	0.1776076	0.5321193	0.4182294	0.6539172	0.4289966	0.4317688	0.1494151	0.5978478	0.0553559	0.2961436	0.1562654	0.6890273	0.3812697	0.0593323	0.7465707	0.0989665	0.3771610	0.6354448	0.2107429	0.3866770	0.2494072	0.3666300	0.5697366	0.3969498	0.1187664	0.4202202	0.0133156	0.6256058	0.7101183	0.1945072	0.1803583	0.0723429	0.4830662	0.3294859	0.2005048	0.1488917	0.2026225	0.1833321	0.1489370	0.1573735	0.3041170	0.6342325	0.7024584	0.7143537	0.1606568	0.5263828	0.0601384	0.2310733	0.2473531	0.2224930	0.2926885	0.4189723	0.2420784	0.4996253	0.4937774	0.2542977	0.3472690	0.2567660	0.4678662	0.2234873	0.2007764	0.3316803	0.5452340	0.4869193	0.2506512	0.4293936	0.1862257	0.2302780	0.4987821	0.5125398	0.3655383	0.4359051	0.0002127	0.1259688	0.4023569
800	0.0000000	0.2454405	0.0404664	0.5314742	0.2954717	0.1134805	0.0327512	0.3419464	0.6767968	0.0207249	0.2620292	0.4801394	0.0226020	0.5896196	0.0175210	0.3750867	0.6304837	0.1662192	0.0511877	0.3139997	0.0040547	0.0297565	0.0513603	0.3591683	0.6945399	0.1808550	0.5026271	0.3345624	0.5660802	0.4597883	0.3776310	0.1363646	0.6673506	0.0477084	0.5134644	0.1043704	0.6625587	0.3213166	0.1787873	0.6229631	0.1976042	0.3356969	0.7036320	0.1949800	0.4724562	0.3709315	0.3683639	0.5640970	0.3913070	0.1288676	0.3106204	0.0226689	0.4588521	0.5780492	0.2178710	0.1114733	0.0356114	0.3216132	0.2787456	0.1902186	0.1556569	0.3411568	0.1025989	0.1230480	0.2045648	0.3864893	0.6767503	0.4970703	0.7807285	0.1486682	0.3758876	0.0210408	0.2170381	0.2855155	0.2479031	0.3368431	0.5167477	0.2661012	0.4645508	0.5397194	0.2920851	0.3203156	0.3084229	0.3805361	0.2051951	0.2180117	0.3502758	0.5793986	0.4382351	0.2540594	0.5202562	0.2198281	0.2059142	0.6260502	0.5501406	0.4932388	0.3794863	0.0004616	0.1742470	0.3153696
850	0.0031154	0.3762343	0.0153036	0.4818244	0.2265947	0.2003002	0.0174343	0.2136540	0.5761941	0.0289273	0.2246026	0.5469419	0.0102028	0.5959478	0.0088925	0.3538100	0.6303017	0.1279427	0.0684906	0.3699329	0.0031218	0.0295442	0.0866450	0.4262612	0.5796801	0.1944471	0.4525802	0.4206417	0.5101490	0.4321072	0.3614781	0.1263393	0.6517070	0.0285117	0.4323102	0.0911419	0.6535081	0.3376513	0.1164499	0.5233256	0.1557375	0.4335107	0.8223621	0.2308001	0.4179861	0.3947182	0.5075625	0.5771479	0.3420984	0.0871178	0.2687889	0.0214912	0.5245372	0.6848921	0.2585166	0.0573917	0.0146308	0.2986828	0.2603259	0.1996250	0.1763357	0.3242718	0.1152467	0.1138601	0.1500202	0.4029921	0.6919910	0.4980063	0.6137419	0.2549891	0.3911064	0.0387033	0.1357023	0.2693385	0.3265666	0.2997221	0.3695328	0.2971598	0.5922511	0.5848963	0.3234907	0.3539922	0.3340981	0.4006519	0.3124202	0.2170260	0.2658490	0.6476868	0.5270903	0.3392181	0.4327288	0.2855095	0.3000865	0.7536209	0.3879485	0.4170051	0.4263479	0.0143512	0.2855081	0.3270679
900	0.0124175	0.4287310	0.0300287	0.4101047	0.2061304	0.2239289	0.0116584	0.2848784	0.6646090	0.0149119	0.2409459	0.5290146	0.0153983	0.6449966	0.0373463	0.4286329	0.6698159	0.1278452	0.0442873	0.2939985	0.0139295	0.0123625	0.0541984	0.3716156	0.5853216	0.2053960	0.4289443	0.2918507	0.6121473	0.4114691	0.4767568	0.1085433	0.7237684	0.0730692	0.4559735	0.0507031	0.6070473	0.3059539	0.1326920	0.5666939	0.1300562	0.4033466	0.6815387	0.1796290	0.3444903	0.4746419	0.3966779	0.7220467	0.4472396	0.1050331	0.3142829	0.0046135	0.5358238	0.6637102	0.2861689	0.0395797	0.0212192	0.3541079	0.3070943	0.1983757	0.2444603	0.3005713	0.0984752	0.1142824	0.0886139	0.3376604	0.6311239	0.6406461	0.5997616	0.4058399	0.4003494	0.0755874	0.1210966	0.3514714	0.3284297	0.4022699	0.3981859	0.2275467	0.6363863	0.5635126	0.3957214	0.2954838	0.2689972	0.3388475	0.3033715	0.2794104	0.3370412	0.6038350	0.2834181	0.2978890	0.4902803	0.3015801	0.2467069	0.5715587	0.5628039	0.3815485	0.3744704	0.0069047	0.3033563	0.2579227
950	0.0072750	0.5043928	0.0208319	0.6338172	0.1833596	0.2626488	0.0078221	0.3341813	0.5210464	0.0381906	0.2778116	0.5242572	0.0084507	0.6205403	0.0119536	0.4667748	0.6453553	0.1466887	0.0620505	0.3394340	0.0108846	0.0570279	0.0358838	0.3539616	0.6832771	0.2991283	0.5072186	0.3025763	0.5319622	0.4477420	0.3926125	0.1479385	0.5499880	0.0791389	0.4400853	0.1428642	0.6080074	0.3151201	0.0671258	0.4285418	0.1730626	0.3869704	0.6257512	0.2052787	0.4295132	0.3028422	0.3761357	0.6043700	0.4070387	0.1768302	0.3003570	0.0177579	0.4820412	0.6755026	0.2830996	0.1115864	0.0262951	0.2711856	0.2995942	0.1484433	0.1730224	0.2799701	0.1477595	0.1227053	0.1183536	0.4040460	0.7577060	0.5944269	0.7196268	0.4177476	0.5536476	0.0928099	0.0611545	0.2037569	0.4214956	0.3375489	0.3165267	0.2412806	0.5009017	0.5137616	0.3494059	0.3072981	0.2748701	0.2915659	0.3355731	0.1728837	0.4750266	0.5405271	0.3541996	0.3222087	0.5254735	0.2632891	0.2065720	0.7989756	0.4769884	0.3721554	0.3843738	0.0100706	0.3698478	0.3879152
1000	0.0004678	0.4678927	0.0203026	0.5710566	0.1455185	0.4267426	0.0220784	0.2255418	0.7286389	0.0216743	0.2651202	0.4927695	0.0161078	0.7109249	0.0244110	0.5252453	0.6410146	0.1545003	0.0907266	0.3591092	0.0052671	0.0455239	0.0869639	0.3406057	0.6713175	0.2101727	0.4909718	0.3536610	0.6604691	0.3713076	0.3950999	0.1676801	0.5979589	0.1061020	0.4905025	0.1037209	0.6323496	0.3160408	0.0949456	0.6140353	0.1913614	0.3596691	0.5803715	0.2744181	0.3512232	0.2000334	0.3989232	0.7119758	0.3855242	0.1624298	0.3411013	0.0295340	0.4583670	0.6598739	0.2916776	0.0522702	0.0151811	0.2995093	0.2936206	0.0889905	0.2324624	0.3007431	0.1110895	0.1624728	0.1310163	0.3724513	0.5602657	0.6314249	0.7433376	0.4262989	0.4932158	0.0959189	0.1357659	0.2280745	0.3297611	0.3559723	0.3578342	0.3270616	0.5269017	0.5417077	0.3905927	0.2818126	0.3414270	0.3911621	0.2734546	0.1639207	0.2672181	0.5668612	0.3878431	0.2406979	0.4433275	0.2101560	0.1309431	0.7995400	0.4069623	0.4375524	0.4338990	0.0032184	0.3779975	0.3410159
0	0.0026756	0.4301791	0.0270494	0.6051856	0.2058313	0.3626670	0.0192661	0.3125359	0.6201076	0.0229220	0.3494187	0.4952988	0.0099001	0.5335403	0.0129978	0.4764800	0.5971284	0.1826093	0.0819502	0.2779769	0.0011718	0.0309548	0.0785570	0.2892067	0.6396101	0.2101586	0.3325868	0.4079184	0.5879390	0.4150708	0.4180249	0.0952534	0.8207256	0.0581369	0.4889589	0.1317933	0.6729691	0.2958293	0.1173443	0.5963457	0.2077666	0.4116903	0.6803628	0.1850719	0.4098255	0.3184462	0.4301903	0.6850091	0.4027538	0.1378654	0.3494381	0.0087129	0.5177270	0.5380536	0.3456672	0.0900612	0.0573829	0.3169814	0.2821851	0.1307252	0.1386244	0.2496060	0.0361472	0.1220763	0.1644560	0.3175825	0.6543013	0.6593583	0.6847239	0.4440558	0.4814475	0.1350888	0.2126416	0.1811124	0.4743938	0.3237543	0.3505502	0.3066654	0.6634220	0.5960937	0.2940972	0.3368343	0.2553866	0.3785357	0.2515597	0.1426607	0.4132548	0.6731763	0.4788261	0.2954583	0.4791223	0.2307077	0.1299064	0.6942966	0.6716507	0.3918902	0.3521852	0.0016634	0.3679343	0.2797857
50	0.0411155	0.5579824	0.0139441	0.4734861	0.4998540	0.3887397	0.5077311	0.3269324	0.3689118	0.0134259	0.4002396	0.5689182	0.0065561	0.3091339	0.2161008	0.4527142	0.6238265	0.1210444	0.0700739	0.3424352	0.0109331	0.0915284	0.0569737	0.2418713	0.7301847	0.2930580	0.5507064	0.5517657	0.6402329	0.4976137	0.4440532	0.2047152	0.6934170	0.0132655	0.1850403	0.1553129	0.5291919	0.2692319	0.0931114	0.6531174	0.2864259	0.4985458	0.6510600	0.3730616	0.4185509	0.5016053	0.4009653	0.4695717	0.3546827	0.0743389	0.3817442	0.0184326	0.5206879	0.6714191	0.2053027	0.1324728	0.0534518	0.2882730	0.1754083	0.2124132	0.0833150	0.2320144	0.0429760	0.0725204	0.2603336	0.4244750	0.6230590	0.5366170	0.5726008	0.3577750	0.5152029	0.0260144	0.2269007	0.1452066	0.4648247	0.3723718	0.4259384	0.2215872	0.6793909	0.5431144	0.4722160	0.2686406	0.2534118	0.6222988	0.1218126	0.1455892	0.3828186	0.4846100	0.2681480	0.1880808	0.5160472	0.2818813	0.2296351	0.3316886	0.6331113	0.3900578	0.5688519	0.0026148	0.4889699	0.4041798
100	0.0643590	0.3211232	0.0386195	0.5258462	0.4086216	0.4503603	0.4424227	0.3464094	0.4049098	0.0268528	0.3742110	0.4500060	0.0562586	0.2128586	0.3493727	0.3992620	0.5631211	0.1416442	0.0588549	0.4116462	0.0030545	0.0939363	0.0508557	0.3092779	0.7019046	0.1614609	0.4531717	0.4710722	0.6493893	0.5217097	0.4066671	0.3173749	0.6843820	0.0000103	0.0376306	0.1168820	0.5905823	0.3277180	0.0679711	0.6249853	0.2696923	0.4952189	0.7367946	0.4644828	0.4944693	0.5886016	0.4626195	0.4181023	0.2646161	0.1129172	0.2463139	0.0065216	0.5860350	0.6538528	0.1378275	0.0900196	0.0024192	0.3036036	0.1790405	0.2367181	0.0586071	0.2729222	0.0094416	0.0725030	0.5464639	0.3985117	0.5808628	0.4525736	0.6253619	0.4987263	0.5108452	0.0365341	0.1310748	0.2535619	0.3768330	0.4480162	0.4872690	0.1882546	0.6735678	0.5910806	0.5583093	0.3748529	0.2187586	0.6702650	0.1214006	0.0508464	0.4251857	0.4232334	0.1634496	0.1896726	0.4854402	0.1852214	0.1795567	0.2330618	0.5548033	0.4301190	0.5685758	0.0045769	0.3186978	0.5338907
150	0.1660407	0.2422076	0.0507533	0.4379278	0.4511688	0.3725517	0.5014392	0.4608430	0.3255365	0.0555137	0.4607164	0.3132164	0.1199709	0.1630064	0.4417402	0.4408547	0.5851026	0.1491223	0.1005668	0.3499836	0.0132133	0.0999022	0.1412102	0.2055247	0.6379090	0.1945978	0.3807788	0.5374870	0.5998098	0.5183378	0.3783092	0.3530413	0.6583476	0.0014178	0.0084278	0.1219686	0.6062137	0.3075114	0.0605870	0.6304103	0.3438848	0.4081246	0.6406488	0.4523084	0.3509476	0.5309754	0.4058657	0.4392837	0.1846157	0.1450871	0.3222519	0.0027746	0.5760342	0.6038059	0.0264554	0.0283407	0.0010970	0.3242381	0.1845350	0.2847487	0.0312700	0.2817222	0.0356550	0.0514110	0.4940676	0.3682110	0.6244498	0.3048152	0.6321669	0.5386641	0.3472990	0.0413374	0.0863040	0.3281150	0.4738971	0.4665939	0.5556983	0.1048267	0.5644606	0.5907233	0.5701903	0.3540259	0.2902702	0.7452045	0.1235959	0.0415421	0.4362553	0.3890693	0.1637995	0.2102999	0.5104499	0.2497910	0.2727347	0.2610565	0.7035906	0.4775710	0.5824828	0.0066794	0.4613273	0.4814162
200	0.1254045	0.1485480	0.0675400	0.3863943	0.4260150	0.3354704	0.6467297	0.5239545	0.3974037	0.0534173	0.4117122	0.2084273	0.2086916	0.2200417	0.4642154	0.4592651	0.7035459	0.1349315	0.0926596	0.3704785	0.0417074	0.0735166	0.0765757	0.3205055	0.5450483	0.2214237	0.4831671	0.6746657	0.6694631	0.4482059	0.3693713	0.3398704	0.6427937	0.0039217	0.0245556	0.1383189	0.6014605	0.2577712	0.0670929	0.6768111	0.3337088	0.4239932	0.6622494	0.5111616	0.3625363	0.6573422	0.3351136	0.4800999	0.2035473	0.1841582	0.3449416	0.0020573	0.6202357	0.6173005	0.0423004	0.0617556	0.0226248	0.3379198	0.2675351	0.4031180	0.0427996	0.2743598	0.0337491	0.0966214	0.4346882	0.5173561	0.6487179	0.2878082	0.5809653	0.3835881	0.4164157	0.0347992	0.0234662	0.2678168	0.4101345	0.5066484	0.7222678	0.0948604	0.6247576	0.6464375	0.4094692	0.4323440	0.3436265	0.6439683	0.1495830	0.0037240	0.3512240	0.4703439	0.0894046	0.1894434	0.5748150	0.1559847	0.3603295	0.2641254	0.5250902	0.4316439	0.5360813	0.0085651	0.4580167	0.6368242
250	0.1326790	0.0968643	0.0935640	0.3438139	0.5298806	0.4078794	0.4446871	0.5322735	0.4198834	0.0225395	0.4068544	0.1068128	0.2405611	0.1210038	0.4641716	0.5613546	0.5911609	0.1929706	0.1130172	0.3737792	0.0345100	0.0811303	0.1387364	0.2564319	0.6572257	0.2758979	0.4390339	0.7538052	0.6320492	0.4069638	0.3780124	0.4895150	0.6934054	0.0000000	0.0520135	0.1073476	0.6262758	0.2398734	0.0688737	0.6619503	0.3322679	0.2854984	0.4774248	0.3393998	0.3306371	0.5237734	0.3820462	0.4758378	0.2448593	0.1052894	0.5059241	0.0003209	0.5381575	0.6892357	0.0290144	0.1664200	0.0133326	0.4212860	0.1298442	0.4768237	0.0546668	0.3330461	0.0112309	0.1226748	0.4768244	0.4025713	0.6596295	0.2347310	0.5862508	0.4915785	0.3923378	0.0250288	0.0380962	0.2913763	0.3796454	0.5969259	0.6846018	0.0430252	0.6444727	0.6591114	0.3691731	0.4934323	0.4001989	0.6293414	0.2149750	0.0113591	0.3103754	0.3859845	0.1022513	0.1089522	0.7120665	0.2017198	0.3550798	0.3122117	0.5453223	0.5725758	0.6301022	0.0090088	0.5633642	0.5135619
300	0.1621128	0.0926336	0.1858187	0.2921215	0.4483741	0.5705968	0.6387879	0.4830501	0.4076677	0.0285730	0.3947605	0.1098549	0.2778257	0.1589712	0.3351274	0.6728378	0.7608000	0.2330926	0.1783844	0.3965242	0.0497100	0.0955141	0.0717251	0.2842317	0.5669786	0.2205294	0.4931826	0.5488008	0.6375355	0.4991308	0.3662654	0.3290870	0.6585715	0.0022292	0.0822045	0.1258187	0.6556349	0.2707287	0.0643496	0.6016999	0.3068849	0.2438393	0.4237538	0.4383963	0.3006997	0.5812063	0.3000510	0.3817637	0.1755011	0.1141779	0.3313641	0.0001106	0.6387634	0.7791376	0.0544547	0.1385325	0.0308195	0.4599735	0.1643998	0.3959876	0.0317352	0.3173872	0.0086835	0.0996589	0.4050031	0.4254183	0.6510259	0.2776174	0.6011698	0.2940296	0.3807993	0.0326826	0.0260131	0.3179177	0.3905179	0.4470064	0.6959868	0.0491539	0.6462946	0.5725533	0.3099477	0.4557378	0.3566317	0.5653804	0.2165359	0.0249730	0.4008211	0.3614848	0.1918841	0.1641520	0.5812845	0.2219034	0.3727651	0.3292699	0.5555650	0.6529443	0.5487056	0.0130648	0.6537111	0.5217853
350	0.1277995	0.0777224	0.1595223	0.3027517	0.5075769	0.3165786	0.6017317	0.4549723	0.2938649	0.0303203	0.3596589	0.1293689	0.2835909	0.1689066	0.4663648	0.6892382	0.5399450	0.2651263	0.1159169	0.4308126	0.0673162	0.1238953	0.0908314	0.2508228	0.7215907	0.2491122	0.5781709	0.6437532	0.5790648	0.5635827	0.4690776	0.3673306	0.7116166	0.0054819	0.0863402	0.1135382	0.7459033	0.3315636	0.0902093	0.6242411	0.2607033	0.2464423	0.4563961	0.4468465	0.2774985	0.5909428	0.4134548	0.4005696	0.2510021	0.2060011	0.3947938	0.0001271	0.5712268	0.6129009	0.0133417	0.2293010	0.0509156	0.5029508	0.1533001	0.4285394	0.0524992	0.3596003	0.0098442	0.0790851	0.3840506	0.4368048	0.6783000	0.2797741	0.6998682	0.2605395	0.4075242	0.0154673	0.0089364	0.3615287	0.3704312	0.6010381	0.5684073	0.0453824	0.6420197	0.5567807	0.3356855	0.5874073	0.4177146	0.5810815	0.1800541	0.0140029	0.3461784	0.3547115	0.1883139	0.1703537	0.5428125	0.2581769	0.3230641	0.2780426	0.6086917	0.5347993	0.6437313	0.0104401	0.6358305	0.5609525
400	0.1801326	0.0390971	0.1078131	0.2793640	0.4485796	0.3781113	0.4745964	0.5625926	0.3643804	0.0112223	0.4291481	0.1462618	0.2245614	0.1030662	0.5416572	0.6778212	0.5137014	0.2253580	0.1335400	0.5582673	0.0316235	0.0926334	0.1316343	0.1831214	0.6705117	0.3431685	0.5185550	0.5583145	0.6846715	0.3835057	0.4577203	0.4366004	0.6759926	0.0015041	0.0654846	0.1121842	0.5733173	0.3239711	0.1249992	0.5788022	0.1964495	0.2698873	0.4960276	0.4764696	0.4026403	0.5607066	0.3190677	0.5055401	0.2025293	0.2063204	0.3419575	0.0001086	0.6710095	0.6880769	0.0340331	0.2263633	0.0220132	0.5563759	0.1907324	0.4737564	0.0227705	0.3097905	0.0049239	0.0980902	0.5471139	0.4979210	0.5624130	0.2469903	0.5401493	0.1847210	0.2969056	0.0160598	0.0030089	0.4231056	0.2768564	0.4024812	0.6732723	0.0463946	0.6121205	0.5463216	0.3753049	0.6006573	0.3861596	0.6043176	0.2442278	0.0170689	0.3686029	0.4330193	0.1592029	0.1324976	0.4780438	0.1841525	0.2770211	0.2562280	0.5702021	0.5758002	0.6197398	0.0035846	0.5171785	0.5880950
450	0.1469510	0.0363789	0.1710217	0.2854745	0.3552852	0.3121983	0.5334865	0.3915746	0.4290557	0.0339208	0.3873773	0.1382097	0.2623205	0.1408849	0.5288579	0.6625878	0.7103484	0.3486530	0.1334452	0.5455640	0.0233995	0.0939425	0.1517572	0.2637859	0.7161652	0.3957885	0.5427167	0.6209589	0.6128812	0.3606407	0.3587590	0.3071610	0.5926548	0.0056879	0.1222380	0.1543218	0.7680877	0.3686183	0.1024283	0.6462448	0.2192383	0.2245342	0.5584156	0.4451087	0.3666792	0.6018153	0.3005140	0.3777332	0.2684440	0.1294437	0.4701131	0.0002088	0.7090207	0.7049494	0.0189034	0.3359163	0.0256727	0.5503409	0.2861202	0.4909734	0.0358319	0.3244667	0.0019742	0.1013592	0.6108834	0.5406080	0.6853006	0.2490524	0.6239369	0.1471903	0.3553278	0.0345808	0.0037197	0.3634342	0.3482433	0.5438278	0.6530120	0.0366705	0.6855157	0.5361686	0.3163379	0.6735489	0.3473100	0.6869947	0.2319332	0.0059359	0.3353876	0.2949665	0.1289410	0.1677790	0.5348250	0.2502492	0.2655857	0.3219002	0.4700786	0.5983242	0.5609675	0.0052129	0.6293414	0.6452938
500	0.1414204	0.0580338	0.1885748	0.3040558	0.4135795	0.2897281	0.5887219	0.4763785	0.4312706	0.0139017	0.3115074	0.1355624	0.2714606	0.0932224	0.5475577	0.6420114	0.6453985	0.2715912	0.1744158	0.4889960	0.0473436	0.1060287	0.1009202	0.2481165	0.8177611	0.2733576	0.5082617	0.6786240	0.6368817	0.4563044	0.3974566	0.4161795	0.7158517	0.0000000	0.1191461	0.1178252	0.6755538	0.2142957	0.0428474	0.5941785	0.1636596	0.2796221	0.5803237	0.5788172	0.4143904	0.5985376	0.3045867	0.4215141	0.2037697	0.1950364	0.3430642	0.0000043	0.7056460	0.5136877	0.0590468	0.3304639	0.0396811	0.5484061	0.1005634	0.5080996	0.0599289	0.2977095	0.0012655	0.1056614	0.4857288	0.4152476	0.6564281	0.3283898	0.6008856	0.1361135	0.4077712	0.0174139	0.0061158	0.2717992	0.2900547	0.3733661	0.6716290	0.0319789	0.7173785	0.6034965	0.3484554	0.6792510	0.3345232	0.6093103	0.1810928	0.0049033	0.2951230	0.4197447	0.1938574	0.1998892	0.6672274	0.1305375	0.2714049	0.2994247	0.5320353	0.6362216	0.5477254	0.0103239	0.5247901	0.5822291
550	0.1865230	0.0344970	0.1958819	0.2854064	0.2724819	0.3095847	0.0805198	0.5131809	0.7511256	0.0352423	0.2642540	0.0997214	0.3229001	0.2845198	0.4469892	0.6125895	0.5929159	0.3551312	0.1525594	0.4566752	0.0852385	0.0421597	0.1896141	0.2461293	0.7139425	0.3036215	0.6901204	0.3222263	0.5338227	0.3196890	0.3930746	0.2833470	0.8505041	0.0172900	0.3369643	0.0952250	0.5748033	0.2589098	0.1095222	0.5973971	0.1017471	0.2546683	0.4578710	0.2668477	0.3856771	0.3887146	0.2952432	0.6793966	0.2796935	0.1624417	0.3538911	0.0061838	0.5497619	0.6464253	0.1659165	0.2742581	0.0238338	0.4580296	0.2131471	0.5737717	0.1484159	0.3035755	0.0004332	0.3801912	0.1658767	0.4313728	0.6618706	0.3098715	0.5859012	0.1032790	0.3103028	0.0304219	0.0043773	0.2426750	0.1841710	0.3119970	0.6236704	0.0736872	0.6568793	0.6723184	0.3048862	0.6040829	0.2739138	0.3948900	0.3895399	0.0228798	0.4896748	0.5089902	0.2983597	0.2099973	0.6147518	0.2271188	0.2297804	0.5417530	0.3354502	0.5103727	0.4776440	0.0035974	0.6354444	0.5574051
