"SUID","__glayCluster","name","selected","shared name"
"10926","36","trub","false","trub"
"10924","36","tam","false","tam"
"10922","36","sgbu","false","sgbu"
"10920","36","sgbh","false","sgbh"
"10918","36","sgbe","false","sgbe"
"10916","36","secb","false","secb"
"10914","36","rpso","false","rpso"
"10912","36","rimp","false","rimp"
"10910","33","rela","false","rela"
"10908","36","rbfa","false","rbfa"
"10906","8","psie","false","psie"
"10904","36","prpe","false","prpe"
"10902","36","prpd","false","prpd"
"10900","36","prpc","false","prpc"
"10898","36","prpb","false","prpb"
"10896","33","prop","false","prop"
"10894","36","ppia","false","ppia"
"10892","36","pnp","false","pnp"
"10890","48","pck","false","pck"
"10888","36","paaz","false","paaz"
"10886","36","paak","false","paak"
"10884","36","paaj","false","paaj"
"10882","36","paai","false","paai"
"10880","36","paah","false","paah"
