name,__glayCluster,,
YMR258C,21,,
YGL001C,21,,
YFR002W,21,,
YLR023C,21,,
YOR113W,21,,
YEL062W,21,,
YLL048C,21,,
YDL237W,21,,
YCL054W,21,,
YMR119W,21,,
YHL027W,21,,
YLR048W,21,,
YPR171W,21,,
YJR051W,21,,
YDL238C,21,,
YLR047C,21,,
YEL063C,21,,
YJR011C,21,,
YMR118C,21,,
YJR013W,21,,
YCR020C-A,21,,
YNL001W,21,,
YOR148C,21,,
YIR029W,21,,
YNL002C,21,,
YLR256W,20,,
YLR113W,20,,
YHR190W,20,,
YKL051W,20,,
YNL111C,20,,
YOR348C,20,,
YDR234W,20,,
YGR049W,20,,
YOR349W,20,,
YOR356W,20,,
YPL218W,20,,
YMR201C,20,,
YMR202W,20,,
YMR058W,20,,
YGR110W,20,,
YML054C,20,,
YJR048W,20,,
YML028W,20,,
YOL027C,20,,
YML054C-A,20,,
YMR220W,20,,
YDR233C,20,,
YKL019W,20,,
YPL028W,20,,
YLR153C,20,,
YLR110C,20,,
YJR047C,20,,
YEL038W,20,,
YOL113W,20,,
YKR046C,20,,
YMR145C,20,,
YLR098C,19,,
YDR311W,19,,
YKL143W,19,,
YJR133W,19,,
YKL008C,19,,
YNL010W,19,,
YKL007W,19,,
YER047C,19,,
YNL011C,19,,
YCL064C,19,,
YCL063W,19,,
YKL144C,19,,
YGL171W,19,,
YDR310C,18,,
YMR272C,18,,
YDR322W,18,,
YOR255W,18,,
YFR032C,18,,
YGR059W,18,,
YGR258C,18,,
YKR035W-A,18,,
YHR185C,18,,
YGL137W,18,,
YOR365C,18,,
YBR017C,18,,
YJL044C,18,,
YJL043W,18,,
YCL048W,18,,
YJR077C,18,,
YOR213C,18,,
YMR272W-B,18,,
YOR254C,18,,
YHR184W,18,,
YGL170C,18,,
YBR148W,18,,
YFL040W,18,,
YFR023W,18,,
YGL169W,18,,
YBR180W,18,,
YOL102C,18,,
YNL317W,18,,
YGR260W,18,,
YJR078W,18,,
YAL023C,18,,
YGL138C,18,,
YOR367W,18,,
YNL318C,18,,
YFL010W-A,18,,
YCL049C,18,,
YJR025C,18,,
YJL089W,17,,
YDR463W,17,,
YDR047W,17,,
YLR094C,17,,
YBL104C,17,,
YPL265W,17,,
YOL126C,17,,
YDR508C,17,,
YHR156C,17,,
YDR046C,17,,
YBR043C,17,,
YHR157W,17,,
YIL002W-A,17,,
YKL161C,17,,
YDR510W,17,,
YKR097W,17,,
YER065C,17,,
YKL160W,17,,
YOL125W,17,,
YKL062W,16,,
YMR037C,16,,
YOR298C-A,16,,
YGL073W,16,,
YOR229W,16,,
YGL096W,16,,
YJR045C,16,,
YOR018W,16,,
YGR071C,16,,
YJR001W,16,,
YOR299W,16,,
YLL039C,16,,
