name,__glayCluster,Unnamed: 2
fimc,11,
fimd,11,
fimf,11,
fimg,11,
fimh,11,
fimi,11,
ilva,11,
ilvd,11,
ilve,11,
ilvh,11,
ilvi,11,
ilvl,11,
ilvm,11,
kbl,11,
livf,11,
livg,11,
livh,11,
livj,11,
livk,11,
livm,11,
lysu,11,
sdaa,11,
tdh,11,
yoji,11,
nanr,11,
yjhb,11,
yjhc,11,
slya,11,
glcc,12,
pdhr,12,
lexa,12,
dinj,12,
yafq,12,
mraz,12,
sdia,12,
glcb,12,
glcd,12,
glce,12,
glcf,12,
glcg,12,
ssb,12,
uvra,12,
sbmc,12,
ddlb,12,
dinb,12,
dind,12,
dinf,12,
ding,12,
dnag,12,
ftsa,12,
ftsi,12,
ftsk,12,
ftsl,12,
ftsq,12,
ftsw,12,
ftsz,12,
hoke,12,
insk,12,
lpxc,12,
mray,12,
murc,12,
murd,12,
mure,12,
murf,12,
murg,12,
phr,12,
polb,12,
reca,12,
recb,12,
recd,12,
recn,12,
recx,12,
rpod,12,
rpsu,12,
ruva,12,
ruvb,12,
sula,12,
umuc,12,
umud,12,
uvrb,12,
uvrc,12,
uvrd,12,
yafn,12,
yafo,12,
yafp,12,
ybfe,12,
ydjm,12,
yebg,12,
ydiv,12,
relb,13,
rele,13,
hokd,13,
phob,14,
cusr,14,
ydfh,14,
yedw,14,
cyoa,14,
cyob,14,
cyoc,14,
cyod,14,
cyoe,14,
ugpa,14,
ugpb,14,
ugpc,14,
ugpe,14,
ugpq,14,
cusa,14,
cusb,14,
cusc,14,
cusf,14,
cuss,14,
yedx,14,
phou,14,
psta,14,
pstb,14,
pstc,14,
psts,14,
adic,14,
amn,14,
mipa,14,
phnc,14,
phnd,14,
phne_1,14,
phne_2,14,
phnf,14,
phng,14,
phnh,14,
phni,14,
phnj,14,
phnk,14,
phnl,14,
phnm,14,
phnn,14,
phno,14,
phnp,14,
phoa,14,
phoe,14,
phoh,14,
phor,14,
pitb,14,
psif,14,
sbcc,14,
sbcd,14,
tktb,14,
yegh,14,
yhjc,14,
yefm,15,
yoeb,15,
allr,16,
alla,16,
allb,16,
gcl,16,
glxk,16,
glxr,16,
hyi,16,
ybbw,16,
ybby,16,
arsr,17,
arsb,17,
arsc,17,
atoc,18,
atoa,18,
atob,18,
atod,18,
atoe,18,
bira,19,
bioa,19,
biob,19,
bioc,19,
biod,19,
biof,19,
cynr,20,
cyns,20,
cynt,20,
cynx,20,
dhar,21,
dhak,21,
dhal,21,
dica,22,
dicb,22,
dicc,22,
intq,22,
ydfd,22,
ydfe,22,
ydfw,22,
ydfx,22,
hcar,23,
hcab,23,
hcac,23,
hcad,23,
hcae,23,
hcaf,23,
ilvy,24,
ilvc,24,
kdpe,25,
kdpa,25,
kdpb,25,
kdpc,25,
kdpf,25,
mngr,26,
mnga,26,
mngb,26,
pncb,27,
nadr,27,
nada,27,
nadb,27,
pnuc,27,
pspf,28,
pspa,28,
pspb,28,
pspc,28,
pspd,28,
pspe,28,
rtcr,29,
rtca,29,
rtcb,29,
sgrr,30,
seta,30,
sgrs,30,
tbpa,30,
thip,30,
thiq,30,
arog,31,
trpr,31,
aroh,31,
arol,31,
arom,31,
mtr,31,
trpa,31,
trpb,31,
trpc,31,
trpd,31,
trpe,31,
trpl,31,
yaia,31,
tyrr,31,
arof,31,
arop,31,
fola,31,
tyra,31,
tyrb,31,
tyrp,31,
xapr,32,
xapa,32,
xapb,32,
ypdb,99,
yhjx,99,
yqhc,34,
dkga,34,
yqhd,34,
zntr,35,
znta,35,
zur,36,
ykgm,36,
ykgo,36,
znua,36,
znub,36,
znuc,36,
