"Time"	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W
700	0.0194214	0.7483913	0.5040164	0.9998491	0.9909847	0.6978949	0.4965633	0.8744917	0.5797742	0.4420728
750	0.0194208	0.7484172	0.5040785	0.9998898	0.9972686	0.6549515	0.5180727	0.8747608	0.5806396	0.4415418
800	0.0194198	0.7484416	0.5041162	0.9999076	0.9991960	0.6355269	0.5122176	0.8749452	0.5811956	0.4412974
850	0.0194187	0.7484604	0.5041363	0.9999150	0.9997681	0.6338244	0.5000052	0.8750630	0.5815146	0.4411764
900	0.0194178	0.7484730	0.5041462	0.9999180	0.9999341	0.6389827	0.4918824	0.8751321	0.5816882	0.4411118
950	0.0194170	0.7484807	0.5041507	0.9999192	0.9999815	0.6438405	0.4893052	0.8751706	0.5817811	0.4410758
1000	0.0194164	0.7484850	0.5041527	0.9999196	0.9999948	0.6460857	0.4899267	0.8751915	0.5818312	0.4410556

0	0.0194330	0.7484748	0.5041534	0.9999198	1.0000000	0.6448098	0.4921324	0.8752214	0.5819036	0.4410257
50	0.0144000	0.7537275	0.5041538	0.9999199	1.0000000	0.6624821	0.3618469	0.8755437	0.5936586	0.2876103
100	0.0091630	0.7589554	0.5041540	0.9999199	1.0000000	0.7379987	0.2066414	0.8809523	0.6644685	0.1480020
150	0.0063742	0.7616203	0.5041541	0.9999199	1.0000000	0.8007735	0.1143322	0.8939147	0.7696575	0.0851506
200	0.0050964	0.7627967	0.5041541	0.9999199	1.0000000	0.8271890	0.0689182	0.9073148	0.8572394	0.0610151
250	0.0045429	0.7632904	0.5041541	0.9999199	1.0000000	0.8355961	0.0484000	0.9165531	0.9114903	0.0521863
300	0.0043090	0.7634935	0.5041541	0.9999199	1.0000000	0.8379895	0.0395176	0.9217568	0.9400341	0.0489624
350	0.0042112	0.7635763	0.5041541	0.9999199	1.0000000	0.8386436	0.0357554	0.9243868	0.9536868	0.0477592
400	0.0041705	0.7636100	0.5041541	0.9999199	1.0000000	0.8388208	0.0341787	0.9256324	0.9598488	0.0472956
450	0.0041537	0.7636237	0.5041541	0.9999199	1.0000000	0.8388694	0.0335211	0.9261973	0.9625321	0.0471111
500	0.0041468	0.7636292	0.5041541	0.9999199	1.0000000	0.8388830	0.0332472	0.9264459	0.9636754	0.0470358
550	0.0090643	0.7583873	0.5041541	0.9999199	1.0000000	0.8378424	0.2002942	0.9263517	0.9454772	0.1953415
600	0.0142373	0.7531639	0.5041541	0.9999199	1.0000000	0.8061076	0.3986017	0.9229673	0.8527521	0.3304052
650	0.0170471	0.7505008	0.5041541	0.9999199	1.0000000	0.7236877	0.5050998	0.9137599	0.7448851	0.3918176
700	0.0183701	0.7493253	0.5041541	0.9999199	1.0000000	0.6567460	0.5313913	0.9018810	0.6692516	0.4167662
750	0.0189618	0.7488319	0.5041541	0.9999199	1.0000000	0.6302773	0.5181092	0.8914888	0.6265214	0.4276725
800	0.0192204	0.7486289	0.5041541	0.9999199	1.0000000	0.6302571	0.4991151	0.8843553	0.6046163	0.4332856
850	0.0193321	0.7485461	0.5041541	0.9999199	1.0000000	0.6387612	0.4885237	0.8801437	0.5937085	0.4365390
