"Time"	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C
850	0.2802762	0.4549212	0.4625056	0.5862038	0.3903945	0.6993833	0.1992705	0.7121746	0.0992995	0.7368097
900	0.3839197	0.3898825	0.4755571	0.5270825	0.2932135	0.8893906	0.1832587	0.7255776	0.0910470	0.8489388
950	0.3179635	0.3765886	0.3822282	0.5972955	0.2695867	0.5933051	0.2284525	0.6749220	0.0845704	0.7674399
1000	0.3510071	0.5233333	0.4248872	0.6674952	0.3330795	0.7412191	0.2052596	0.6868086	0.0792167	0.7253038

0	0.3065548	0.4606788	0.4805151	0.5482423	0.2858326	0.8685265	0.2152084	0.7265018	0.0479865	0.7293662
50	0.5471386	0.4610042	0.5481084	0.6683282	0.2864284	0.7381220	0.2097830	0.6661140	0.0757335	0.8075821
100	0.4404113	0.5245985	0.6013956	0.6853004	0.2874634	0.7602498	0.2406636	0.7615627	0.0974272	0.7563765
150	0.4178246	0.3920966	0.5937308	0.6534023	0.2543627	0.6870129	0.2103040	0.6295977	0.0445832	0.7757638
200	0.3543544	0.2510568	0.5913457	0.6257326	0.3714410	0.7677334	0.2236325	0.6573951	0.0546584	0.7469822
250	0.2111218	0.2300677	0.5921812	0.5541006	0.2536219	0.7183144	0.1727765	0.8177128	0.0639955	0.7404932
300	0.2414406	0.1785581	0.5417339	0.5571437	0.2816369	0.6203950	0.2680895	0.6840524	0.0858513	0.8317415
350	0.1121244	0.2482764	0.6217743	0.5941923	0.2331697	0.7318670	0.1227402	0.7504584	0.0521983	0.7586828
400	0.1448840	0.1818287	0.5998181	0.7470516	0.2878597	0.7641160	0.1374015	0.7752837	0.1348021	0.7901208
450	0.1657777	0.1380332	0.5275470	0.5390780	0.2722893	0.6903447	0.1486568	0.7667425	0.0874088	0.6882903
500	0.1648879	0.1798812	0.6953756	0.5108944	0.3536504	0.7314541	0.1010628	0.6420365	0.0861003	0.7703901
550	0.0905750	0.1887059	0.5982813	0.6661267	0.2782938	0.6999380	0.1823937	0.7717327	0.0890017	0.6844268
600	0.0848403	0.1883310	0.5209458	0.6896119	0.2025834	0.7601345	0.1573761	0.7438460	0.0841866	0.8458354
650	0.1194265	0.3166510	0.4343841	0.6093136	0.2696322	0.7989675	0.2107529	0.8347623	0.0888781	0.6614337
700	0.1389665	0.3000539	0.4598201	0.5790690	0.3144108	0.7015044	0.1236235	0.7303117	0.0355445	0.8090537
750	0.1824831	0.3185385	0.5017296	0.5716175	0.2553001	0.7885817	0.1822174	0.6915526	0.0619537	0.8305647
800	0.2297972	0.2705667	0.6678568	0.5566560	0.2442950	0.6691162	0.1955649	0.8728006	0.0562268	0.7447489
850	0.2856694	0.2654374	0.4161051	0.5928987	0.2042074	0.9237521	0.1989332	0.6615886	0.0725663	0.7741593
900	0.2952550	0.3486546	0.5850109	0.6214511	0.1818606	0.7310822	0.1949488	0.8404066	0.0775862	0.7107008
950	0.2586356	0.3217147	0.4404459	0.5897629	0.2317800	0.7612933	0.1866318	0.7345075	0.1177617	0.7324322
1000	0.2572947	0.4551363	0.4393491	0.6285663	0.2583971	0.7045226	0.1956563	0.7476587	0.1189333	0.8180817

0	0.2950323	0.4712722	0.4872094	0.6247807	0.3435919	0.7896273	0.1827699	0.8203550	0.0577475	0.6832559
50	0.4303588	0.5089797	0.4154183	0.4741836	0.2434176	0.7285768	0.1157244	0.5762794	0.0853052	0.5833933
100	0.4411965	0.3994137	0.3746895	0.5785452	0.2591467	0.8726102	0.2520003	0.3377544	0.0524452	0.5577863
