"Time"	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C
250	0.2607692	0.2792887	0.0009987	0.5922023	0.5133185	0.1432874	0.5866526	0.6821192	0.4224027	0.0664138
300	0.2254825	0.3751518	0.0004047	0.9253124	0.4812809	0.1144132	0.6894271	0.7700322	0.3434876	0.0661649
350	0.2867521	0.3865300	0.0059787	0.8065795	0.4494872	0.1360912	0.7475305	0.6587697	0.2992687	0.0736970
400	0.2791464	0.3827213	0.0020970	0.6058239	0.4048755	0.1419331	0.8151611	0.7668165	0.3313151	0.0691533
450	0.1628607	0.4109638	0.0045313	0.7186470	0.4440627	0.2139626	0.6314161	0.6895421	0.4270096	0.0837676
500	0.2180179	0.3782184	0.0032818	0.6623720	0.5755988	0.2026943	0.6067940	0.7711425	0.3301210	0.0645666
550	0.2986050	0.2503274	0.0001442	0.7865884	0.6397031	0.2324199	0.5849985	0.7898840	0.3929002	0.2556207
600	0.2318760	0.2185961	0.0028567	0.9216221	0.6376604	0.1593913	0.6433871	0.6171208	0.4536966	0.5043998
650	0.4386471	0.1446062	0.0046220	0.5947107	0.6388390	0.2564027	0.5980434	0.8221985	0.7338042	0.5634768
700	0.4197444	0.0671387	0.0112510	0.7372975	0.5899825	0.2025715	0.6388508	0.6994961	0.7893590	0.7254330
750	0.6290730	0.0600469	0.0012230	0.6738381	0.7479489	0.2294609	0.6147473	0.7513743	0.6724555	0.6966941
800	0.4997576	0.0799544	0.0065600	0.7882668	0.5586989	0.2246939	0.6560525	0.8167730	0.7394172	0.6309494
850	0.6741930	0.0505634	0.0092992	0.7428661	0.6184335	0.2638556	0.6854497	0.7250338	0.6015740	0.6505027
900	0.6464072	0.0522246	0.0029884	0.9019004	0.7470939	0.3183295	0.8119542	0.6918023	0.7404015	0.8178026
950	0.6858071	0.0679653	0.0018040	0.7468811	0.7054017	0.3302464	0.6925445	0.8098637	0.6551965	0.7379937
1000	0.6172413	0.0721519	0.0075985	0.7692323	0.6373046	0.2455844	0.7273855	0.7696210	0.6296698	0.7804910

0	0.6299790	0.0559948	0.0002447	0.8133492	0.6675351	0.2385042	0.6590590	0.5811987	0.6876148	0.7254165
50	0.6604591	0.0665585	0.0003040	0.7365544	0.5781505	0.5650435	0.7192667	0.8030321	0.7725441	0.6865612
100	0.5710882	0.0686068	0.0015406	0.6130394	0.7568183	0.6393421	0.8377384	0.7019691	0.7149350	0.5439368
150	0.7836488	0.0806770	0.0041142	0.6745898	0.7250081	0.5041706	0.6926436	0.7240655	0.6133584	0.6032162
200	0.6192169	0.0624705	0.0140198	0.7073027	0.6478859	0.7186001	0.6485319	0.6542072	0.6723204	0.5237661
