"Time"	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C
550	0.1778351	0.6669162	0.2409940	0.7428628	0.0138981	0.0039497	0.0557225	0.1481026	0.1089208	0.5967520
600	0.1609840	0.5017813	0.3490479	0.6622392	0.0077094	0.3431810	0.5265771	0.5097888	0.1561971	0.7367369
650	0.1539291	0.5774744	0.3966701	0.8416027	0.2383156	0.7726082	0.6904590	0.4018160	0.1149280	0.7747970
700	0.1432910	0.3667080	0.3925954	0.6949733	0.3534872	0.8369582	0.7787766	0.5082170	0.1196951	0.9090745
750	0.1524357	0.2455219	0.4337890	0.8298039	0.4408043	0.5744691	0.7787212	0.3781343	0.1116906	0.6982879
800	0.1648130	0.2636438	0.2917476	0.8521062	0.3936424	0.7993423	0.6935334	0.3549603	0.0922487	0.8592277
850	0.1939446	0.3344637	0.3146136	0.6465698	0.3197203	0.6826566	0.6916475	0.1747302	0.0977069	0.8045699
900	0.1398615	0.2900304	0.3647087	0.9499658	0.3650771	0.7101042	0.7647985	0.2953368	0.1425678	0.8895432
950	0.1595891	0.4492456	0.3263829	0.7162363	0.4143707	0.7497774	0.6718633	0.1972269	0.0840709	0.7199281
1000	0.1624330	0.3955281	0.2977832	0.8419314	0.4005683	0.6244258	0.6454584	0.1424516	0.1159951	0.8502475

0	0.1178790	0.4192378	0.3154103	0.6666413	0.4350695	0.7886254	0.7454599	0.2983588	0.1449901	0.7976675
50	0.1574211	0.4296927	0.3484461	0.7868806	0.3939084	0.7606955	0.6890644	0.4852876	0.1614579	0.3103446
100	0.1501145	0.3772989	0.3092941	0.7691955	0.3949233	0.8040453	0.7134138	0.5732679	0.3395746	0.1324579
150	0.1375540	0.3514555	0.3518707	0.7261697	0.3300140	0.7262133	0.6349812	0.5460815	0.3083382	0.0765874
200	0.0994906	0.3600588	0.4207278	0.6403129	0.4930614	0.7450200	0.7727986	0.7923889	0.3767682	0.0370399
250	0.1143986	0.3223078	0.4596956	0.7903053	0.4051200	0.8620543	0.8255409	0.7520374	0.3153838	0.0355319
300	0.1445614	0.3527102	0.3796446	0.6550069	0.4623767	0.7771976	0.7566933	0.6229460	0.3810934	0.0179645
350	0.0947274	0.2524072	0.3376028	0.7697769	0.3936604	0.6735016	0.6938842	0.8550274	0.2974772	0.0566009
400	0.1500122	0.3292970	0.3669300	0.7582410	0.5327660	0.7379362	0.8020754	0.7290339	0.3346484	0.0410989
450	0.1526572	0.2932785	0.2792147	0.7362772	0.4633151	0.6933020	0.9219484	0.7005952	0.3868297	0.0278065
500	0.1761571	0.3132893	0.3707573	0.6378093	0.4425208	0.7549121	0.8300998	0.8475567	0.2788929	0.0147068
550	0.1822528	0.4127604	0.4110627	0.8518284	0.4218123	0.7155680	0.7914401	0.6684147	0.3323830	0.4262352
600	0.1556399	0.2854534	0.3981761	0.7472179	0.4079674	0.6883667	0.7682620	0.7800731	0.3507426	0.6563376
650	0.1803872	0.3225871	0.4162075	0.6983711	0.3518512	0.8771895	0.7341213	0.6255343	0.1865253	0.6628427
700	0.1222757	0.2478235	0.4200652	0.7724663	0.4328249	0.7920240	0.7878520	0.5007200	0.1420828	0.7052440
750	0.2107836	0.2897801	0.4264436	0.7645732	0.3921463	0.7099465	0.8521849	0.3716966	0.1679266	0.5856933
800	0.1808416	0.3490613	0.3161554	0.7335451	0.3293212	0.8189805	0.8934545	0.4896601	0.1313853	0.8122973
850	0.2126362	0.3651323	0.2920326	0.6956835	0.4654501	0.7470884	0.8376606	0.4488654	0.1880451	0.6987486
