"Time"	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W
550	0.4228027	0.5723792	0.0526884	0.8973706	0.0689326	0.1698202	0.9572441	0.8456331	0.9370873	0.1386136
600	0.3715282	0.5524773	0.0495640	0.9862708	0.0395530	0.2233584	1.0029453	0.9694022	0.8699073	0.1887213
650	0.3531126	0.5977392	0.0383353	0.9064203	0.0928010	0.2061121	1.0392687	0.8206619	0.7688157	0.2106320
700	0.3310310	0.6811267	0.0557979	0.9421927	0.1030976	0.2220085	0.8734112	0.9241940	0.6916369	0.2657030
750	0.3577844	0.7330111	0.0392438	0.9118240	0.1004898	0.2331153	0.9376404	0.7608089	0.7518479	0.3126543
800	0.4239555	0.6860348	0.0235254	1.0538246	0.1027249	0.2613414	1.0061431	0.7901518	0.8172311	0.3155119
850	0.4637379	0.6487683	0.0250612	1.0008550	0.0708113	0.3066632	1.0526162	0.7965649	0.7661469	0.2875281
900	0.3783056	0.6656281	0.0476829	0.9346237	0.0721503	0.3347211	1.0478152	0.7145288	0.8454919	0.2740103
950	0.4364468	0.6660395	0.0353696	0.9134526	0.0897776	0.3102975	0.9424462	0.7770000	0.8688103	0.2724922
1000	0.3777779	0.6081791	0.0486804	0.8803818	0.0917066	0.3304534	0.9849929	0.8026673	0.8864048	0.2150182

0	0.3486938	0.7801917	0.0439468	0.8728386	0.0947149	0.2661226	0.9781740	0.8723024	0.7939770	0.2677599
50	0.4288835	0.5482118	0.0289225	0.8366946	0.0613179	0.3393348	0.9874840	0.8066420	0.7727114	0.2128472
100	0.3555680	0.2859500	0.0235319	0.8567473	0.0922011	0.3249197	0.9485502	0.8699820	0.7162527	0.2738810
150	0.2778844	0.2152520	0.0351813	0.9186328	0.0981393	0.3043437	1.0266593	0.8439869	0.7678258	0.2437331
200	0.1951986	0.1367606	0.0568657	0.9145154	0.1012893	0.3069748	0.9618806	0.9002600	0.8406910	0.1961616
250	0.1233025	0.0957037	0.0563163	0.8602819	0.1355252	0.3512293	1.0876588	0.9109684	0.8635805	0.2198862
