"Time"	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W
400	0.3873604	0.0251669	0.0816214	0.0273410	0.7083688	0.4344821	0.3089836	0.6292480	0.7660736	0.0959558
450	0.4178184	0.0264993	0.0993090	0.0414431	0.6084899	0.5418750	0.4096300	0.5286091	0.7607433	0.0676114
500	0.3814512	0.0243813	0.1043366	0.0388461	0.5057569	0.5103346	0.3620882	0.6165211	0.7432454	0.0608352
550	0.1545529	0.0361163	0.2058672	0.6821243	0.4755557	0.4901785	0.4370001	0.5700184	0.2743543	0.0994220
600	0.0746537	0.0237465	0.4912436	0.7735118	0.4739132	0.4103910	0.3474354	0.2975422	0.1041403	0.2733655
650	0.0991613	0.1559554	0.6467181	0.8580435	0.4394076	0.3010565	0.2175124	0.1190547	0.0784366	0.5257272
700	0.0825683	0.4013880	0.7671693	0.8469457	0.6283019	0.2551695	0.1476386	0.0986940	0.1693368	0.5895761
750	0.1144604	0.5982691	0.7056615	0.8675171	0.7567354	0.1936076	0.1051117	0.1120942	0.3284543	0.5543678
800	0.1566944	0.6398916	0.6649062	0.7697052	0.9163906	0.1526124	0.1329786	0.1317477	0.3368157	0.5366359
850	0.1833020	0.5841564	0.6560665	0.7010733	0.8333726	0.1527957	0.1291182	0.1772619	0.3567230	0.6328975
900	0.2037243	0.5593749	0.6401655	0.6823035	0.8695044	0.1411448	0.1605866	0.2301046	0.4286666	0.5738988
950	0.1791536	0.4839661	0.6462154	0.6098171	0.8798849	0.1370817	0.1578872	0.2382803	0.4317576	0.4249941
1000	0.1172704	0.3804347	0.6455882	0.5813285	0.9801289	0.1364223	0.1615891	0.2169288	0.3303683	0.3771390

0	0.1606006	0.5480732	0.5856244	0.5438848	0.9479327	0.1552716	0.0982958	0.0832143	0.0701912	0.2208027
50	0.0635050	0.5831821	0.8280859	0.5663628	0.8922228	0.1590568	0.2871616	0.1023752	0.6356492	0.2799967
100	0.1241808	0.7138325	0.8678083	0.6426493	0.9018504	0.2339059	0.3945477	0.2281264	0.7950081	0.3061070
150	0.1914554	0.7406136	0.8316914	0.4943585	0.8565343	0.2711906	0.3701505	0.4978699	0.9720249	0.3184796
200	0.4112945	0.8216184	0.9659282	0.6123036	0.8253951	0.3443644	0.4216297	0.6676972	1.0457117	0.3123967
250	0.3928806	0.8553031	0.8918759	0.6418923	0.7257730	0.4167447	0.5523273	0.6712829	1.0210470	0.3395689
300	0.5017856	0.8103123	0.8338591	0.6583621	0.6441136	0.5073180	0.5718551	0.6865889	0.8937268	0.4684925
350	0.5238826	0.8371994	0.8142316	0.6626837	0.5665278	0.6669581	0.6113792	0.8109136	0.9096094	0.3974043
400	0.6454462	0.8652768	0.9224687	0.7241492	0.4884164	0.6827153	0.7286445	0.6556331	0.9638808	0.4925893
450	0.6252593	0.8336989	0.9295482	0.7680927	0.4112617	0.6959056	0.6573976	0.7268278	0.8991967	0.4438474
500	0.5167036	0.8107400	0.9099843	0.9314637	0.3040390	0.6627697	0.6638124	0.7451654	0.8715915	0.5373029
550	0.5027983	0.8291508	0.9115352	0.9658393	0.2973897	0.7149516	0.4701443	0.7286140	0.5159134	0.6225805
600	0.5533304	0.8405159	0.9259033	1.0039850	0.3093052	0.6054851	0.4325441	0.5468870	0.4194937	0.7018781
650	0.4729799	0.8505470	0.9475877	0.9276898	0.3703353	0.5411349	0.3909867	0.4057310	0.4856456	0.8439065
700	0.4959676	0.8545360	0.9989023	0.8546043	0.4259961	0.4428170	0.2888326	0.3414828	0.5789262	0.7578486
750	0.5429257	0.9559954	1.0170316	0.9259497	0.4881087	0.3373639	0.2195310	0.3903862	0.5953943	0.7496287
800	0.6206612	0.8487105	0.8335089	0.8438397	0.6362936	0.2419925	0.1895843	0.4535558	0.5319402	0.7794654
850	0.6939722	0.7945882	0.7221816	0.8266917	0.7387669	0.2243924	0.2109612	0.3992499	0.5710627	0.6906376
900	0.4916803	0.7524801	0.6705150	0.7071302	0.7624393	0.2082763	0.2413526	0.4594407	0.6069062	0.6370390
950	0.4318987	0.5673628	0.6918943	0.6635297	0.7407111	0.2766919	0.3142987	0.4718074	0.5556627	0.5110903
1000	0.2734462	0.4533522	0.6476354	0.6389987	0.7988005	0.2742042	0.3069550	0.4146422	0.3900972	0.4710408

0	0.1606006	0.5480732	0.5856244	0.5438848	0.9479327	0.1552716	0.0982958	0.0832143	0.0701912	0.2208027
50	0.0754564	0.2222150	0.5459411	0.4715315	0.9744596	0.2340119	0.6837961	0.2561002	0.0633680	0.2753859
100	0.0814250	0.2673373	0.5938394	0.5406757	0.8241735	0.4584075	0.7777190	0.3182772	0.0778494	0.2788179
150	0.0861348	0.3992330	0.6236506	0.6106760	0.6687491	0.5526141	0.8734205	0.3977888	0.0877972	0.3134880
200	0.1044344	0.5079456	0.6649759	0.7315385	0.5270697	0.5006279	0.7845337	0.3943036	0.1018203	0.4438948
250	0.1012411	0.5689837	0.6734781	0.7185371	0.5010156	0.5334943	0.8876783	0.3818211	0.1907951	0.5013920
300	0.1040589	0.5229438	0.6986693	0.8214304	0.4537784	0.5695233	0.9273941	0.4243203	0.2355066	0.5627074
350	0.1622703	0.5295500	0.7031273	0.8273315	0.3711435	0.5966038	0.9158190	0.3841140	0.2478691	0.5296324
