"Time"	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W
900	0.0408506	0.9204621	0.3269652	0.5170998	0.7555273	0.3745974	1.0032303	0.2915245	0.5242170	0.9999368
950	0.0408452	0.9792526	0.3407023	0.6141880	0.6842413	0.3832167	1.0160423	0.2860176	0.5363506	0.9812739
1000	0.0256406	1.0121576	0.3948758	0.5891638	0.7254896	0.3693140	0.9716748	0.2480343	0.4737359	0.9469321

0	0.0245978	1.0039284	0.3197986	0.4197638	0.7453205	0.4071740	1.0500757	0.2979913	0.5893363	0.9724763
50	0.0167860	0.9627174	0.4210939	0.4292602	0.6787199	0.2736046	0.8278046	0.2864088	0.5287187	0.6539666
100	0.0250889	1.0418196	0.5790265	0.4459134	0.5854914	0.2558280	0.6087976	0.2478812	0.6092651	0.3935701
150	0.0244802	1.0601570	0.5784262	0.4741942	0.5063856	0.3558659	0.5046872	0.2436413	0.6189410	0.2675485
200	0.0152200	0.9471104	0.5279231	0.4253490	0.7054323	0.4501120	0.5128351	0.3142142	0.4708730	0.2195706
250	0.0183215	1.1415967	0.5979556	0.3670953	0.7041578	0.4501198	0.5611779	0.3545768	0.4732237	0.1747601
300	0.0176426	1.1225083	0.5482862	0.3093676	0.7451186	0.4614609	0.5324072	0.3366400	0.5064944	0.2024518
350	0.0265905	1.1636901	0.5917666	0.2943972	0.6138982	0.4383469	0.5504000	0.3744823	0.5489201	0.1913051
400	0.0212813	1.1074244	0.5779267	0.3367589	0.6427009	0.4631799	0.4850346	0.3401644	0.5438168	0.1906068
450	0.0202748	1.0428437	0.5242282	0.2980033	0.7255009	0.4891311	0.5073332	0.4217003	0.5134382	0.1746472
500	0.0194879	1.0803681	0.5476308	0.3313241	0.7952830	0.4631744	0.5398950	0.4470692	0.6763881	0.1454691
550	0.0178032	1.0432740	0.4879715	0.3115708	0.7874756	0.5521389	0.7501551	0.3469769	0.6350522	0.4261013
600	0.0198241	1.0534417	0.3416236	0.3567976	0.8233092	0.5199506	0.9062352	0.3080687	0.6343903	0.7548597
650	0.0166144	1.0678255	0.3923148	0.3842891	0.8878524	0.5081053	0.9611613	0.2878747	0.5146548	0.9334510
700	0.0204508	0.9551017	0.2951547	0.4123768	0.8923210	0.4394997	0.9497767	0.2536046	0.5215205	0.9770764
750	0.0225357	0.9565730	0.3042857	0.3995792	0.8145088	0.4499766	0.9318987	0.2412848	0.5185543	0.9621236
800	0.0133172	0.9948802	0.3384829	0.3677047	0.8608572	0.4649225	0.8935142	0.2549848	0.4816582	0.9648000
850	0.0221872	1.0848885	0.3502014	0.3668344	0.7870715	0.3859010	1.0220141	0.2970817	0.4636940	0.9908288
900	0.0131942	1.0514406	0.3627882	0.3786296	0.7348621	0.3896551	1.0605002	0.2525271	0.4493684	0.9649867
950	0.0161678	1.0053405	0.3464192	0.3414022	0.7485862	0.3890922	1.0931308	0.2966090	0.4531886	0.8968353
1000	0.0225164	1.0225964	0.3490790	0.2818834	0.7897283	0.3421530	1.0336315	0.2586376	0.5088190	0.9388530

0	0.0245978	1.0039284	0.3197986	0.4197638	0.7453205	0.4071740	1.0500757	0.2979913	0.5893363	0.9724763
50	0.0258554	0.9810672	0.3490951	0.4123906	0.6176710	0.3665988	1.0005622	0.1679132	0.5480928	0.8446785
100	0.0192053	0.9209548	0.3044857	0.4073806	0.7389880	0.3989326	0.9584322	0.0962690	0.4736221	0.5698246
150	0.0106371	1.0055291	0.3583952	0.3556284	0.7571477	0.3042723	1.0278242	0.0607014	0.4998656	0.4766594
200	0.0069130	0.9875956	0.3688190	0.2787768	0.6084328	0.3634762	0.9852839	0.0542778	0.5079199	0.4232523
250	0.0074129	1.0193739	0.3272852	0.1797345	0.6745005	0.3856439	1.0310504	0.0611714	0.4873409	0.3132857
300	0.0179287	0.9231635	0.2067012	0.1995555	0.7102437	0.3913226	1.0320010	0.0393153	0.4863365	0.3319560
350	0.0220839	0.9923149	0.1956673	0.2760605	0.7455957	0.4533326	0.9829446	0.0488353	0.5220492	0.3362801
400	0.0283552	0.9790378	0.2526493	0.3831811	0.8092266	0.4769052	1.0175876	0.0597015	0.4754364	0.3520602
450	0.0262960	1.0037086	0.3298004	0.4441507	0.8053604	0.3746787	0.9765306	0.0601396	0.4478969	0.3269387
500	0.0284707	0.9838289	0.3804084	0.4889867	0.7752204	0.4567861	0.9035529	0.0400002	0.5652864	0.3338343
550	0.0190679	1.0058019	0.3756596	0.5471728	0.8089240	0.4056287	0.9773230	0.1083161	0.4781338	0.5749819
600	0.0407887	0.9844061	0.4124706	0.4889170	0.7841142	0.4141509	0.8980102	0.1931958	0.4699374	0.7495725
650	0.0191336	0.9782072	0.3897298	0.6258660	0.7145989	0.4449230	1.0160042	0.1906597	0.5024801	0.9265089
700	0.0341783	0.9592585	0.3790131	0.5769356	0.6879259	0.4266276	0.9068717	0.1806635	0.4016273	1.0855362
750	0.0316948	0.9410624	0.3436921	0.5918298	0.6946256	0.4400638	1.0056102	0.1982290	0.4420814	1.0383308
800	0.0247874	0.9797839	0.4510644	0.5406679	0.7462833	0.4102251	0.9651065	0.2429443	0.4644960	0.9920317
850	0.0168970	1.0467646	0.4543107	0.4701276	0.6960424	0.4502381	0.9712252	0.3015425	0.4396688	0.9911905
900	0.0209788	1.0905455	0.3681829	0.3929345	0.7097905	0.3914778	0.8015404	0.2657793	0.4715880	0.9643645
950	0.0242581	1.0185471	0.3734244	0.4055539	0.6757391	0.4606213	0.8740696	0.3193988	0.5120720	0.9671836
1000	0.0193752	1.0608302	0.3369362	0.4503366	0.7508909	0.4821715	0.9321115	0.2929828	0.4904354	0.9387080

0	0.0245978	1.0039284	0.3197986	0.4197638	0.7453205	0.4071740	1.0500757	0.2979913	0.5893363	0.9724763
50	0.0250462	1.1033855	0.4606817	0.5013526	0.6507013	0.4026881	1.1459977	0.2347567	0.4662898	1.0241341
100	0.0198639	1.0405525	0.5790801	0.5135143	0.7429657	0.3734325	1.0162944	0.2614748	0.2949563	0.9760262
150	0.0247989	0.8874065	0.7245068	0.5134747	0.6952255	0.3985184	0.9655983	0.2841046	0.2010675	0.9039119
200	0.0269854	0.9811398	0.7299225	0.5023608	0.6872407	0.3449347	0.9702154	0.2944236	0.1663085	1.0198835
250	0.0326159	1.1003301	0.7468573	0.4934239	0.6832717	0.3481046	1.1056859	0.3268080	0.2008986	1.0655625
300	0.0218271	1.0130715	0.6724228	0.4913658	0.7178044	0.3638103	1.0732718	0.2990327	0.1656442	0.9715982
350	0.0265893	1.0013561	0.6328585	0.4061905	0.5996927	0.3148346	0.9802240	0.3242329	0.1750659	0.9323964
400	0.0210592	0.9762851	0.6692025	0.4671887	0.6118774	0.3118168	0.9979964	0.2795450	0.1575068	0.9800298
450	0.0206575	1.0119099	0.6516864	0.4280076	0.6248760	0.3520090	0.9434546	0.2656166	0.1370921	1.1037413
500	0.0311876	1.0163447	0.5758570	0.4037894	0.6200034	0.4014523	0.8959692	0.2916027	0.2015927	1.0297138
550	0.0381777	0.9907031	0.4256952	0.3574871	0.7437292	0.4437747	0.9467873	0.3568942	0.3248342	0.9794761
600	0.0336813	1.0117358	0.3920610	0.4753344	0.7861167	0.4203867	0.8895472	0.3290937	0.4313824	1.0161552
650	0.0384362	1.0866581	0.3648912	0.5452117	0.7763050	0.4744185	0.9343135	0.2430267	0.4889853	1.0154392
700	0.0440445	1.0269553	0.3823130	0.5244705	0.7804618	0.4825593	0.9551845	0.1997019	0.4872314	0.9340054
750	0.0287190	0.9771014	0.4102060	0.4629081	0.8164309	0.4579693	1.0321268	0.2107428	0.4284309	0.9523975
800	0.0322793	0.9770217	0.3286055	0.5023599	0.7671049	0.4100464	1.0028949	0.2901672	0.4823067	0.9865450
850	0.0335410	1.0411893	0.3435485	0.5476240	0.7603043	0.4162472	0.9457460	0.2592580	0.4674445	0.9657023
900	0.0295191	1.0559685	0.4033300	0.5001995	0.7562171	0.3665421	1.0194829	0.2680810	0.4801051	1.0367697
950	0.0175498	1.0595354	0.2963220	0.4529409	0.7091838	0.3685202	0.9691878	0.2611010	0.4643856	0.9635823
1000	0.0300068	1.0307459	0.2663381	0.4114377	0.7176374	0.4322345	0.9346397	0.2902832	0.5161640	1.0591540

0	0.0245978	1.0039284	0.3197986	0.4197638	0.7453205	0.4071740	1.0500757	0.2979913	0.5893363	0.9724763
50	0.0190814	1.0463903	0.4908621	0.2719048	0.6657382	0.3866756	0.9019664	0.2523681	0.5126630	0.9484586
100	0.0175066	1.0245120	0.7364011	0.3106622	0.6990842	0.3907034	0.8970346	0.2827546	0.5324546	0.9454789
150	0.0226127	0.9326486	0.8319004	0.3979526	0.7819377	0.4456370	0.8523492	0.2779999	0.5389045	0.9781862
200	0.0185732	0.9471251	0.8806372	0.4600769	0.7395236	0.3770974	0.7767099	0.2285799	0.5801000	0.9972597
250	0.0281178	0.9955722	0.9318209	0.4604113	0.7436006	0.3874955	0.8483031	0.2610829	0.4344107	0.9202602
300	0.0226261	0.9041802	0.7951221	0.5192726	0.6690790	0.4179510	0.8006978	0.2620835	0.4988453	1.0100992
350	0.0265081	0.9449912	0.8222530	0.4486830	0.7438212	0.4010323	0.7882576	0.2647095	0.5787939	1.0569165
400	0.0396893	1.0675656	0.8105229	0.4284358	0.7871918	0.4623575	0.8093049	0.2508160	0.5239722	0.9199200
450	0.0311689	1.0946082	0.7765457	0.4449192	0.8302465	0.4825340	0.8022016	0.2489178	0.4860757	1.0291244
500	0.0205203	1.0660298	0.7701667	0.5003321	0.8355928	0.4310076	0.8674307	0.2792897	0.4899052	1.1253790
550	0.0067727	1.1304200	0.7043704	0.5005474	0.7297078	0.3410726	0.9752318	0.3010020	0.4690304	1.0311751
600	0.0044686	1.0579904	0.5121878	0.3022209	0.7366088	0.2995220	1.0866896	0.2774182	0.5068456	1.0127490
650	0.0108879	1.1255890	0.3264577	0.1516381	0.7338351	0.3248166	1.0110094	0.2746161	0.5213363	1.0658254
700	0.0120608	1.1438485	0.2684322	0.0868391	0.6556885	0.3834237	1.0092217	0.3139197	0.5936249	0.9892851
750	0.0168416	1.1086470	0.2065583	0.0836663	0.6734373	0.4193955	1.0907558	0.3341597	0.5732477	1.1161437
800	0.0200833	1.1081262	0.1535873	0.1841323	0.7477559	0.3335922	0.9783703	0.3606084	0.6021921	1.0019451
850	0.0199400	0.9258547	0.1820408	0.2815251	0.6732355	0.3673780	1.0209154	0.3468619	0.4794806	0.9886081
900	0.0231464	0.9598337	0.2360641	0.3564713	0.7348887	0.4000969	1.0607166	0.2560529	0.4633959	1.0850603
950	0.0401754	0.9112609	0.2636667	0.4160525	0.7236162	0.4504422	1.0041507	0.2520262	0.4687301	1.0318451
1000	0.0295549	0.9465499	0.3294686	0.5255592	0.7787735	0.4028809	0.9791556	0.3012808	0.4805657	1.0424776
