"Time"	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W
950	0.0694130	0.0033943	0.6896226	0.5272767	0.7267268	0.9142728	0.0993796	0.4116699	0.5717408	0.4872968
1000	0.0940543	0.0023342	0.6351083	0.5724947	0.6922972	0.9712930	0.0700732	0.4195433	0.5527275	0.4562141

0	0.1097467	0.0022802	0.9317927	0.4939591	0.7541792	0.9983254	0.0847027	0.4530925	0.5986236	0.3572819
50	0.4089036	0.0056614	0.6299299	0.4821978	0.6741646	0.9599066	0.0639103	0.4874288	0.5626658	0.3168838
100	0.6871063	0.0098596	0.4124057	0.3603567	0.5069774	0.9494611	0.0873130	0.4439284	0.5605014	0.3531309
150	0.9178718	0.0466949	0.2205609	0.4271443	0.4633596	1.0101684	0.0657436	0.4501661	0.4938006	0.4065726
200	1.0586394	0.2854486	0.0755718	0.5120886	0.4130461	1.0106998	0.1121468	0.4389593	0.5255268	0.5693566
250	1.0723644	0.6324165	0.0450590	0.5414325	0.4093605	1.0728062	0.0866932	0.4752660	0.5564325	0.5402800
300	1.0222806	0.8289280	0.0321320	0.5346244	0.4050373	1.0447893	0.0662983	0.4122056	0.6871996	0.5508694
350	1.0214445	0.9178200	0.0279609	0.4694355	0.4665103	0.9657783	0.0920699	0.3789580	0.7340949	0.5820635
400	1.0255470	1.0208851	0.0187533	0.4325642	0.4816989	0.9666248	0.0591759	0.3393636	0.8002998	0.5466933
450	1.0454889	0.9830217	0.0191151	0.4494869	0.4515008	0.9089301	0.0846045	0.3342173	0.7349212	0.5847757
500	1.0395767	0.9654189	0.0185803	0.4358991	0.4482567	1.0228927	0.1020891	0.3138349	0.7463464	0.6311049
550	0.9512110	0.9835255	0.2462985	0.5409736	0.5759709	0.9995427	0.0542922	0.3116275	0.7865725	0.7116832
600	1.0180877	0.5732714	0.4796078	0.5880630	0.6913239	1.0804505	0.1000344	0.3005143	0.8262693	0.8158241
650	0.9436145	0.3147842	0.6345990	0.4618316	0.8155849	1.1390774	0.1572702	0.3820434	0.8045532	0.6767797
700	0.9241192	0.1382114	0.8308067	0.4844225	0.8545722	1.0630913	0.0987655	0.4203483	0.7978937	0.5507917
750	0.7655515	0.0512860	0.8150365	0.4305335	0.7530352	0.9786502	0.0807290	0.4334961	0.7151245	0.4569427
800	0.5775474	0.0296578	0.8232467	0.5167991	0.6656749	0.9212395	0.0947832	0.4181392	0.7004940	0.3819413
850	0.3469414	0.0114219	0.8245487	0.4795330	0.7485509	0.9682827	0.0910198	0.4342868	0.7015265	0.3997287
900	0.2305549	0.0209572	0.8426229	0.4890510	0.7518057	0.9005167	0.0829427	0.4223314	0.6145519	0.3617730
950	0.1687847	0.0163311	0.8795599	0.4542723	0.7747960	0.9151346	0.1125769	0.4167228	0.6769774	0.3777322
1000	0.1690050	0.0090118	0.8954760	0.4771562	0.7977543	0.9373207	0.0805169	0.3768221	0.6362074	0.3664996

0	0.1097467	0.0022802	0.9317927	0.4939591	0.7541792	0.9983254	0.0847027	0.4530925	0.5986236	0.3572819
50	0.1399801	0.0081799	0.8575170	0.3161625	0.6602432	0.9796508	0.0805819	0.3095454	0.6276044	0.4215215
100	0.1381875	0.0072617	0.8802235	0.2807482	0.5504247	0.9525270	0.0631851	0.2653252	0.6242939	0.3594974
150	0.1274829	0.0095463	0.7567446	0.2479317	0.4357070	0.9558014	0.1342396	0.2080205	0.7374214	0.4216122
200	0.1093408	0.0096069	0.7473515	0.3081416	0.4406486	0.9673310	0.1225595	0.1659747	0.6808321	0.4892152
250	0.1030660	0.0045794	0.7967387	0.3615551	0.4135231	0.9777146	0.1162810	0.1972361	0.6370614	0.4596808
300	0.1303276	0.0104158	0.7450666	0.3641225	0.3956738	0.9767951	0.0832573	0.2067038	0.6453017	0.5023846
350	0.1043239	0.0048829	0.7550675	0.3451824	0.4172814	1.0347006	0.0923637	0.2136051	0.7586268	0.4022624
400	0.1344330	0.0071249	0.7417226	0.3593060	0.3828418	0.9981124	0.1049048	0.2270307	0.6559745	0.4694193
450	0.1305656	0.0101247	0.7676392	0.2885203	0.4370419	0.9908913	0.0897909	0.2299932	0.6718474	0.4799965
