"Time"	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
350	0.6534841	0.3941260	0.6668476	0.4516343	0.6315061	0.1344144	0.1854681	0.6144543	0.8078593	0.7961964
400	0.7283248	0.3383541	0.5070956	0.4247772	0.4834869	0.1187964	0.1847446	0.5303648	0.6719766	0.6353728
450	0.8458079	0.3548616	0.6398828	0.3507837	0.4371789	0.1290074	0.2368744	0.6691205	0.8991604	0.7266768
500	0.8196423	0.4667944	0.5634921	0.4437461	0.5637002	0.1926176	0.1970221	0.7163088	0.7186633	0.6467450
550	0.8897724	0.3477692	0.5382708	0.3782350	0.3776709	0.1969481	0.2670067	0.6164909	0.6132674	0.7562421
600	0.7340207	0.4019897	0.5434058	0.4503658	0.3870843	0.2008137	0.2272400	0.7082810	0.7252091	0.7547519
650	0.6347427	0.3375300	0.4917462	0.4500127	0.4085882	0.2285629	0.3244943	0.5650290	0.6361574	0.8245495
700	0.8600265	0.3587029	0.5250836	0.4015497	0.4060721	0.1874964	0.2369878	0.6507918	0.7275579	0.7675150
750	0.6545635	0.3468957	0.5618448	0.3882860	0.3538300	0.1140396	0.2763285	0.6849341	0.7410851	0.7428579
800	0.8114443	0.3400556	0.5397085	0.4949089	0.4039469	0.0747279	0.2921966	0.6102967	0.8199399	0.7690562
850	0.7581211	0.4302194	0.5332493	0.4240786	0.4024917	0.1338233	0.2617011	0.5964153	0.6850813	0.7208073
900	0.8435898	0.4050213	0.5745482	0.4606186	0.2887886	0.1934959	0.2939481	0.6699359	0.5649189	0.7573036
950	0.7657704	0.3442845	0.6361512	0.5144173	0.3249573	0.1528505	0.2221830	0.6230734	0.6047957	0.6890111
1000	0.7797663	0.3145718	0.6585765	0.4850406	0.5085153	0.1672308	0.2299941	0.7860136	0.6096085	0.7688603

0	0.7925232	0.3872814	0.6268386	0.4763753	0.2486985	0.1959749	0.1252194	0.7773248	0.5627068	0.7718310
50	0.6399299	0.4165359	0.5096847	0.5435445	0.1337784	0.1452737	0.5414015	0.2100907	0.5810950	0.8789991
100	0.9110274	0.3762830	0.4392537	0.6426616	0.2107887	0.3044081	0.6646447	0.1704263	0.7111120	0.9867814
150	0.6392436	0.2522498	0.4130185	0.6649254	0.4620273	0.3642331	0.7277737	0.1805127	0.8100922	0.7231271
200	0.7790548	0.3834624	0.2564030	0.6409351	0.6263037	0.3669095	0.7841861	0.1311513	0.6687269	0.7084610
250	0.6663129	0.2237016	0.2326220	0.4059208	0.5624449	0.1825774	0.8551695	0.1384043	0.7168260	0.7027622
300	0.6376204	0.1319242	0.2023768	0.3812542	0.3986616	0.1366167	0.6702583	0.1110783	0.8477723	0.7687444
350	0.5155410	0.1322980	0.1136470	0.3100486	0.3095955	0.0774126	0.7960978	0.1425181	0.7512266	0.7450186
400	0.3772780	0.0999469	0.1285441	0.3990358	0.2550537	0.0516636	0.7439011	0.1194613	0.7403628	0.7812638
450	0.1557234	0.0844800	0.1323774	0.3846317	0.0972962	0.0120187	0.6144365	0.1241797	0.7746913	0.7741846
500	0.0972069	0.0639612	0.1366702	0.3825888	0.0876949	0.0255495	0.8501663	0.1307476	0.7466818	0.8153968
550	0.0349765	0.1367335	0.3656440	0.3271554	0.0692304	0.0282080	0.6667007	0.4880821	0.4533588	0.7559011
600	0.0704247	0.1381641	0.4418553	0.4970027	0.0825329	0.0599047	0.2600120	0.5149065	0.2923007	0.6962045
650	0.1582491	0.3033928	0.3669993	0.3735332	0.1397703	0.2587507	0.2413244	0.6294497	0.3001283	0.6698678
700	0.6078216	0.3057148	0.5021177	0.4059631	0.2996549	0.3684780	0.3014720	0.7171009	0.4383660	0.7505627
750	0.6669484	0.3277609	0.6000182	0.3869985	0.3644722	0.1592505	0.2106670	0.7752286	0.6214929	0.7450133
800	0.6707236	0.3185594	0.4833285	0.5337770	0.3367739	0.1078299	0.2239463	0.6436560	0.5704131	0.7529444
850	0.6897452	0.3188425	0.5006296	0.4702482	0.2911162	0.0637559	0.2312570	0.7298472	0.6603446	0.6916424
900	0.6625148	0.4188413	0.5129194	0.6210516	0.2154905	0.0858799	0.3264494	0.5577943	0.6422019	0.8607026
950	0.6591415	0.4227204	0.4729012	0.4466155	0.1874373	0.0824559	0.2540198	0.7581191	0.5323034	0.7012030
1000	0.7643296	0.3862732	0.5997431	0.5486216	0.2555592	0.1389935	0.3589579	0.5799938	0.5972527	0.7154228

0	0.7068632	0.4554606	0.4938101	0.5211689	0.3389239	0.1936215	0.1892914	0.8088433	0.5331634	0.7818307
50	0.8550087	0.6388619	0.5439498	0.5169802	0.3404998	0.1632038	0.2562386	0.6894862	0.6254310	0.4140481
100	0.7907509	0.5759660	0.6237141	0.6036703	0.4881816	0.2639915	0.3428015	0.4842427	0.6365035	0.3555356
150	0.7762580	0.5382310	0.5699041	0.5816119	0.5238458	0.2274028	0.2832834	0.4411675	0.7383829	0.2601150
200	0.6280482	0.6770811	0.5520910	0.7135336	0.5228073	0.2306703	0.3920903	0.4843210	0.6188381	0.2990002
250	0.6916370	0.6211080	0.6566413	0.5904377	0.5029491	0.2146973	0.3692946	0.4452098	0.4766887	0.3581692
300	0.7909101	0.7470846	0.6476091	0.5096108	0.5413775	0.5133113	0.4754559	0.4221979	0.5597638	0.3257967
350	0.7649251	0.6560470	0.5259829	0.4386035	0.7711841	0.4835682	0.5136201	0.3962962	0.5917962	0.3578556
400	0.7114513	0.7349652	0.6879537	0.4466447	0.6922609	0.4069013	0.4573721	0.4545031	0.4791148	0.2421581
450	0.7973876	0.6384026	0.4659449	0.6102259	0.7307391	0.4137876	0.4143143	0.3569588	0.5036970	0.2744275
500	0.7344304	0.5578185	0.4745836	0.5854661	0.6981336	0.4628237	0.6554863	0.4602483	0.5536119	0.3095391
550	0.8410758	0.3788272	0.4040651	0.6717662	0.7325045	0.4115026	0.4904972	0.3882235	0.6145812	0.6857185
600	0.8124723	0.3681597	0.4785890	0.5041938	0.7839339	0.3256167	0.5065961	0.5424237	0.5805692	0.7337125
650	0.6696760	0.4458982	0.6509267	0.3996962	0.6109104	0.4040908	0.3511135	0.6341319	0.6368799	0.7805800
700	0.8140564	0.3731545	0.5423543	0.3821987	0.5998524	0.2935489	0.2410978	0.6419199	0.6346303	0.8998596
750	0.6003516	0.4008374	0.5398255	0.4260054	0.4314116	0.1433425	0.2532157	0.6905677	0.6358723	0.7935715
800	0.7829993	0.4422267	0.5955844	0.4246103	0.4369638	0.0544255	0.2757708	0.6385379	0.7347667	0.8334247
850	0.8509196	0.4008162	0.6301469	0.5653132	0.3930414	0.0505733	0.1490727	0.7100830	0.6688800	0.9205298
900	0.7944124	0.3485990	0.5492905	0.5235229	0.3639651	0.0375258	0.2180266	0.7528781	0.5983786	0.8682738
