"Time"	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W
500	0.5274701	0.0388518	0.0035549	0.3935593	0.9774716	0.3372761	0.9415205	0.9991913	1.0000000	0.0000330
550	0.5274968	0.0388517	0.1469005	0.3935598	0.9774708	0.3372756	0.9398656	0.9679440	1.0000000	0.0295500
600	0.5279037	0.0388524	0.1992673	0.3935601	0.9774710	0.3372614	0.9367332	0.9660721	1.0000000	0.0391042
650	0.5286773	0.0388620	0.2183978	0.3935599	0.9774741	0.3372338	0.9347490	0.9659599	1.0000000	0.0421968
700	0.5293136	0.0388892	0.2253866	0.3935590	0.9774803	0.3372059	0.9338370	0.9659532	1.0000000	0.0431978
750	0.5296884	0.0389255	0.2279398	0.3935572	0.9774878	0.3371845	0.9334722	0.9659528	1.0000000	0.0435218
800	0.5298785	0.0389585	0.2288727	0.3935550	0.9774945	0.3371703	0.9333367	0.9659528	1.0000000	0.0436267
850	0.5299676	0.0389826	0.2292137	0.3935530	0.9774997	0.3371615	0.9332886	0.9659528	1.0000000	0.0436606
900	0.5300072	0.0389982	0.2293385	0.3935513	0.9775033	0.3371562	0.9332720	0.9659528	1.0000000	0.0436716
950	0.5300241	0.0390076	0.2293842	0.3935501	0.9775056	0.3371530	0.9332664	0.9659528	1.0000000	0.0436752
1000	0.5300310	0.0390129	0.2294010	0.3935493	0.9775071	0.3371511	0.9332646	0.9659528	1.0000000	0.0436763
