"Time"	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W
0	0.1233455	0.3669003	0.6063286	0.7711063	0.4032396	0.6296299	0.0388810	0.1294008	0.0772122	0.7674774
50	0.2093728	0.3321858	0.7034429	0.7723911	0.4355847	0.6888174	0.0237452	0.1234627	0.0212711	0.8899315
100	0.1526992	0.2912796	0.6913825	0.6971309	0.3982992	0.6865187	0.0223698	0.1041818	0.0125096	0.6725981
150	0.2407039	0.2195093	0.6480748	0.8814385	0.3937691	0.6513779	0.0405465	0.0680160	0.0191615	0.6579920
200	0.3299148	0.2249581	0.6177541	0.8983102	0.4002734	0.6152971	0.0453683	0.0682293	0.0066356	0.7497035
250	0.3026844	0.2312588	0.6811199	0.9380482	0.4489505	0.8112045	0.0222178	0.0411617	0.0027268	0.7950200
300	0.2616102	0.1623898	0.5647675	0.8616481	0.4787566	0.6997710	0.0444709	0.0360886	0.0085598	0.6657139
350	0.3992629	0.1212765	0.7378132	0.7168887	0.5349986	0.6515367	0.0287175	0.0308162	0.0060894	0.8533491
400	0.4465794	0.2045898	0.6970832	0.7041687	0.4923078	0.6603763	0.0261431	0.0708394	0.0052461	0.7350413
450	0.4710686	0.2727609	0.5869725	0.7433592	0.3927154	0.7591262	0.0274626	0.0592171	0.0043709	0.5800347
500	0.4575281	0.2539361	0.6152258	0.6603405	0.3594701	0.7093397	0.0275181	0.0494370	0.0031950	0.8121242
550	0.4121911	0.2627732	0.5416799	0.7294331	0.5434916	0.6972674	0.0306244	0.1124006	0.0252664	0.6902361
600	0.3758439	0.2492887	0.5196234	0.6567417	0.5363443	0.7521359	0.0280791	0.1273682	0.0431614	0.7929939
650	0.3696983	0.3040482	0.4289216	0.5953070	0.5890146	0.7164014	0.0708265	0.0963759	0.0248071	0.7662958
700	0.3331560	0.3237347	0.5128260	0.6709203	0.4850788	0.7990274	0.1271327	0.1202696	0.0376323	0.7152270
750	0.2575605	0.3832600	0.4445501	0.8280157	0.4852863	0.7849523	0.0395942	0.0778789	0.0341547	0.8406102
800	0.1031122	0.3562924	0.5357520	0.8418574	0.4874514	0.7815637	0.0717144	0.0989382	0.0160112	0.6975050
850	0.1384582	0.3944434	0.5352752	0.8349022	0.4200598	0.7716850	0.0684575	0.0950738	0.0123296	0.6528393
