"Time"	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C
850	0.7564927	0.4978481	0.3605955	0.1788931	0.1388045	0.0706877	0.4028556	0.7415151	0.2627966	0.6423021
900	0.7799144	0.5300571	0.3270731	0.1433834	0.1389146	0.0794533	0.4622829	0.5553121	0.3777420	0.7332790
950	0.6533866	0.6013028	0.4352736	0.2237889	0.2584520	0.0319732	0.5060304	0.6280203	0.3273842	0.5522696
1000	0.8688592	0.7701078	0.4474092	0.1729239	0.1036697	0.0696394	0.5876913	0.6643900	0.2347180	0.5735744

0	0.7442262	0.5171461	0.2700805	0.1118241	0.1276764	0.0607181	0.7202501	0.6799284	0.3560461	0.7223078
50	0.5990044	0.5484923	0.2419666	0.1440182	0.0459401	0.0356717	0.6567330	0.5113884	0.2360383	0.7790811
100	0.6902724	0.5839866	0.3283901	0.0812265	0.0500857	0.0209287	0.6047145	0.5182527	0.3886464	0.6890089
150	0.6205757	0.6150665	0.2103953	0.0460121	0.0154849	0.0078961	0.6042470	0.6412969	0.3462971	0.6636737
200	0.6450438	0.6955363	0.2025913	0.0386439	0.0327490	0.0103987	0.6882023	0.4303427	0.2627642	0.8031266
250	0.7526251	0.5286017	0.2705399	0.0509917	0.0073625	0.0145385	0.5869446	0.3877176	0.3327518	0.7363230
300	0.7205279	0.5767505	0.1531321	0.0654003	0.0306265	0.0073530	0.6931529	0.4123844	0.2945295	0.7902410
350	0.7308649	0.6748650	0.1149298	0.0295796	0.0031548	0.0058544	0.6232402	0.4011924	0.2706684	0.7536853
400	0.6640658	0.7131589	0.1252566	0.0586668	0.0060363	0.0006104	0.6842065	0.4023819	0.2763195	0.6274832
450	0.7580546	0.6111677	0.1193875	0.0473865	0.0068357	0.0194929	0.6826281	0.4395997	0.3691497	0.6333615
500	0.9302812	0.5139543	0.1535227	0.0707089	0.0010325	0.0037032	0.7535765	0.3824314	0.2346696	0.6910376
550	0.6955643	0.5975518	0.1032397	0.0403915	0.0023491	0.0174602	0.6869291	0.4956844	0.3640356	0.6000172
600	0.5963687	0.3789849	0.1357054	0.0095358	0.0057121	0.0544586	0.9584346	0.5623049	0.2105274	0.7815754
650	0.6068532	0.3861887	0.0657917	0.0186821	0.0375731	0.0373513	0.7235211	0.6809732	0.2937382	0.9535860
700	0.5680399	0.3750929	0.0755852	0.0245809	0.0371868	0.0349685	0.6000439	0.5686886	0.3189777	0.6793704
750	0.5083370	0.2206530	0.1154936	0.0604602	0.0539555	0.0460233	0.7276274	0.4491241	0.5288499	0.6158756
800	0.4299540	0.3595396	0.1812118	0.0596488	0.0525523	0.0665718	0.8568408	0.3327279	0.4142042	0.6548438
850	0.4771054	0.3135371	0.1544522	0.0837971	0.0813729	0.0634975	0.6287791	0.3024417	0.4770282	0.6746779
900	0.4646977	0.5556351	0.1904552	0.0576952	0.0960348	0.1185466	0.6693639	0.3176572	0.4402441	0.6209741
950	0.5586879	0.5078909	0.1746697	0.0648883	0.1014110	0.0288720	0.5975487	0.2875627	0.3698803	0.6578292
1000	0.5746596	0.4667806	0.2289455	0.0741159	0.0898473	0.0695152	0.5926731	0.3504138	0.3781440	0.7357286

0	0.7347342	0.5751166	0.2629532	0.1432360	0.2099988	0.0474633	0.5216573	0.5988300	0.3455541	0.7929731
50	0.6731429	0.6147164	0.3353163	0.1978415	0.0566313	0.0703066	0.5836176	0.6279813	0.3681959	0.6460864
100	0.6825745	0.5327955	0.3256149	0.3185741	0.1162987	0.0494310	0.6246444	0.6382368	0.3281670	0.6545342
150	0.6844188	0.4942952	0.4625336	0.4220388	0.1061998	0.0406219	0.6609108	0.6457422	0.2504629	0.6854418
