"Time"	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W
950	0.9977267	0.0347224	0.3561630	0.7695648	0.5904431	0.4277337	0.2019989	0.8769332	0.3655753	0.9999999
1000	0.9978336	0.0347287	0.3562526	0.7694199	0.5903629	0.4278131	0.2019798	0.8769438	0.3655746	1.0000000

0	0.9979138	0.0347385	0.3564597	0.7691668	0.5902783	0.4278940	0.2019648	0.8769502	0.3655743	1.0000000
50	0.9979092	0.0347456	0.3556607	0.7982915	0.8865102	0.4278947	0.2019648	0.8769502	0.3655743	1.0000000
100	0.9979067	0.0346049	0.3473490	0.8543390	0.9535207	0.4278950	0.2019648	0.8769502	0.3655743	1.0000000
150	0.9979260	0.0340303	0.3315801	0.8916871	0.9686790	0.4278951	0.2019648	0.8769502	0.3655743	1.0000000
200	0.9979978	0.0331647	0.3156134	0.9108871	0.9721080	0.4278951	0.2019648	0.8769502	0.3655743	1.0000000
250	0.9981224	0.0323752	0.3035221	0.9198061	0.9728837	0.4278948	0.2019648	0.8769502	0.3655743	1.0000000
300	0.9982665	0.0318217	0.2957162	0.9237265	0.9730591	0.4278945	0.2019648	0.8769502	0.3655743	1.0000000
350	0.9983969	0.0314823	0.2911574	0.9253877	0.9730988	0.4278942	0.2019648	0.8769502	0.3655743	1.0000000
400	0.9984981	0.0312882	0.2886739	0.9260730	0.9731078	0.4278940	0.2019648	0.8769502	0.3655743	1.0000000
450	0.9985691	0.0311817	0.2873890	0.9263498	0.9731098	0.4278938	0.2019648	0.8769502	0.3655743	1.0000000
500	0.9986155	0.0311252	0.2867504	0.9264599	0.9731103	0.4278937	0.2019648	0.8769502	0.3655743	1.0000000
550	0.9986443	0.0310963	0.2866189	0.9167833	0.6768783	0.4278936	0.2019648	0.8769502	0.3655743	1.0000000
600	0.9986614	0.0310959	0.2890446	0.8818537	0.6098678	0.4278936	0.2019648	0.8769502	0.3655743	1.0000000
650	0.9986695	0.0311762	0.2968740	0.8394310	0.5947094	0.4278936	0.2019648	0.8769502	0.3655743	1.0000000
700	0.9986661	0.0314119	0.3094450	0.8068499	0.5912805	0.4278936	0.2019648	0.8769502	0.3655743	1.0000000
750	0.9986442	0.0318387	0.3233163	0.7874186	0.5905048	0.4278936	0.2019648	0.8769502	0.3655743	1.0000000
800	0.9985960	0.0324199	0.3352988	0.7774213	0.5903293	0.4278937	0.2019648	0.8769502	0.3655743	1.0000000
850	0.9985186	0.0330535	0.3440200	0.7727246	0.5902896	0.4278939	0.2019648	0.8769502	0.3655743	1.0000000
900	0.9984171	0.0336248	0.3496293	0.7706451	0.5902807	0.4278941	0.2019648	0.8769502	0.3655743	1.0000000
950	0.9983042	0.0340647	0.3529228	0.7697611	0.5902786	0.4278944	0.2019648	0.8769502	0.3655743	1.0000000
1000	0.9981951	0.0343630	0.3547283	0.7693962	0.5902782	0.4278946	0.2019648	0.8769502	0.3655743	1.0000000
