"Time"	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W
150	0.6720682	0.5201842	0.2539380	0.1620614	0.2017582	0.5506690	0.4455030	0.0509686	0.7473632	0.0588653
200	0.6076666	0.4530963	0.2793551	0.2191123	0.1977144	0.6048846	0.4661129	0.0756901	0.6848621	0.1183927
250	0.5308776	0.4477253	0.2763623	0.1937896	0.1295427	0.4179116	0.5410974	0.0678606	0.6828626	0.0955382
300	0.4991935	0.3654708	0.2186741	0.2233163	0.1886987	0.4777130	0.5604609	0.0546635	0.7209631	0.1139331
350	0.5401836	0.4045057	0.2239094	0.2655390	0.2265936	0.4886133	0.5319184	0.0466392	0.7701802	0.2532745
400	0.5784022	0.4850313	0.2524794	0.2550181	0.1876773	0.3631392	0.4449692	0.0496479	0.7379200	0.2044895
450	0.6103104	0.4015987	0.2251022	0.2613741	0.2502238	0.5299236	0.5324934	0.0410986	0.6623557	0.1784395
500	0.5120018	0.4396318	0.2586896	0.2268396	0.2183044	0.4286965	0.6216194	0.0382902	0.7294529	0.1810117
550	0.6409157	0.2677858	0.3931368	0.2922011	0.2142586	0.3422249	0.4805773	0.0399370	0.9629415	0.1688878
600	0.6667142	0.5054177	0.5650854	0.4067998	0.2304075	0.4913445	0.4926366	0.0384438	0.7122250	0.1474107
650	0.6086353	0.4893255	0.5114836	0.3834897	0.2364412	0.4409527	0.5873577	0.0570257	0.7233080	0.1145489
700	0.8844725	0.6898277	0.5951279	0.3325732	0.3849615	0.5401654	0.5489331	0.0713513	0.6358765	0.0569710
750	0.6142380	0.5189116	0.5350867	0.3125781	0.3839174	0.5180107	0.4823108	0.0750505	0.7339143	0.0646020
800	0.7044876	0.6576704	0.5676947	0.3003029	0.3392952	0.6004533	0.5630437	0.0898368	0.7927931	0.0730918
850	0.7183458	0.6900712	0.5265087	0.2722373	0.4071604	0.5623182	0.4300525	0.1011031	0.8387174	0.0646689
900	0.7920036	0.7421046	0.7069893	0.1908274	0.3349052	0.6232807	0.4202936	0.1292628	0.5989124	0.0302659
950	0.6939867	0.6620538	0.6043914	0.1775744	0.4632415	0.4636433	0.4828208	0.0991400	0.8630724	0.0755931
