"Time"	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C
100	0.3471028	0.5448281	0.7032608	0.5625347	0.8531405	0.4170055	0.5120703	0.1719323	0.6551973	0.9873040
150	0.3217131	0.5447511	0.7017858	0.5707181	0.8828449	0.5294069	0.5380510	0.2052271	0.6228120	0.9925347
200	0.3071670	0.5442863	0.6955865	0.5888462	0.9104026	0.5870463	0.5453710	0.2248715	0.6112501	0.9961555
250	0.2904949	0.5427013	0.6838839	0.6089716	0.9269781	0.6103027	0.5476582	0.2342498	0.6071224	0.9979199
300	0.2727663	0.5395548	0.6703602	0.6245532	0.9353321	0.6175779	0.5484963	0.2382408	0.6056487	0.9986952
350	0.2578607	0.5352576	0.6587716	0.6343839	0.9391015	0.6181730	0.5488457	0.2398309	0.6051226	0.9990204
400	0.2474416	0.5307246	0.6505817	0.6398064	0.9405783	0.6163920	0.5489992	0.2404400	0.6049348	0.9991497
450	0.2410796	0.5267539	0.6455251	0.6424805	0.9409900	0.6141786	0.5490667	0.2406677	0.6048678	0.9991952
500	0.2375968	0.5237300	0.6427222	0.6436362	0.9409583	0.6123108	0.5490956	0.2407515	0.6048438	0.9992062
550	0.4465386	0.5216692	0.6413236	0.6440034	0.9398731	0.5177179	0.1969054	0.2112005	0.8589253	0.9991737
600	0.5074881	0.5203928	0.6408252	0.6428003	0.9287163	0.3659232	0.1007760	0.1646019	0.9496350	0.9986653
650	0.5289422	0.5197244	0.6419180	0.6358900	0.9035789	0.3069405	0.0738944	0.1391364	0.9820192	0.9966724
700	0.5481725	0.5197589	0.6467400	0.6208113	0.8750760	0.2883480	0.0662450	0.1282274	0.9935807	0.9927379
750	0.5775791	0.5209492	0.6565216	0.6009147	0.8535940	0.2834154	0.0640400	0.1239412	0.9977082	0.9882487
800	0.6149427	0.5236948	0.6697340	0.5821902	0.8414820	0.2836197	0.0633934	0.1223225	0.9991818	0.9848937
850	0.6514331	0.5278310	0.6831163	0.5685356	0.8363703	0.2860696	0.0631990	0.1217239	0.9997079	0.9831430
900	0.6799257	0.5326103	0.6939352	0.5605777	0.8353602	0.2893524	0.0631389	0.1215053	0.9998957	0.9826366
950	0.6982383	0.5371330	0.7011208	0.5570765	0.8363681	0.2925472	0.0631196	0.1214261	0.9999628	0.9828468
1000	0.7077614	0.5407656	0.7049792	0.5563847	0.8381061	0.2951205	0.0631133	0.1213976	0.9999867	0.9833549

0	0.7038835	0.5447464	0.7036422	0.5612501	0.8426085	0.2978781	0.0631100	0.1213815	1.0000000	0.9848532
50	0.6337351	0.5241912	0.3790479	0.5654507	0.8633054	0.2827258	0.1067431	0.1668703	0.3585511	0.9847327
100	0.6060252	0.4590408	0.2763536	0.5737433	0.8617715	0.2356982	0.1195022	0.3947295	0.1295474	0.9821040
150	0.5897221	0.3886428	0.2427964	0.5750191	0.8418258	0.1877351	0.1426640	0.7139866	0.0477909	0.9712382
200	0.5872019	0.3376720	0.2327045	0.5634842	0.8071009	0.1577115	0.2498532	0.9011211	0.0186030	0.9448118
250	0.6047674	0.3082805	0.2328831	0.5389745	0.7713116	0.1690132	0.4056265	0.9703850	0.0081826	0.9280381
300	0.6404624	0.2946538	0.2388403	0.5116928	0.7730859	0.2630420	0.5165415	0.9915617	0.0044625	0.9549152
350	0.6754006	0.2908572	0.2458448	0.5071706	0.8242490	0.3757942	0.5739328	0.9975546	0.0031343	0.9793095
400	0.6819959	0.2917709	0.2472823	0.5337001	0.8756040	0.4494438	0.5993901	0.9992070	0.0026602	0.9909785
450	0.6513077	0.2927713	0.2411001	0.5705214	0.9072137	0.4871278	0.6097179	0.9996635	0.0024909	0.9958356
500	0.5992378	0.2910962	0.2311734	0.6005505	0.9236038	0.5032575	0.6136667	0.9997920	0.0024305	0.9978058
550	0.6108196	0.3198875	0.5332683	0.6180945	0.9208801	0.5238450	0.5788770	0.7340688	0.6438578	0.9980002
600	0.5918492	0.3953888	0.6197324	0.6253266	0.9239008	0.5377790	0.3918883	0.3488570	0.8728537	0.9982721
650	0.5761850	0.4567333	0.6431974	0.6290809	0.9243131	0.4300468	0.1862806	0.1973333	0.9546075	0.9983532
700	0.5668548	0.4921681	0.6488664	0.6293210	0.9106826	0.3292368	0.1005006	0.1465105	0.9837944	0.9973977
750	0.5663841	0.5097254	0.6514064	0.6218636	0.8854899	0.2948886	0.0738883	0.1297873	0.9942145	0.9944701
800	0.5799817	0.5180503	0.6569688	0.6065293	0.8615828	0.2857478	0.0661896	0.1242346	0.9979345	0.9901389
850	0.6073376	0.5228448	0.6669215	0.5885763	0.8461451	0.2844149	0.0639942	0.1223628	0.9992626	0.9862923
900	0.6405006	0.5270294	0.6790556	0.5735466	0.8386522	0.2859298	0.0633667	0.1217226	0.9997367	0.9839522
950	0.6701750	0.5314532	0.6902050	0.5637433	0.8362006	0.2886506	0.0631856	0.1215010	0.9999060	0.9829919
1000	0.6913684	0.5358261	0.6984154	0.5587177	0.8363996	0.2916474	0.0631326	0.1214236	0.9999664	0.9829137
