"Time"	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C
950	0.2147286	0.9917930	0.6750785	0.4198238	0.6610485	0.9996366	0.2371779	0.4675929	0.9996786	1.0000000
1000	0.2142730	0.9918237	0.6625981	0.4177743	0.6617274	0.9996652	0.2368350	0.4682534	0.9996786	1.0000000

0	0.2141864	0.9908376	0.6403148	0.4161737	0.6620993	0.9995876	0.2358100	0.4689056	0.9996786	1.0000000
50	0.1638669	0.9919722	0.6401457	0.4177494	0.6373560	0.7885399	0.2355513	0.4738426	0.9998285	1.0000000
100	0.1224982	0.9932704	0.6445465	0.4455578	0.5339458	0.6762293	0.2322188	0.4922733	0.9999279	1.0000000
150	0.1040049	0.9940670	0.6742874	0.5269429	0.4220840	0.6354153	0.2242143	0.5091332	0.9999586	1.0000000
200	0.0963900	0.9947232	0.7387192	0.6363142	0.3461815	0.6207251	0.2153315	0.5188778	0.9999666	1.0000000
250	0.0932748	0.9954621	0.8131016	0.7303599	0.3046327	0.6154667	0.2085666	0.5235703	0.9999684	1.0000000
300	0.0919628	0.9961961	0.8739061	0.7917137	0.2844613	0.6135930	0.2043834	0.5256582	0.9999689	1.0000000
350	0.0913744	0.9967946	0.9150734	0.8254766	0.2753826	0.6129278	0.2021020	0.5265603	0.9999690	1.0000000
400	0.0910873	0.9972173	0.9400715	0.8421749	0.2715028	0.6126927	0.2009524	0.5269513	0.9999690	1.0000000
450	0.0909359	0.9974886	0.9542538	0.8498718	0.2699061	0.6126102	0.2004006	0.5271260	0.9999690	1.0000000
500	0.0908519	0.9976518	0.9619379	0.8532475	0.2692677	0.6125817	0.2001423	0.5272080	0.9999690	1.0000000
550	0.1407620	0.9972758	0.9659567	0.8519088	0.2992455	0.8236895	0.2001034	0.5245889	0.9998191	1.0000000
600	0.1817674	0.9968078	0.9674933	0.8078746	0.4125252	0.9360360	0.2017185	0.5112122	0.9997197	1.0000000
650	0.2000650	0.9965476	0.9641847	0.6998318	0.5238821	0.9768810	0.2070324	0.4947481	0.9996890	1.0000000
700	0.2075695	0.9964066	0.9489528	0.5849580	0.5946911	0.9916288	0.2147719	0.4828053	0.9996810	1.0000000
750	0.2106020	0.9962634	0.9136327	0.5040820	0.6317840	0.9969496	0.2221814	0.4760212	0.9996792	1.0000000
800	0.2118417	0.9960051	0.8589875	0.4581680	0.6492510	0.9988614	0.2276928	0.4726306	0.9996787	1.0000000
850	0.2123881	0.9955471	0.7976242	0.4350614	0.6569436	0.9995331	0.2311721	0.4710471	0.9996786	1.0000000
900	0.2126930	0.9948715	0.7433165	0.4242639	0.6601740	0.9997452	0.2331398	0.4703188	0.9996786	1.0000000
