"Time"	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W
400	0.3560338	0.0032368	0.0040518	1.0915339	0.5630755	0.0076764	0.3995653	0.0002691	0.9944354	0.0731002
450	0.3319661	0.0011128	0.0040027	0.9887456	0.5463826	0.0163417	0.2563825	0.0005256	0.9895958	0.0684031
500	0.3126545	0.0044670	0.0139602	0.9423804	0.4483705	0.0225259	0.3060416	0.0050224	0.9298390	0.1106060
550	0.8632725	0.1902152	0.2487109	0.9884512	0.3800754	0.4562390	0.3972673	0.0133374	0.9301148	0.1197456
600	0.9399656	0.5418901	0.2862266	0.9306711	0.4287519	0.5981005	0.4904375	0.0257734	0.9908927	0.1828961
650	0.7124670	0.6417012	0.1544483	0.9977631	0.4295444	0.5529001	0.4356092	0.0144407	0.8458492	0.2360069
700	0.5994247	0.4691507	0.0947360	1.0119059	0.4331453	0.5518114	0.4530282	0.0173502	0.8132623	0.2665587
750	0.4992787	0.3276847	0.1252786	0.9079725	0.4545599	0.5954725	0.5190159	0.0497700	0.7597766	0.2980214
800	0.5639441	0.2766522	0.1846855	0.9563556	0.5466231	0.5706544	0.4680690	0.0338627	0.5557174	0.2936826
850	0.7336372	0.3176372	0.1492034	0.9669058	0.4962693	0.5369261	0.3731362	0.0360224	0.6248943	0.3495487
900	0.6597143	0.3826308	0.1278337	1.0249815	0.4371749	0.5506927	0.3505605	0.0450883	0.6200958	0.3627066
950	0.6077440	0.3865235	0.1652851	0.9997675	0.4521472	0.6141712	0.4406245	0.0181601	0.5303213	0.3406722
1000	0.6177115	0.2470523	0.1519314	1.0595967	0.4766038	0.5892180	0.4825393	0.0230941	0.5623015	0.3651784

0	0.8594041	0.1813422	0.1161993	1.0103852	0.4592104	0.5681983	0.3985488	0.0320270	0.5600813	0.3742496
50	0.9811117	0.1502987	0.0940034	1.0785492	0.7991449	0.4689524	0.3696746	0.0273279	0.2615670	0.8940908
100	0.8897277	0.1484037	0.0970882	1.0071737	0.9376421	0.5227716	0.2292458	0.0177128	0.1961097	0.9642990
150	0.8974694	0.1966629	0.1085397	1.0379396	0.8783888	0.7148664	0.0999343	0.0279671	0.1541087	0.9102621
200	0.9309967	0.1695918	0.1355584	0.9914831	0.8653597	0.9029797	0.0704683	0.0218899	0.1569639	0.9126158
250	0.7905685	0.1778677	0.1079325	0.9411672	0.9041405	0.8872339	0.0919254	0.0256147	0.1207741	0.9228880
300	0.9184305	0.2270324	0.1171324	0.9597962	0.9192694	0.9393022	0.0662710	0.0300448	0.1412863	0.9186704
350	0.8186536	0.1523632	0.1031782	1.0022874	0.8734901	0.9531850	0.0692906	0.0457182	0.1540002	0.9599899
400	0.8831315	0.1018799	0.1177070	0.9330504	0.9078620	0.8558358	0.0684416	0.0250948	0.1194080	1.0320012
450	0.9727263	0.0990171	0.0865003	0.9845149	0.8583732	0.8476123	0.0750631	0.0355512	0.1238922	0.9861394
500	0.9848762	0.1322853	0.1042538	1.0378569	0.8252187	0.9402127	0.0868372	0.0163115	0.1113207	0.9852686
550	0.9059392	0.1476456	0.1017788	1.0206979	0.2981248	0.8629750	0.1342114	0.0320254	0.1496885	0.6011097
600	0.8844874	0.1240179	0.1136556	0.9627970	0.2117468	0.8286199	0.3458415	0.0236081	0.2513165	0.5585483
650	0.8815719	0.2142702	0.1168298	0.9437508	0.3277001	0.7051287	0.6111093	0.0318895	0.3695440	0.5014604
700	0.9260888	0.3314565	0.0913354	0.9051823	0.5050442	0.5524055	0.6485107	0.0345291	0.3950531	0.4630366
750	0.7584829	0.2576442	0.1223182	0.9653539	0.4939814	0.5089356	0.5206421	0.0320947	0.4603705	0.4218159
800	0.7489100	0.2084708	0.1038384	0.9182986	0.5696354	0.4901541	0.4374215	0.0255698	0.5016713	0.3775638
850	0.7709714	0.2120975	0.1128754	0.8953746	0.5045560	0.4516457	0.3799198	0.0247251	0.5450476	0.2732779
900	0.8215637	0.2951381	0.1120410	0.9537989	0.5019318	0.5618480	0.3620216	0.0247391	0.7256165	0.2209081
950	0.7879347	0.2824377	0.1158240	0.9176669	0.4778617	0.6043099	0.4127463	0.0214886	0.6649797	0.3048714
1000	0.7620424	0.1607642	0.1224143	1.0508261	0.4500251	0.5911321	0.3501746	0.0192641	0.7404280	0.2562105

0	0.8594041	0.1813422	0.1161993	1.0103852	0.4592104	0.5681983	0.3985488	0.0320270	0.5600813	0.3742496
50	0.7082581	0.1233585	0.0600954	0.9335698	0.9155576	0.4755958	0.3678347	0.0283463	0.5213722	0.3255995
100	0.6476712	0.0662455	0.0326222	0.9233779	0.9276246	0.6409093	0.2209350	0.0332995	0.5861066	0.3020963
150	0.7423227	0.0285140	0.0319132	0.9818600	0.8872044	0.6680730	0.1695903	0.0219580	0.5692429	0.3242366
200	0.8054717	0.0331059	0.0258320	0.9952450	0.8594365	0.7608040	0.1444486	0.0281147	0.4934753	0.3870757
250	0.8385106	0.0306660	0.0320433	1.0689429	0.9350323	0.8315775	0.1105961	0.0249019	0.5310578	0.4528756
300	0.7298967	0.0222663	0.0387952	0.9910311	0.9059366	0.8698932	0.1154510	0.0293814	0.4116460	0.4342958
350	0.7449298	0.0180363	0.0383724	1.0225952	0.9015472	0.9408830	0.0898851	0.0315100	0.5208944	0.4751099
400	0.7249136	0.0079616	0.0324917	0.9829393	0.8385475	0.8819901	0.1166239	0.0405141	0.4232346	0.5193564
450	0.7705289	0.0295129	0.0288143	0.9632837	0.7977758	0.9829940	0.1253645	0.0235142	0.3850396	0.5303510
500	0.8087755	0.0203202	0.0241329	1.0158480	0.8702691	0.9300314	0.0950083	0.0290798	0.3462434	0.5969397
550	1.0003575	0.0492526	0.1220094	0.9593288	0.3372927	0.9059828	0.1421964	0.0266081	0.2897036	0.5943994
600	0.9329274	0.0909412	0.1186065	0.9966352	0.1953164	0.9152999	0.3828839	0.0296530	0.2598862	0.5444651
650	0.9032452	0.1691732	0.1347613	0.9801256	0.3137097	0.7240898	0.6737325	0.0412675	0.3580967	0.5145103
700	0.8729649	0.3346893	0.1570771	1.0366210	0.5403589	0.4893835	0.7341872	0.0257577	0.3667358	0.4527540
750	0.7827808	0.3678231	0.1231872	1.0052684	0.5802216	0.4579498	0.5029858	0.0224563	0.3960172	0.3506569
800	0.6893077	0.3663877	0.1207396	0.9401780	0.4862980	0.5161857	0.4393363	0.0342666	0.5251510	0.3315913
850	0.7265029	0.4106442	0.1525943	0.9545116	0.4401410	0.5344736	0.4199695	0.0376784	0.5576881	0.2607892
900	0.6092939	0.3898835	0.1104810	1.0405778	0.4770771	0.5844918	0.4351689	0.0256405	0.5776518	0.3172610
950	0.5761533	0.3128104	0.0901914	1.0493058	0.5223492	0.5384654	0.4057745	0.0143572	0.6275227	0.3122332
1000	0.6907690	0.2350259	0.1182578	0.9489752	0.4981131	0.6298599	0.3714549	0.0142102	0.5492166	0.3416889

0	0.8594041	0.1813422	0.1161993	1.0103852	0.4592104	0.5681983	0.3985488	0.0320270	0.5600813	0.3742496
50	0.8380263	0.2599130	0.0314848	0.5473443	0.7628662	0.2672745	0.4799118	0.0230368	0.2115664	0.3664001
100	0.7654899	0.1708797	0.0131957	0.3887376	0.8210638	0.1640015	0.2708806	0.0157163	0.1853840	0.2191939
150	0.8046875	0.2301196	0.0134911	0.3665053	0.8654380	0.2360858	0.1583211	0.0163051	0.2843359	0.1052219
200	0.8199253	0.2231817	0.0036278	0.3077718	0.8336175	0.2117908	0.1205347	0.0294291	0.3049644	0.0809125
250	0.8655867	0.1819630	0.0087396	0.3121405	0.7834410	0.2220827	0.1279915	0.0282117	0.3410394	0.1011026
300	0.8223059	0.1824822	0.0025478	0.3182900	0.7990919	0.2183383	0.1163189	0.0230568	0.2779536	0.0929238
350	0.8318399	0.1834516	0.0052214	0.3044785	0.7289044	0.2234333	0.1170023	0.0290315	0.3836737	0.0893660
400	0.8123764	0.1939779	0.0025339	0.2833717	0.7478217	0.1827192	0.1069973	0.0295900	0.3668057	0.1084469
450	0.9637882	0.1638182	0.0041039	0.3209730	0.7513664	0.2408225	0.1212035	0.0425189	0.3721297	0.0953087
500	0.8740341	0.2213790	0.0099595	0.2835410	0.7580707	0.2535708	0.1147480	0.0265183	0.3269026	0.1161001
