"Time"	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W
600	0.6781912	0.9669183	0.4090843	0.9477553	0.3205791	0.5397252	0.9832608	0.9260997	0.3053374	0.9140112
650	0.6665628	0.9160404	0.4401764	0.9477024	0.3206109	0.5395179	0.9804574	0.7737385	0.4324428	0.9736423
700	0.6449423	0.8736787	0.4505145	0.9476719	0.3206104	0.5382903	0.9735189	0.7231685	0.5015625	0.9919207
750	0.6205829	0.8484122	0.4539577	0.9476658	0.3204129	0.5355427	0.9663643	0.7266473	0.5345416	0.9975235
800	0.6003529	0.8356852	0.4551036	0.9477256	0.3198191	0.5322106	0.9626564	0.7377987	0.5491744	0.9992409
850	0.5865776	0.8298541	0.4554680	0.9479077	0.3188962	0.5296561	0.9620264	0.7455334	0.5553588	0.9997673
900	0.5783792	0.8273415	0.4555411	0.9482164	0.3179542	0.5283802	0.9627316	0.7496663	0.5578804	0.9999287
950	0.5739434	0.8263229	0.4554833	0.9485833	0.3172614	0.5280863	0.9636399	0.7516393	0.5588805	0.9999781
1000	0.5717135	0.8259599	0.4553620	0.9489166	0.3168917	0.5282785	0.9643407	0.7525269	0.5592684	0.9999933

0	0.5711492	0.8267111	0.4548453	0.9491968	0.3171691	0.5293988	0.9652567	0.7533460	0.5595036	1.0000000
50	0.5707907	0.8264509	0.4549141	0.9492094	0.3171438	0.5292265	0.9616554	0.6087286	0.5595039	1.0000000
100	0.5705304	0.8263101	0.4549403	0.9492206	0.3171524	0.5274588	0.9502812	0.5761756	0.5595040	1.0000000
150	0.5703629	0.8262397	0.4549481	0.9492337	0.3169065	0.5229984	0.9380948	0.5688440	0.5595041	1.0000000
200	0.5702643	0.8262076	0.4549451	0.9493217	0.3160113	0.5171726	0.9295424	0.5671912	0.5595041	1.0000000
250	0.5702107	0.8261979	0.4549171	0.9495937	0.3144928	0.5118719	0.9247646	0.5668188	0.5595041	1.0000000
