"Time"	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W
1000	0.1849115	0.4895731	0.3946474	0.7299388	0.0231113	0.0160790	0.0184889	0.6682967	0.5929093	0.7605954

0	0.1706051	0.5184982	0.4089276	0.7701457	0.0619868	0.0101275	0.0369320	0.7475908	0.7604958	0.7025842
50	0.1694388	0.4222361	0.4271945	0.6345478	0.0285537	0.0099154	0.0224331	0.6727236	0.7649996	0.7245414
100	0.1840150	0.6144091	0.3233364	0.7400309	0.0303946	0.0227357	0.0097550	0.5617967	0.4957802	0.7238302
150	0.1804508	0.4934287	0.3608854	0.7385885	0.0350311	0.0152676	0.0084107	0.4254889	0.4503420	0.6927857
200	0.1158727	0.4531900	0.3105020	0.6989840	0.0133686	0.0101637	0.0542282	0.3777993	0.4573405	0.8186823
250	0.1502766	0.4600618	0.2708997	0.7486449	0.0163982	0.0036758	0.0472155	0.4466210	0.4471646	0.7709351
300	0.2011561	0.5714232	0.4532619	0.5837420	0.0274602	0.0066699	0.0704257	0.3956296	0.4478884	0.6799340
350	0.2138212	0.5556062	0.3205793	0.7163906	0.0249479	0.0105121	0.1134226	0.3682065	0.3021276	0.7325773
400	0.2410875	0.4543531	0.2938551	0.5583368	0.0259006	0.0106874	0.0991869	0.3395265	0.4293999	0.7241129
450	0.2821376	0.5437323	0.3314088	0.6294331	0.0212739	0.0262113	0.0641936	0.3649899	0.6246117	0.7488098
500	0.3384938	0.5298817	0.3092544	0.6048415	0.0503379	0.0090805	0.0662657	0.3633035	0.3388984	0.5959449
550	0.2991844	0.5835578	0.3321975	0.7062205	0.0342120	0.0157627	0.0839284	0.5082864	0.5977029	0.6336851
600	0.2475837	0.6669820	0.3316602	0.6675983	0.0294056	0.0275446	0.0430558	0.7801329	0.5596111	0.7859794
650	0.2475385	0.5406198	0.4052666	0.6501685	0.0356133	0.0074382	0.0306068	0.7048884	0.6377740	0.6994094
700	0.2432228	0.5468602	0.5141297	0.7516328	0.0309861	0.0265782	0.0371316	0.7939990	0.6551645	0.7179231
750	0.2121057	0.4090969	0.4145157	0.6916687	0.0234550	0.0178493	0.0385378	0.6215021	0.7642370	0.6543140
800	0.2652125	0.4504649	0.4116417	0.7216599	0.0302027	0.0205803	0.0482493	0.7287647	0.7682781	0.6672787
850	0.1865921	0.4457104	0.4329759	0.6570600	0.0373822	0.0227443	0.0213268	0.7468032	0.8383650	0.6076351
900	0.1809110	0.4343706	0.4744916	0.6041023	0.0227957	0.0095227	0.0427875	0.7623312	0.9869928	0.6774602
950	0.1643662	0.3501770	0.5877753	0.5563933	0.0210758	0.0130251	0.0274540	0.7535157	0.6938763	0.6384296
1000	0.1305044	0.2678013	0.4874712	0.6599246	0.0173102	0.0108671	0.0122506	0.6130778	0.7590500	0.7940428

0	0.1427713	0.4619557	0.4600298	0.7452601	0.0346064	0.0212169	0.0262162	0.7548204	0.7810734	0.6555731
50	0.2113688	0.3567631	0.3589588	0.6621033	0.0345693	0.0151836	0.0217063	0.6323359	0.7092132	0.6527855
100	0.1208004	0.2671443	0.3621404	0.6870209	0.0356710	0.0219233	0.0486441	0.5388508	0.8028752	0.4997223
150	0.0965014	0.1908628	0.4553881	0.6262582	0.0258301	0.0300681	0.0765098	0.4465185	0.6897827	0.4758778
200	0.0646670	0.1865893	0.3619664	0.7027010	0.0128751	0.0197891	0.1072303	0.3817633	0.6776389	0.4722541
250	0.0819527	0.1476342	0.2853787	0.8577812	0.0228533	0.0106901	0.1155876	0.5007368	0.8322746	0.3964210
300	0.0430802	0.1401708	0.3357374	0.8245437	0.0222424	0.0005544	0.1549464	0.4584490	0.8638144	0.4712077
350	0.0420489	0.1308429	0.3782498	0.7860175	0.0135687	0.0129209	0.0436727	0.4615935	0.8712705	0.4686052
400	0.0427455	0.1538989	0.3622909	0.6817109	0.0269505	0.0061542	0.0423996	0.4849143	0.8343454	0.3859071
450	0.0516895	0.2019443	0.4014183	0.6498347	0.0250324	0.0267478	0.1341424	0.3281883	0.7566460	0.3692353
500	0.0461156	0.1640628	0.3770416	0.7397703	0.0240539	0.0373322	0.1047532	0.4233076	0.7541568	0.3394858
550	0.0330369	0.2380625	0.5093497	0.6806316	0.0152176	0.0084684	0.1268891	0.5127564	0.8472172	0.5036355
600	0.0742615	0.3764748	0.3751583	0.7563178	0.0482816	0.0000000	0.1204626	0.6049873	0.8186193	0.5841232
650	0.1368949	0.4741384	0.3687732	0.6939419	0.0744870	0.0016252	0.0446602	0.6723159	0.7229895	0.6342818
700	0.1132041	0.4638951	0.5327190	0.6630679	0.0330568	0.0049574	0.0319904	0.7099860	0.7429043	0.6409771
750	0.1837406	0.4273988	0.3808291	0.6911522	0.0605866	0.0093613	0.0134949	0.7537968	0.7363158	0.6455748
800	0.1473294	0.4295625	0.4183840	0.5891431	0.0380220	0.0029571	0.0491546	0.6694268	0.7270492	0.7141538
850	0.1663877	0.3663333	0.4831187	0.7601637	0.0276747	0.0060444	0.0347605	0.7746058	0.7619244	0.6215319
900	0.1346564	0.4086993	0.3412902	0.6963048	0.0171579	0.0154822	0.0142054	0.8365573	0.8459913	0.7064416
950	0.1556988	0.5082553	0.3861246	0.6819610	0.0206814	0.0107449	0.0155757	0.6257934	0.6693416	0.7210960
1000	0.1781517	0.4433444	0.4325350	0.7203136	0.0314961	0.0190130	0.0354748	0.7133759	0.6510866	0.7328885

0	0.1571142	0.4560682	0.4841189	0.7760156	0.0456352	0.0428777	0.0656062	0.7939426	0.7113864	0.6906614
50	0.2502568	0.3328076	0.4812792	0.7528979	0.0246082	0.1135260	0.0204208	0.6056616	0.6946076	0.8521721
100	0.3705030	0.3667182	0.4443226	0.7424630	0.0388637	0.2263910	0.0700466	0.3311479	0.6641731	0.8156182
150	0.3925260	0.4792650	0.5398984	0.8435141	0.0480524	0.2717537	0.1199913	0.2713185	0.7459614	0.6108971
200	0.5140001	0.3932464	0.4491016	0.6508307	0.0497722	0.5677267	0.2570913	0.2686770	1.0020895	0.6918590
250	0.4399966	0.3001651	0.4912698	0.6340518	0.0500584	0.3595812	0.3539814	0.2174484	0.9506358	0.7817501
300	0.4461086	0.2739928	0.5156542	0.8139893	0.0691480	0.3835604	0.2017539	0.2183634	0.7509421	0.7557651
350	0.4028840	0.3844173	0.4338847	0.7080899	0.0834847	0.4674316	0.3039946	0.2329448	0.8171836	0.7600069
400	0.4508663	0.4108438	0.3832946	0.6242062	0.1445780	0.4349111	0.3729598	0.1920869	0.7891343	0.8249459
450	0.4857844	0.4350925	0.3872777	0.7038626	0.1069787	0.7599785	0.3308641	0.1878491	0.7473022	0.7986869
500	0.5162441	0.4300337	0.4419213	0.6022084	0.1595391	0.7531193	0.3723200	0.2278663	0.8156623	0.6912051
550	0.3443373	0.3912402	0.4536968	0.5516611	0.1474339	0.5629935	0.2543064	0.4245206	0.7418698	0.7994287
600	0.2567135	0.4047840	0.4673119	0.5774060	0.2747582	0.6474562	0.1535346	0.5422209	0.8563448	0.7312996
650	0.2046753	0.3731018	0.3637666	0.5206613	0.3018157	0.6244757	0.0531422	0.6054098	0.7178392	0.6718181
700	0.1765104	0.4974350	0.4209384	0.5620318	0.3949979	0.5160096	0.0278147	0.6703754	0.7969039	0.6919982
750	0.1154033	0.3872223	0.3096954	0.4527441	0.2565098	0.4983579	0.0339247	0.6812595	0.7471929	0.6486180
800	0.1830904	0.4535245	0.3783398	0.5650883	0.2070662	0.2596302	0.0286679	0.9560314	0.7907100	0.7460313
850	0.1347774	0.3292154	0.3936253	0.5411727	0.1698325	0.1165093	0.0395185	0.8273124	0.6868383	0.6069157
900	0.1298512	0.4226509	0.3357888	0.5383899	0.1143594	0.0625560	0.0664977	0.6763546	0.7835892	0.6910725
950	0.1661355	0.4577448	0.4307748	0.5092936	0.0731605	0.0627275	0.0362364	0.7153391	0.8474895	0.6558893
1000	0.1631962	0.3620454	0.4279457	0.5789146	0.0649143	0.0444799	0.0183372	0.6350480	0.8637133	0.7154905

0	0.1644678	0.4836716	0.4161356	0.7318018	0.0722546	0.0254235	0.0263010	0.7636329	0.7632716	0.7549917
