"Time"	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
650	0.4775155	0.3950184	0.7980241	0.9998071	0.0556084	0.1994012	0.8963064	0.3004828	0.2379099	1.0000000
700	0.4629404	0.4221949	0.7534209	0.9998426	0.0519900	0.2025084	0.9472127	0.2408935	0.2299652	1.0000000
750	0.4396119	0.4423744	0.7253581	0.9998752	0.0509843	0.2091914	0.9737746	0.2063310	0.2217239	1.0000000
800	0.4194097	0.4566110	0.7097369	0.9998953	0.0521348	0.2152836	0.9866979	0.1921999	0.2175657	1.0000000
850	0.4046338	0.4658253	0.7017891	0.9999018	0.0542220	0.2195323	0.9925200	0.1906002	0.2183054	1.0000000
900	0.3947542	0.4712869	0.6980384	0.9998984	0.0562974	0.2221007	0.9948700	0.1950232	0.2221697	1.0000000
950	0.3885805	0.4742740	0.6964319	0.9998900	0.0579235	0.2235144	0.9955871	0.2013224	0.2269687	1.0000000
1000	0.3849467	0.4757830	0.6958750	0.9998803	0.0590289	0.2242357	0.9955680	0.2073254	0.2312731	1.0000000

0	0.3813870	0.4764500	0.6967198	0.9998559	0.0603500	0.2246295	0.9937601	0.2209559	0.2391829	1.0000000
50	0.3814547	0.4726636	0.7768168	0.9663729	0.1725589	0.1366582	0.9937467	0.2211257	0.2664992	1.0000000
100	0.3844499	0.4523191	0.8767466	0.9278660	0.2846095	0.0580019	0.9937315	0.2211144	0.3474208	1.0000000
150	0.3951052	0.4249532	0.9394542	0.8986617	0.3388408	0.0233341	0.9937341	0.2200012	0.4082181	1.0000000
200	0.4126378	0.4026579	0.9720971	0.8762099	0.3608774	0.0103495	0.9938198	0.2161783	0.4390250	1.0000000
250	0.4318557	0.3883394	0.9876463	0.8604446	0.3692025	0.0057623	0.9940883	0.2089621	0.4524692	1.0000000
300	0.4481915	0.3802998	0.9946786	0.8506089	0.3722238	0.0041700	0.9945844	0.1993466	0.4579411	1.0000000
350	0.4598606	0.3761532	0.9977530	0.8450488	0.3732917	0.0036139	0.9952454	0.1891737	0.4600840	1.0000000
400	0.4672187	0.3741356	0.9990653	0.8421310	0.3736620	0.0034141	0.9959460	0.1800201	0.4609024	1.0000000
450	0.4714499	0.3731946	0.9996156	0.8406821	0.3737886	0.0033381	0.9965766	0.1727039	0.4612091	1.0000000
500	0.4737188	0.3727696	0.9998434	0.8399917	0.3738313	0.0033062	0.9970815	0.1673578	0.4613222	1.0000000
550	0.4747222	0.3751713	0.9191972	0.8765345	0.2527657	0.0601887	0.9974527	0.1637167	0.4580012	1.0000000
600	0.4718505	0.3908145	0.8184864	0.9317306	0.1259639	0.1243630	0.9977088	0.1614815	0.4311830	1.0000000
650	0.4600797	0.4156242	0.7552625	0.9689701	0.0654621	0.1681988	0.9978716	0.1610550	0.3675872	1.0000000
700	0.4412500	0.4390671	0.7223457	0.9872971	0.0466019	0.1950444	0.9979420	0.1636047	0.2888757	1.0000000
750	0.4217020	0.4560069	0.7066913	0.9950805	0.0454834	0.2100598	0.9978935	0.1697285	0.2336975	1.0000000
800	0.4059120	0.4663869	0.6996811	0.9981369	0.0495132	0.2178676	0.9976907	0.1786219	0.2122438	1.0000000
850	0.3950497	0.4720698	0.6967406	0.9992759	0.0536968	0.2217083	0.9973182	0.1885694	0.2118409	1.0000000
900	0.3883646	0.4749208	0.6956626	0.9996795	0.0566928	0.2235131	0.9967992	0.1979102	0.2189648	1.0000000
950	0.3845832	0.4762313	0.6954231	0.9998127	0.0585207	0.2243208	0.9961954	0.2056295	0.2264738	1.0000000
1000	0.3825942	0.4767585	0.6955437	0.9998513	0.0595318	0.2246554	0.9955858	0.2114150	0.2320546	1.0000000

0	0.3813870	0.4764500	0.6967198	0.9998559	0.0603500	0.2246295	0.9937601	0.2209559	0.2391829	1.0000000
50	0.3813185	0.4764740	0.6967202	0.8654975	0.0563373	0.1350589	0.9937467	0.2211271	0.2386379	1.0000000
100	0.3812827	0.4764824	0.6967277	0.7255656	0.0396232	0.0552915	0.9937306	0.2212508	0.2261586	1.0000000
150	0.3812657	0.4764833	0.6967365	0.6535581	0.0234274	0.0205410	0.9937164	0.2213340	0.1899867	1.0000000
200	0.3812590	0.4764812	0.6967441	0.6227105	0.0140076	0.0078208	0.9937055	0.2213866	0.1433843	1.0000000
250	0.3812574	0.4764784	0.6967499	0.6105518	0.0096237	0.0034942	0.9936978	0.2214181	0.1050886	1.0000000
300	0.3812581	0.4764758	0.6967540	0.6059752	0.0078049	0.0020760	0.9936927	0.2214359	0.0811640	1.0000000
350	0.3812595	0.4764737	0.6967566	0.6043006	0.0070992	0.0016205	0.9936895	0.2214452	0.0685558	1.0000000
400	0.3812609	0.4764722	0.6967583	0.6036991	0.0068368	0.0014759	0.9936876	0.2214496	0.0625944	1.0000000
450	0.3812621	0.4764713	0.6967593	0.6034857	0.0067422	0.0014303	0.9936866	0.2214513	0.0599733	1.0000000
500	0.3812629	0.4764707	0.6967598	0.6034106	0.0067087	0.0014160	0.9936861	0.2214517	0.0588790	1.0000000
