"Time"	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C
650	0.2176139	1.0211302	0.1601664	0.1999962	0.1828244	0.4100191	0.9580837	0.1940995	0.9497712	0.3417119
700	0.2251459	0.9690993	0.2036347	0.1454581	0.2596497	0.4256147	0.9020940	0.1935898	0.8407468	0.4604498
750	0.1952093	0.9776060	0.1973301	0.2931368	0.2358080	0.4419232	0.8815987	0.1528297	0.6962605	0.5504718
800	0.1848441	0.9211377	0.2155923	0.2482838	0.2487186	0.3660460	1.0418062	0.1507545	0.5253572	0.6164660
850	0.2063750	0.9092474	0.1950751	0.2016636	0.2189084	0.3898625	0.9498611	0.1465975	0.4645764	0.6530551
900	0.1762505	0.9065294	0.1527884	0.1974905	0.1939739	0.4014066	1.0498303	0.1652475	0.4311276	0.7401349
950	0.1595394	0.9534392	0.3510455	0.1185980	0.1866699	0.3818189	0.9994444	0.2784364	0.3062279	0.6881206
1000	0.1876523	0.8514298	0.4306593	0.0821535	0.1702209	0.3798105	0.9230068	0.3774658	0.3226405	0.7282956

0	0.6591946	0.4809636	0.4495238	0.1336238	0.2294961	0.4177404	1.0892630	0.2647102	0.7321969	0.3759237
50	0.5724044	0.3988207	0.1349526	0.6946359	0.1569616	0.4442722	0.9286637	0.1180344	0.8237094	0.3401319
100	0.6006629	0.3750079	0.0422896	0.7246914	0.1829988	0.4411305	1.0074392	0.0601562	0.8391840	0.3157891
150	0.6908204	0.4509605	0.0142302	0.7714951	0.2054863	0.4043266	0.9866013	0.0428208	0.9047351	0.2900910
200	0.7268042	0.4670531	0.0126174	0.7525925	0.1976288	0.3906275	0.9512245	0.0207595	0.9107779	0.1534618
250	0.6517685	0.5279475	0.0024182	0.7069546	0.2268880	0.3716262	0.9797653	0.0239956	0.8928017	0.1075003
300	0.5433226	0.4628750	0.0000006	0.7565161	0.2179287	0.4408531	1.0695970	0.0209647	1.0389457	0.0931700
350	0.4955068	0.4182539	0.0007868	0.6918947	0.2128483	0.4588521	1.1860704	0.0244057	1.0253996	0.0783700
400	0.5331810	0.4458866	0.0001384	0.8047018	0.1802396	0.3756291	1.0694894	0.0081741	1.0789014	0.0620835
450	0.6031575	0.4479659	0.0003445	0.7181904	0.1848561	0.3622074	1.0934577	0.0219548	1.0675512	0.0448000
500	0.6456654	0.4732859	0.0014337	0.6601729	0.1772987	0.4131988	1.0740552	0.0410518	1.0312465	0.0697536
550	0.5404979	0.8011779	0.0288383	0.1898886	0.1631626	0.3440301	0.9969946	0.2395351	1.0267704	0.0481581
600	0.3511159	0.9779486	0.2215308	0.0841534	0.1989765	0.3574433	0.9104541	0.4028476	1.0481016	0.1129705
650	0.2483455	0.9576999	0.5692142	0.0826596	0.1885252	0.4043173	0.8311893	0.3665896	0.9558824	0.3348365
700	0.2035976	0.7209903	0.7904041	0.1077104	0.2043684	0.4616945	0.8692513	0.3112418	0.9084021	0.5079978
750	0.2401677	0.5373280	0.7086056	0.1092480	0.2192877	0.4143322	0.8593411	0.2182393	0.7513242	0.6670540
800	0.3623574	0.4062828	0.6685108	0.0914138	0.1975801	0.4714071	0.8197012	0.2142239	0.6008228	0.7045391
850	0.4790043	0.4141687	0.6942289	0.1244486	0.2311942	0.4104413	0.9088422	0.2874479	0.4701558	0.6358690
900	0.5374422	0.4054751	0.6717102	0.0764350	0.2505064	0.4170207	0.9406575	0.2382205	0.3779097	0.4532467
950	0.5735225	0.3986530	0.6974564	0.0841311	0.2041809	0.3994910	0.9377530	0.2833921	0.5272280	0.3496087
1000	0.5576569	0.4611377	0.6616892	0.0944739	0.1885687	0.4606757	1.0126890	0.3550300	0.6683422	0.3988233
