"Time"	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W
0	1.0415469	0.0131275	0.0682592	0.8853157	0.8700556	1.0162479	0.0406547	0.9986145	0.0428991	0.9892715
50	0.9923902	0.0175721	0.0688395	0.9115012	0.9463864	0.6024993	0.0663697	0.8770313	0.0557975	1.0272349
100	1.0165176	0.0105344	0.0781730	0.9036099	0.9062227	0.4934124	0.0468232	0.9313625	0.0303093	1.0049367
150	0.9439572	0.0165209	0.0586392	0.7341901	0.8132682	0.4348194	0.0356552	0.8184449	0.0302985	1.0043334
200	1.0782635	0.0160570	0.0482459	0.6838248	0.8838653	0.3633753	0.0314116	0.8871588	0.0416328	1.0413571
250	0.9355305	0.0155212	0.0527141	0.6515858	0.7731434	0.3121072	0.0397783	0.8631509	0.0381553	1.0897986
300	0.9961555	0.0466468	0.0400629	0.6016093	0.7552344	0.3890740	0.0341476	0.8707044	0.0462916	1.0649210
350	1.0315579	0.0411194	0.0634418	0.5664682	0.7472678	0.3876293	0.0327541	0.8967929	0.0291973	0.9971102
400	1.0626017	0.0254864	0.0704878	0.6591292	0.8825231	0.3660099	0.0213310	0.8418046	0.0454447	1.0705273
450	1.0821443	0.0155392	0.0506272	0.6131409	0.8647736	0.3263373	0.0277466	0.8577778	0.0259038	1.0029042
500	0.9772130	0.0125836	0.0549037	0.5808570	0.7842504	0.3833319	0.0371535	0.9204961	0.0527722	1.0436843
550	0.9827064	0.0148462	0.0576517	0.5590194	0.8637746	0.8119574	0.0285159	1.0217213	0.0521586	0.9995885
600	1.0709777	0.0034097	0.0488923	0.6858043	0.9333525	0.9498720	0.0435731	0.9721742	0.0474278	0.9834741
650	1.0133592	0.1426034	0.0538576	0.8023441	0.9972717	0.9194131	0.0282376	1.0888366	0.0624291	1.0082670
700	0.9941406	0.1044926	0.0456576	0.8969437	0.9029317	0.9979929	0.0343522	1.0264492	0.0270995	0.9864674
750	0.9908698	0.0792623	0.0329323	0.8886596	0.8757145	1.0173970	0.0224505	0.9017236	0.0241704	1.0707982
800	0.9814747	0.0507551	0.0287272	0.8744270	0.9139065	1.0396499	0.0247007	0.9564462	0.0546074	0.9893205
850	0.9035974	0.1872241	0.0451253	0.8755379	0.8917796	0.9809360	0.0267627	0.9711163	0.0464825	0.9718709
900	0.9256235	0.1821246	0.0612263	0.9002494	0.9011116	1.0445206	0.0242835	0.9454109	0.0417082	0.9691402
950	0.9072084	0.1005656	0.0582938	0.8747708	0.9358698	1.0673694	0.0202703	0.9263343	0.0378716	0.9828815
1000	0.8970354	0.2964062	0.0475687	0.7970081	0.9163126	1.0543351	0.0398914	0.9002364	0.0391055	0.9296067
