"Time"	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C
500	1.0000000	0.9817107	0.9997263	0.5745338	0.5142055	0.9294933	0.0891715	0.3059273	0.8279241	0.9997467
550	1.0000000	0.9481952	0.9996857	0.8415538	0.1306262	0.2917353	0.0639773	0.3059245	0.8283589	0.9998204
600	1.0000000	0.9396618	0.9996742	0.9225627	0.0634851	0.1196864	0.0628954	0.3057757	0.8295629	0.9998975
650	1.0000000	0.9374927	0.9996717	0.9471764	0.0517061	0.0735932	0.0627677	0.3054243	0.8306883	0.9999261
700	1.0000000	0.9369428	0.9996718	0.9547243	0.0495886	0.0613170	0.0626042	0.3050009	0.8314177	0.9999349
750	1.0000000	0.9368040	0.9996725	0.9571148	0.0491496	0.0580201	0.0624100	0.3046364	0.8318126	0.9999378
800	1.0000000	0.9367691	0.9996730	0.9579329	0.0490103	0.0570905	0.0622346	0.3043795	0.8320051	0.9999391
850	1.0000000	0.9367604	0.9996734	0.9582518	0.0489387	0.0567907	0.0621028	0.3042206	0.8320930	0.9999399
900	1.0000000	0.9367583	0.9996736	0.9583957	0.0488949	0.0566697	0.0620158	0.3041310	0.8321313	0.9999405
950	1.0000000	0.9367578	0.9996737	0.9584678	0.0488685	0.0566096	0.0619636	0.3040837	0.8321475	0.9999409
1000	1.0000000	0.9367578	0.9996737	0.9585056	0.0488533	0.0565765	0.0619343	0.3040600	0.8321542	0.9999411

0	1.0000000	0.9367569	0.9996737	0.9585813	0.0488232	0.0564978	0.0618798	0.3040223	0.8321645	0.9999417
50	0.7546386	0.9756697	0.9996380	0.9677876	0.0424172	0.0555363	0.0428214	0.1401924	0.7074218	0.9999497
100	0.6568674	0.9855824	0.9995326	0.9845753	0.0336005	0.0510740	0.0271000	0.0887610	0.6679431	0.9999780
150	0.6179077	0.9881078	0.9994299	0.9937037	0.0303298	0.0478852	0.0242281	0.0769544	0.6551223	0.9999925
200	0.6023832	0.9887513	0.9993647	0.9972986	0.0294642	0.0466102	0.0238247	0.0760777	0.6508667	0.9999970
250	0.5961969	0.9889153	0.9993315	0.9985621	0.0292568	0.0461879	0.0237606	0.0771462	0.6494271	0.9999983
300	0.5937319	0.9889571	0.9993167	0.9989721	0.0292124	0.0460594	0.0237520	0.0780570	0.6489320	0.9999986
