"Time"	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W
100	0.3725486	0.8755598	0.0835797	0.1134761	0.5070642	0.8480352	0.0958600	0.1779807	0.0224482	0.7122790
150	0.4107508	0.9016031	0.0516316	0.1051226	0.3900860	0.9382007	0.0536032	0.1957449	0.0126632	0.7247326
200	0.3609165	0.9943915	0.0439691	0.0562307	0.2969354	0.9209247	0.0406698	0.2350181	0.0325658	0.6506093
250	0.3433672	0.9286537	0.0476478	0.0563400	0.3006777	0.9664754	0.0182474	0.2084621	0.0391824	0.6268732
300	0.3641970	0.8781968	0.0348916	0.0414013	0.2715815	0.9009311	0.0192156	0.2039730	0.0464409	0.7332885
350	0.3809629	0.9515450	0.0314732	0.0678069	0.2649981	0.9330824	0.0214006	0.1796060	0.0451448	0.6811388
400	0.3436129	0.9488563	0.0226683	0.0635646	0.2248872	0.9180331	0.0387906	0.1817911	0.0539730	0.6761969
450	0.3996108	1.0436273	0.0321819	0.0688843	0.2671098	0.9105141	0.0386933	0.2235845	0.0560102	0.6498535
500	0.3569709	0.9545198	0.0264949	0.0831044	0.2679608	0.9055342	0.0404571	0.2331436	0.0511693	0.6180053
550	0.3841640	1.0200531	0.0310865	0.3287469	0.3034762	0.6443102	0.0360527	0.1249225	0.1081856	0.8375475
600	0.3752930	0.9859396	0.0707079	0.3160047	0.3319184	0.4065627	0.0505195	0.0944385	0.1019680	0.8643989
650	0.3687845	0.9871471	0.0598683	0.2799299	0.3939570	0.2927965	0.0328496	0.0710045	0.0742053	0.8609654
700	0.4007285	0.9506678	0.0738891	0.2888109	0.4417698	0.2473220	0.0813543	0.0598670	0.0673075	0.9591588
750	0.3838486	0.9622328	0.1046901	0.2978375	0.5932136	0.1827654	0.1016333	0.0618986	0.0875944	0.9705539
800	0.3285271	0.9327078	0.1027130	0.2735957	0.7818663	0.1388462	0.0762137	0.0712474	0.0831959	1.0245861
850	0.3775064	0.9246447	0.0659678	0.2545116	0.7090329	0.1538549	0.0766244	0.0743283	0.0701094	0.9796946
900	0.3370534	0.9231346	0.0691837	0.2730083	0.7972144	0.1525013	0.0614420	0.0690496	0.0645465	0.9971720
950	0.2826262	1.0057124	0.0787101	0.3244355	0.8331314	0.1679870	0.0662997	0.0966437	0.0703158	1.0273937
1000	0.3047647	0.9384227	0.0879987	0.3455846	0.8027505	0.1852686	0.0665717	0.0846713	0.0638642	1.0583089

0	0.2616494	0.9513382	0.1303574	0.4019882	0.8255641	0.1435621	0.1422657	0.0658019	0.0976590	1.0059961
50	0.2599119	0.7411715	0.1684279	0.3951100	0.8575644	0.3762311	0.0983496	0.5956751	0.0533638	1.0027929
