"Time"	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W
150	0.6336259	0.2917942	0.5600961	0.1271821	0.1622299	0.4757640	0.2132749	0.2036607	0.1663812	0.7305086
200	0.7340208	0.3469171	0.5594908	0.0981410	0.1581943	0.5609390	0.3418557	0.1487016	0.1934617	0.7481502
250	0.6570830	0.3242937	0.4340684	0.1197934	0.1800968	0.6305173	0.4793698	0.1518963	0.1465967	0.7106720
300	0.6405854	0.3279313	0.5121743	0.0878639	0.2145615	0.5792320	0.5071151	0.1047010	0.1591361	0.6169847
350	0.6863117	0.3752170	0.4563098	0.1023258	0.2621196	0.7196874	0.4727783	0.1071705	0.1322077	0.5939716
400	0.6467805	0.4800591	0.5042967	0.0530719	0.1828037	0.8109227	0.5024244	0.1199819	0.1907742	0.7138446
450	0.6194923	0.4168904	0.4935996	0.0960694	0.1307427	0.6564270	0.4243784	0.1658710	0.2027669	0.7433001
500	0.6610991	0.4713295	0.3824626	0.1289232	0.1415581	0.8531977	0.5333810	0.1148581	0.1958441	0.7217371
550	0.7457059	0.3734009	0.3767219	0.0800513	0.2769844	0.6701743	0.3741054	0.2410458	0.2077473	0.6393948
600	0.5628468	0.5639721	0.4428314	0.0643262	0.2074343	0.7729726	0.4519569	0.2643392	0.1844511	0.7082539
650	0.8124443	0.4853583	0.4376268	0.0901345	0.1894624	0.7140012	0.3545354	0.2571380	0.1615317	0.6384660
700	0.5983667	0.5476127	0.5573909	0.0950579	0.2725610	0.7531342	0.3113181	0.3014330	0.1719833	0.7423386
750	0.6626875	0.5646679	0.4723071	0.1414887	0.1996969	0.6498716	0.1569349	0.2870762	0.1765329	0.7277278
800	0.7231316	0.5379803	0.4918722	0.1050469	0.1987855	0.5905151	0.1771336	0.1681649	0.1490818	0.6633154
850	0.8114864	0.4118079	0.3995809	0.0793869	0.2417365	0.5009366	0.1257819	0.3143286	0.0970023	0.5636950
900	0.7375058	0.3133102	0.4857971	0.1063326	0.2612219	0.6959287	0.2084497	0.2963796	0.2116999	0.7631060
950	0.7181030	0.3839122	0.6297248	0.1024490	0.2225158	0.6053625	0.1289277	0.2689308	0.0961191	0.8121636
1000	0.6652885	0.3773141	0.4549848	0.1025287	0.1393049	0.6493111	0.2248904	0.2439014	0.1026681	0.7407404

0	0.6970773	0.3231503	0.5628010	0.0924830	0.2417511	0.5415156	0.1849102	0.3206680	0.1363545	0.7968338
50	0.7716478	0.3417402	0.4131509	0.1197156	0.1046965	0.6083276	0.1711419	0.2301181	0.1238046	0.7850228
100	0.6206249	0.3097209	0.2444207	0.0402087	0.0892030	0.7004523	0.1922473	0.2472056	0.0924683	0.6746782
150	0.6550154	0.6134084	0.2091134	0.0315668	0.0976739	0.6847731	0.1882386	0.2402634	0.1428528	0.7525148
200	0.7906626	0.4101606	0.1667154	0.0304928	0.1276129	0.6478770	0.2582220	0.2263467	0.1595483	0.7728787
250	0.6915632	0.6483117	0.1653184	0.0249043	0.1019754	0.7453851	0.2201191	0.2162521	0.1808262	0.8465759
300	0.7602013	0.4199298	0.1824033	0.0495123	0.0578870	0.9000653	0.1319679	0.2339252	0.1209912	0.7393523
350	0.6417332	0.5358740	0.1610163	0.0415400	0.0689584	0.6715475	0.1559957	0.2594167	0.1407299	0.7762625
400	0.7981136	0.5329324	0.1362994	0.0159690	0.0715135	0.7415264	0.2964614	0.2963126	0.2068412	0.8505828
450	0.8596895	0.4672004	0.1680987	0.0089446	0.0709722	0.8007774	0.1918214	0.2818072	0.1287048	0.7698557
500	0.7142249	0.5305069	0.1374819	0.0046387	0.0599713	0.5690447	0.2643299	0.2200348	0.1416148	0.6239231
550	0.6461445	0.4865527	0.2991295	0.0479353	0.4263565	0.6267520	0.2045564	0.3797660	0.1883627	0.7768288
600	0.6895704	0.5188792	0.6135565	0.2061579	0.4274021	0.8868537	0.1691976	0.2117337	0.1687100	0.6278521
650	0.7374658	0.4842583	0.6518167	0.2506098	0.2429040	0.7710639	0.1672847	0.2955190	0.1321075	0.7119994
700	0.6692545	0.4620679	0.6329349	0.1626957	0.1924008	0.6599289	0.2176522	0.2520062	0.1214435	0.7514395
750	0.7583984	0.3955467	0.3899849	0.1319119	0.1620543	0.5659649	0.3289332	0.1888983	0.1315599	0.6284602
800	0.7373137	0.3546581	0.5536618	0.1062139	0.2985401	0.5115568	0.1855401	0.2004176	0.1892103	0.7113640
850	0.7396298	0.3628116	0.5160365	0.1325857	0.1957350	0.6312816	0.2228258	0.2926053	0.1148353	0.8652038
900	0.7681487	0.4304393	0.4859892	0.1003943	0.2008124	0.5966168	0.1947220	0.3362526	0.1397794	0.8256510
950	0.7865949	0.3165293	0.5685334	0.0857283	0.1793536	0.5533174	0.2015000	0.3361460	0.1373068	0.7040764
1000	0.5770716	0.2340601	0.4350830	0.0929768	0.2053837	0.5912717	0.2058174	0.3229325	0.1487726	0.6950266
