"Time"	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W
500	0.6532873	0.0543064	0.0868476	0.5433728	0.3078460	0.8167509	0.7523603	0.1525741	0.7156407	0.4704257
550	0.7239245	0.0482091	0.1231127	0.3262231	0.3367729	0.7189769	0.7074629	0.2667862	0.8123797	0.5618326
600	0.5189099	0.0392109	0.2446837	0.2604741	0.2471764	0.7611301	0.6464887	0.3586087	0.6384359	0.7046967
650	0.4843548	0.1295377	0.2617564	0.3258480	0.3941447	0.6231328	0.6907494	0.3953731	0.7056628	0.7240988
700	0.6404576	0.1591677	0.4203472	0.2763997	0.3727831	0.6749625	0.8234085	0.4210278	0.7292786	0.7187232
750	0.4174076	0.1878086	0.4180423	0.4082077	0.3619432	0.6896203	0.6929540	0.4274165	0.6811314	0.9064799
800	0.5323772	0.1671980	0.3261292	0.4721494	0.3263635	0.6384903	0.7042550	0.4511154	0.6163711	0.8678195
850	0.4466292	0.1625005	0.3291288	0.3878557	0.3315805	0.6445079	0.6317446	0.4059036	0.8251931	0.7923409
900	0.5499860	0.1723199	0.2675342	0.3703567	0.2969595	0.6971933	0.7372385	0.3878055	0.7762404	0.7450393
950	0.5691859	0.1725083	0.3277695	0.3029058	0.3770711	0.7323374	0.6054992	0.3503026	0.7868301	0.8105546
1000	0.5469767	0.2047225	0.3886589	0.2781161	0.2737219	0.7022617	0.6968036	0.3194445	0.6608804	0.6702299

0	0.4751378	0.1671944	0.2330478	0.2990943	0.3162544	0.7087385	0.7080137	0.4406713	0.8602725	0.7375025
50	0.6082939	0.1608945	0.2829789	0.3016532	0.3922844	0.7442540	0.2026316	0.0689857	0.3292846	0.6412810
100	0.7465313	0.2686714	0.3862037	0.3821557	0.4081001	0.7468529	0.1876134	0.0443749	0.2226276	0.6906503
150	0.6341555	0.4577007	0.3695697	0.3722585	0.3350903	0.6754210	0.1787404	0.0222118	0.1608479	0.8647857
200	0.7201808	0.6121407	0.2479589	0.3112920	0.3152140	0.8006642	0.1945145	0.0443845	0.1839124	0.6790043
250	0.5693950	0.6121538	0.2794073	0.3505837	0.3640180	0.7804172	0.1884595	0.0348318	0.1772521	0.6166053
300	0.6462519	0.6232210	0.2850633	0.3467410	0.3379187	0.6904659	0.1415078	0.0561069	0.1619195	0.6744863
350	0.6558859	0.6098908	0.2131056	0.4032092	0.3245991	0.7910995	0.1764711	0.0703874	0.1669845	0.6235446
