"Time"	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C
50	0.8958367	0.5883245	0.5762712	0.7180628	0.7933313	0.5580047	0.2630068	0.4823471	0.9254562	1.0000000
100	0.8904850	0.5520865	0.7646679	0.6296381	0.9227643	0.2417557	0.2630256	0.4823319	0.9254568	1.0000000
150	0.8744864	0.5151111	0.8501811	0.5676670	0.9462438	0.0997877	0.2630054	0.4823315	0.9254570	1.0000000
200	0.8515725	0.4910745	0.8800958	0.5394455	0.9486245	0.0471752	0.2629046	0.4823180	0.9254571	1.0000000
250	0.8295924	0.4783729	0.8887063	0.5286454	0.9484115	0.0293642	0.2627306	0.4822749	0.9254571	1.0000000
300	0.8132792	0.4724409	0.8906900	0.5248227	0.9481917	0.0236456	0.2625318	0.4822046	0.9254572	1.0000000
350	0.8031438	0.4699113	0.8909753	0.5235150	0.9481006	0.0218730	0.2623618	0.4821240	0.9254572	1.0000000
400	0.7976153	0.4689210	0.8909348	0.5230735	0.9480690	0.0213378	0.2622483	0.4820530	0.9254572	1.0000000
450	0.7948919	0.4685722	0.8908762	0.5229250	0.9480588	0.0211797	0.2621889	0.4820029	0.9254572	1.0000000
500	0.7936628	0.4684683	0.8908423	0.5228750	0.9480556	0.0211340	0.2621653	0.4819742	0.9254572	1.0000000
550	0.7934563	0.4732804	0.6895887	0.5727018	0.4171822	0.3620584	0.2621592	0.4819609	0.9254572	1.0000000
600	0.7998011	0.5022184	0.4669664	0.7258102	0.3143891	0.6785141	0.2621703	0.4819568	0.9254572	1.0000000
650	0.8204021	0.5438270	0.3827568	0.8025414	0.3976630	0.8205649	0.2622543	0.4819652	0.9254572	1.0000000
700	0.8476715	0.5746537	0.3689367	0.8031266	0.4580768	0.8731719	0.2624539	0.4820055	0.9254572	1.0000000
750	0.8701028	0.5898027	0.3728683	0.7831445	0.4852584	0.8909087	0.2627011	0.4820861	0.9254572	1.0000000
800	0.8839517	0.5952262	0.3766058	0.7667213	0.4956176	0.8965161	0.2628982	0.4821832	0.9254572	1.0000000
850	0.8909677	0.5966642	0.3777445	0.7572925	0.4992252	0.8981814	0.2630088	0.4822645	0.9254572	1.0000000
900	0.8940248	0.5969723	0.3775380	0.7526850	0.5004004	0.8986395	0.2630512	0.4823149	0.9254572	1.0000000
950	0.8952200	0.5971006	0.3770300	0.7506378	0.5007602	0.8987544	0.2630587	0.4823381	0.9254572	1.0000000
1000	0.8956737	0.5972346	0.3766215	0.7497849	0.5008638	0.8987816	0.2630557	0.4823453	0.9254572	1.0000000

0	0.8962182	0.5974345	0.3762691	0.7493402	0.5008430	0.8986794	0.2630191	0.4824047	0.9254545	1.0000000
50	0.8961268	0.5974793	0.3759865	0.7498054	0.4902861	0.7918651	0.2630068	0.4823472	0.9254562	1.0000000
100	0.8961089	0.5977107	0.3730249	0.7575845	0.4491753	0.6926848	0.2630312	0.4823322	0.9254568	1.0000000
150	0.8962142	0.5986089	0.3671541	0.7760682	0.4096724	0.6481547	0.2630504	0.4823363	0.9254570	1.0000000
200	0.8965743	0.6001527	0.3626490	0.7964059	0.3868610	0.6316474	0.2630579	0.4823428	0.9254571	1.0000000
250	0.8971883	0.6016074	0.3611012	0.8115471	0.3765751	0.6260566	0.2630599	0.4823464	0.9254571	1.0000000
300	0.8978517	0.6024605	0.3614103	0.8205300	0.3725472	0.6242602	0.2630619	0.4823480	0.9254572	1.0000000
350	0.8983537	0.6027251	0.3622714	0.8251464	0.3711033	0.6237021	0.2630650	0.4823491	0.9254572	1.0000000
400	0.8986212	0.6026525	0.3630319	0.8273008	0.3706154	0.6235323	0.2630680	0.4823504	0.9254572	1.0000000
450	0.8986987	0.6024675	0.3635316	0.8282406	0.3704570	0.6234809	0.2630699	0.4823516	0.9254572	1.0000000
500	0.8986701	0.6022907	0.3638129	0.8286311	0.3704069	0.6234653	0.2630705	0.4823525	0.9254572	1.0000000
550	0.8986039	0.6021601	0.3640927	0.8281272	0.3834065	0.7303490	0.2630702	0.4823528	0.9254572	1.0000000
600	0.8985337	0.6019645	0.3662310	0.8188256	0.4287214	0.8295617	0.2630696	0.4823527	0.9254572	1.0000000
650	0.8984179	0.6012860	0.3709000	0.7986592	0.4671477	0.8740991	0.2630689	0.4823525	0.9254572	1.0000000
700	0.8981314	0.6000320	0.3752155	0.7783518	0.4873612	0.8906047	0.2630681	0.4823522	0.9254572	1.0000000
750	0.8976293	0.5987074	0.3773670	0.7642457	0.4959528	0.8961930	0.2630663	0.4823518	0.9254572	1.0000000
800	0.8970377	0.5977837	0.3777563	0.7562837	0.4992013	0.8979885	0.2630632	0.4823510	0.9254572	1.0000000
850	0.8965336	0.5973502	0.3773889	0.7523320	0.5003422	0.8985467	0.2630594	0.4823497	0.9254572	1.0000000
900	0.8962101	0.5972532	0.3769115	0.7505319	0.5007234	0.8987172	0.2630561	0.4823482	0.9254572	1.0000000
950	0.8960587	0.5973106	0.3765563	0.7497598	0.5008465	0.8987692	0.2630539	0.4823468	0.9254572	1.0000000
1000	0.8960207	0.5974053	0.3763438	0.7494428	0.5008854	0.8987853	0.2630529	0.4823458	0.9254572	1.0000000

0	0.8962182	0.5974345	0.3762691	0.7493402	0.5008430	0.8986794	0.2630191	0.4824047	0.9254545	1.0000000
50	0.8958644	0.5885345	0.5326491	0.7493168	0.5000364	0.8809470	0.5060847	0.5009166	0.9254562	1.0000000
100	0.8896782	0.5378715	0.6649638	0.7507078	0.4856203	0.7905239	0.7401173	0.5625060	0.9254568	1.0000000
150	0.8635326	0.4641799	0.7181574	0.7592509	0.4471241	0.6819698	0.8484983	0.6100823	0.9254570	1.0000000
200	0.8092284	0.4035674	0.7346390	0.7781126	0.4004949	0.6057289	0.8893531	0.6330153	0.9254571	1.0000000
250	0.7373932	0.3661475	0.7392371	0.8021859	0.3633373	0.5642718	0.9031772	0.6421366	0.9254571	1.0000000
300	0.6692207	0.3463010	0.7415649	0.8240705	0.3404197	0.5448446	0.9074861	0.6454209	0.9254572	1.0000000
350	0.6182114	0.3365759	0.7438781	0.8399341	0.3284856	0.5366095	0.9086876	0.6465245	0.9254572	1.0000000
400	0.5857620	0.3319561	0.7460583	0.8497520	0.3229676	0.5333818	0.9089314	0.6468692	0.9254572	1.0000000
450	0.5672034	0.3297535	0.7477607	0.8551686	0.3206370	0.5322094	0.9089081	0.6469636	0.9254572	1.0000000
500	0.5572626	0.3286783	0.7489035	0.8579068	0.3197276	0.5318248	0.9088337	0.6469806	0.9254572	1.0000000
550	0.5526813	0.3325102	0.5868720	0.8591686	0.3204429	0.5480909	0.6303121	0.6387837	0.9254572	1.0000000
600	0.5626793	0.3609803	0.4495679	0.8579169	0.3387430	0.6398785	0.3644519	0.5933417	0.9254572	1.0000000
650	0.6088319	0.4197443	0.3944299	0.8471736	0.3864086	0.7620287	0.2526440	0.5310407	0.9254572	1.0000000
700	0.6888219	0.4922332	0.3785111	0.8240718	0.4392254	0.8494473	0.2310683	0.4888155	0.9254572	1.0000000
750	0.7716061	0.5510190	0.3768721	0.7967617	0.4759699	0.8912173	0.2431882	0.4741031	0.9254572	1.0000000
800	0.8325693	0.5839558	0.3783987	0.7743934	0.4944507	0.9033210	0.2573710	0.4748251	0.9254572	1.0000000
850	0.8682664	0.5963608	0.3791414	0.7602690	0.5009703	0.9029816	0.2640494	0.4791552	0.9254572	1.0000000
900	0.8857105	0.5985064	0.3786932	0.7531317	0.5019881	0.9003014	0.2650613	0.4819768	0.9254572	1.0000000
950	0.8927946	0.5977057	0.3777661	0.7502804	0.5014548	0.8987390	0.2641281	0.4828462	0.9254572	1.0000000
1000	0.8950865	0.5970235	0.3769567	0.7494413	0.5009651	0.8983871	0.2632718	0.4827562	0.9254572	1.0000000
