"Time"	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C
600	0.5716592	0.3314857	0.9643163	0.1988473	0.5475987	0.7237478	0.4703723	0.9850724	0.0823199	1.0000000
650	0.5603725	0.2960375	0.9640418	0.2057197	0.5123971	0.5527926	0.4323241	0.9850724	0.0823199	1.0000000
700	0.5304758	0.2583262	0.9619133	0.2262940	0.4537870	0.4152184	0.4211290	0.9850724	0.0823199	1.0000000
750	0.4744390	0.2098378	0.9552775	0.2720571	0.3815902	0.3276284	0.4326235	0.9850724	0.0823199	1.0000000
800	0.3944898	0.1574492	0.9391227	0.3533706	0.3109886	0.2917529	0.4766584	0.9850724	0.0823199	1.0000000
850	0.3055231	0.1128117	0.9068875	0.4672246	0.2559223	0.3187287	0.5623230	0.9850724	0.0823199	1.0000000
900	0.2279648	0.0823438	0.8566821	0.5885000	0.2286556	0.4207229	0.6679230	0.9850724	0.0823199	1.0000000
950	0.1777731	0.0662537	0.7981440	0.6816356	0.2379178	0.5647657	0.7571971	0.9850724	0.0823199	1.0000000
1000	0.1635372	0.0630136	0.7480685	0.7187136	0.2795941	0.6976100	0.8153283	0.9850724	0.0823199	1.0000000

0	0.3291040	0.1330021	0.7959986	0.4695409	0.4396498	0.8602464	0.7979608	0.9850724	0.0823199	1.0000000
50	0.3842401	0.2361611	0.8245983	0.4009054	0.4819984	0.8802141	0.8519850	0.9850724	0.0823199	1.0000000
100	0.4393858	0.3290709	0.8580948	0.3381483	0.5199938	0.9000652	0.9080370	0.9850724	0.0823199	1.0000000
150	0.4890505	0.3849031	0.8900274	0.2862131	0.5480631	0.9197019	0.9295182	0.9850724	0.0823199	1.0000000
200	0.5288112	0.4195048	0.9165300	0.2471872	0.5678796	0.9342406	0.9322128	0.9850724	0.0823199	1.0000000
250	0.5582072	0.4422084	0.9362993	0.2197379	0.5816397	0.9428647	0.9282973	0.9850724	0.0823199	1.0000000
300	0.5789371	0.4575622	0.9499600	0.2011758	0.5909526	0.9470082	0.9234257	0.9850724	0.0823199	1.0000000
350	0.5931010	0.4679731	0.9589484	0.1889219	0.5970018	0.9484453	0.9194718	0.9850724	0.0823199	1.0000000
400	0.6025038	0.4749027	0.9646978	0.1809857	0.6007233	0.9485293	0.9167042	0.9850724	0.0823199	1.0000000
450	0.6085433	0.4793605	0.9683172	0.1759535	0.6028650	0.9480830	0.9148963	0.9850724	0.0823199	1.0000000
500	0.6122690	0.4820993	0.9705696	0.1728483	0.6039974	0.9475263	0.9137576	0.9850724	0.0823199	1.0000000
550	0.6136709	0.4237197	0.9719465	0.1713827	0.5957667	0.9412772	0.7233727	0.9850724	0.0823199	1.0000000
