"Time"	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C
100	0.2515753	0.4938314	0.5025479	0.2546952	0.6176149	0.3741659	0.0038081	0.4170059	0.8035120	0.4708370
150	0.2456677	0.5194455	0.5923780	0.2366101	0.4967487	0.4158787	0.0087135	0.3517871	0.7554232	0.3566877
200	0.1927052	0.6701288	0.7008403	0.3200081	0.6994002	0.5419966	0.0087349	0.4098744	0.8195541	0.2398783
250	0.2079167	0.7578336	0.6943742	0.3396852	0.5536928	0.6874531	0.0065270	0.4503634	0.6489798	0.0883085
300	0.2577182	0.7666613	0.6901784	0.3686632	0.4840055	0.5514672	0.0019206	0.4216693	0.7592619	0.0547097
350	0.2221159	0.7694076	0.7404818	0.2970459	0.4407736	0.6905880	0.0032013	0.4666885	0.8332786	0.0313259
400	0.2491634	0.7444923	0.7564183	0.3591443	0.4058627	0.5989060	0.0033034	0.4097351	0.7956852	0.0840862
450	0.2783245	0.6199280	0.8575035	0.2969709	0.5353138	0.6169200	0.0003093	0.3969430	0.7561807	0.0867527
500	0.3017383	0.7204456	0.8316818	0.3399006	0.4673108	0.6560582	0.0004512	0.4471551	0.8410310	0.0178565
550	0.2754926	0.6628489	0.6162097	0.6839087	0.3797970	0.5863996	0.0162141	0.5592801	0.8093910	0.0434709
600	0.3652005	0.7114729	0.5868357	0.7425961	0.4132833	0.4570710	0.0097055	0.5011130	0.7770571	0.0278806
650	0.3651873	0.6378509	0.4876240	0.6502089	0.5135159	0.3817558	0.0124192	0.4362459	0.7559785	0.0478149
700	0.6150448	0.6326972	0.4456434	0.7657645	0.5665853	0.2863967	0.0366141	0.4761285	0.6987366	0.0805676
750	0.6417217	0.7617755	0.3758408	0.6600865	0.7303151	0.2580951	0.0416388	0.4679348	0.7414157	0.1773618
800	0.6832734	0.7204742	0.5156629	0.5088102	0.7080909	0.1621351	0.0168413	0.4950421	0.7452353	0.2131454
850	0.4694429	0.5662188	0.3505886	0.5204191	0.5790569	0.1863088	0.0356585	0.4951365	0.7177409	0.1400405
900	0.4870191	0.6697503	0.2775610	0.4825083	0.6099988	0.1710584	0.0496319	0.4442586	0.7504629	0.1690170
950	0.5107193	0.5922371	0.2560707	0.4265824	0.6832657	0.1906098	0.0257009	0.4966324	0.7497952	0.2041845
1000	0.4981937	0.4600593	0.1800201	0.4337017	0.7276336	0.1010274	0.0357536	0.4270870	0.7202238	0.2570456

0	0.2593641	0.3229050	0.1273592	0.3709965	0.8437787	0.0622326	0.0434833	0.4501383	0.7305478	0.7228589
50	0.2506465	0.2303601	0.1287331	0.4280279	0.6801840	0.0674512	0.0457198	0.4746746	0.7291952	0.7549405
100	0.3162956	0.3291433	0.1541818	0.4328977	0.6430924	0.0540244	0.0069239	0.4414057	0.7232428	0.7212776
150	0.3401441	0.3869811	0.1502767	0.2786432	0.6522436	0.0666788	0.0190246	0.4549962	0.7438799	0.6608586
200	0.3125040	0.3908515	0.1193985	0.4262665	0.9445949	0.0736621	0.0222727	0.4335232	0.9134598	0.5562548
250	0.3631954	0.3218224	0.1584914	0.3316634	0.8815183	0.0472791	0.0432791	0.4098852	0.8308007	0.5851395
300	0.2927360	0.3088497	0.1703101	0.2858509	0.6242587	0.0815136	0.0163582	0.4773520	0.9179485	0.5302986
350	0.2640749	0.2870111	0.1198672	0.2735524	0.6383181	0.0674473	0.0130673	0.4135451	0.6370177	0.5786949
400	0.1956301	0.3566419	0.0964302	0.3231007	0.7441273	0.0496354	0.0415573	0.5121345	0.7735346	0.5513478
450	0.2028311	0.2369169	0.1105356	0.3220618	0.6660471	0.0577598	0.0342251	0.4515735	0.8357358	0.7280405
500	0.2656319	0.3459135	0.1067314	0.3890035	0.6176462	0.0487329	0.1144553	0.4901183	0.7577010	0.7381938
550	0.2475648	0.3004801	0.1627381	0.3995962	0.7664835	0.0494797	0.0159334	0.5342643	0.6565900	0.6937769
600	0.2610229	0.2720658	0.1174103	0.3638310	0.7449872	0.0434061	0.0360876	0.5745490	0.7827519	0.6514651
650	0.2562390	0.3169465	0.0952401	0.2484771	0.7836612	0.0676840	0.0477928	0.5572701	0.8815952	0.6343089
700	0.2542707	0.1944962	0.0959848	0.3213409	0.7006701	0.0891838	0.0304642	0.5721235	0.8730213	0.7251057
750	0.2367268	0.1831791	0.0917118	0.3394656	0.7199436	0.0417050	0.0305366	0.4576790	0.8791524	0.6577540
800	0.2962950	0.2230159	0.1342806	0.3370249	0.6793577	0.0363481	0.0466479	0.5010465	0.7834092	0.7269971
850	0.3135950	0.2840341	0.1065617	0.4048285	0.6449049	0.0521745	0.0206344	0.4045684	0.7538347	0.6066819
900	0.3542684	0.2606717	0.1023093	0.4161823	0.6222262	0.0454056	0.0793505	0.4710512	0.8118505	0.7334003
950	0.3180664	0.3073389	0.0857363	0.4897887	0.6443212	0.0678478	0.0188133	0.4378903	0.7621556	0.7169331
1000	0.4407665	0.2777041	0.1310322	0.4532920	0.8140247	0.0382611	0.0267525	0.5770217	0.8234829	0.6626362

0	0.2912998	0.3353218	0.0900869	0.4017152	0.7594580	0.0812846	0.0499549	0.4741880	0.7490481	0.7510959
50	0.3002423	0.3309081	0.1000578	0.2518421	0.6654854	0.0592012	0.0464980	0.3854412	0.9366243	0.6808624
100	0.2590205	0.2476574	0.0883022	0.3443893	0.6448487	0.0538161	0.0413712	0.4399795	0.8557937	0.6075691
150	0.3008733	0.1633009	0.0632101	0.3533982	0.8758524	0.0572810	0.0277448	0.5080411	0.8663597	0.7921483
200	0.3045092	0.2137406	0.1020511	0.3044767	0.8751865	0.0452393	0.0480771	0.4318057	0.8453946	0.7264607
250	0.2566410	0.2261864	0.0926715	0.2909995	0.7578719	0.0106710	0.0273734	0.4239523	0.9605382	0.7998689
300	0.2613475	0.1755591	0.1071562	0.3653766	0.6755859	0.0158226	0.0386306	0.4632675	0.7464013	0.7414562
350	0.3445399	0.2211221	0.1111981	0.3221143	0.8214126	0.0373537	0.0239381	0.5157981	0.7845777	0.8305853
400	0.3211700	0.2082484	0.0957946	0.4782843	0.7726478	0.0431538	0.0392443	0.3808674	0.6693809	0.5758847
450	0.3626623	0.2451514	0.1620209	0.3852165	0.6730932	0.0509554	0.0661968	0.5179504	0.7705121	0.7387077
500	0.3699347	0.3695439	0.1492611	0.2887189	0.7712152	0.0570551	0.0200060	0.3559872	0.7270933	0.6620704
550	0.2268494	0.3298584	0.1715123	0.4172317	0.7920609	0.0249649	0.0489974	0.5108001	0.6898613	0.5198853
600	0.3557472	0.2427420	0.0826111	0.3213523	0.8697256	0.0896512	0.0337364	0.4119553	0.7962008	0.6329504
650	0.4015984	0.2532754	0.1032089	0.3130150	0.7389369	0.0737240	0.0783688	0.4200931	0.8279547	0.7248129
700	0.2934555	0.1974375	0.0762055	0.3174054	0.7848857	0.0749991	0.0401760	0.5008525	0.8499453	0.6954433
750	0.2922269	0.2178693	0.0787202	0.2551196	0.7751861	0.0424390	0.0363201	0.5211053	0.8054664	0.7006884
800	0.3371600	0.1655355	0.0804901	0.2389945	0.6880548	0.0571792	0.0311310	0.5807273	0.7261340	0.7053432
850	0.3273588	0.1911360	0.1003825	0.3713154	0.7771680	0.0458109	0.0297355	0.4288411	0.7471752	0.6299801
900	0.2346837	0.1949735	0.1140674	0.3549093	0.7367847	0.0329701	0.0682230	0.4489204	0.8658955	0.7167017
950	0.3323208	0.2609509	0.1728968	0.4290924	0.6442265	0.0292955	0.0296815	0.4023274	0.7167194	0.6848018
1000	0.4539022	0.3658358	0.1091237	0.6003526	0.6798896	0.0622294	0.0507292	0.3691570	0.7081660	0.6187253

0	0.2277658	0.2536972	0.1015467	0.3773079	0.7352031	0.0765343	0.0288574	0.3974702	0.6881116	0.6877259
50	0.3299822	0.4587828	0.1241974	0.2684025	0.7202573	0.1370974	0.0017635	0.4722637	0.6162017	0.7366144
100	0.2785459	0.6634495	0.1111125	0.3773083	0.5974474	0.1365448	0.0011809	0.4563095	0.7453070	0.6781947
150	0.4741603	0.6264633	0.1505383	0.5461263	0.5731446	0.2266789	0.0007031	0.4812066	0.8211234	0.7625939
200	0.3812000	0.6636736	0.1693410	0.4848519	0.5662705	0.1993097	0.0010730	0.3806900	0.8111830	0.7197169
250	0.3934178	0.8000294	0.2400712	0.5333019	0.4971345	0.2204199	0.0088701	0.4146997	0.7749082	0.5830470
300	0.5615230	0.8429894	0.2746868	0.6312510	0.3867506	0.3328138	0.0092155	0.4696364	0.6952679	0.4035034
350	0.5372614	0.7278933	0.2663670	0.6608361	0.4644576	0.3337114	0.0088159	0.4528803	0.6847482	0.3883237
400	0.5641016	0.6372915	0.4422823	0.5676475	0.3706228	0.3086256	0.0033285	0.4128409	0.8346942	0.2045975
450	0.5410743	0.6488373	0.4592121	0.7160735	0.4924879	0.3702603	0.0031302	0.5184861	0.8107142	0.1986244
500	0.4488688	0.7507502	0.3683852	0.6840755	0.3132447	0.3084871	0.0069076	0.5779537	0.7365750	0.1433068
550	0.6655356	0.6561941	0.3705203	0.5919992	0.3781269	0.3118619	0.0255495	0.5189040	0.8734779	0.1581744
600	0.5185188	0.6208195	0.4073757	0.5914817	0.6029781	0.1986702	0.0276792	0.4797544	0.7247083	0.2126545
650	0.4814350	0.6748774	0.3222134	0.6762514	0.5149992	0.2191923	0.0452285	0.4613705	0.6958776	0.1264856
700	0.6220300	0.6001730	0.2760254	0.7143079	0.5304286	0.1845754	0.0225423	0.4382474	0.6185347	0.1655095
750	0.4298888	0.5730504	0.4212865	0.5918496	0.6980756	0.1761783	0.0542074	0.5805258	0.6894723	0.2146708
800	0.5617988	0.5804939	0.3139361	0.5358727	0.6915596	0.1762337	0.0567813	0.5208729	0.8259073	0.1566692
850	0.4665400	0.5180814	0.3291032	0.4622137	0.6965634	0.1232337	0.0484231	0.4192152	0.7158497	0.2150428
900	0.4345825	0.5468903	0.3254530	0.4201620	0.7732199	0.1530484	0.0433014	0.4918081	0.8261849	0.2447165
950	0.3984076	0.5201987	0.2695057	0.2718651	0.6103992	0.1859064	0.0325883	0.4947114	0.6723729	0.1956097
1000	0.4722321	0.4957719	0.2455016	0.4374461	0.6559246	0.1197527	0.0489604	0.4190711	0.8724103	0.2829282

0	0.3394044	0.3798699	0.1489293	0.2833376	0.8642877	0.0743197	0.0509109	0.4828018	0.7269652	0.6352383
50	0.2240509	0.2009319	0.2088883	0.1691200	0.8417588	0.0258531	0.0467005	0.4070478	0.8118431	0.6201190
