"Time"	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W
50	0.3032328	0.3055078	0.9614475	0.2912458	0.5038362	0.8088677	0.9995357	0.0187098	0.1854072	0.5842680
100	0.5301793	0.3003051	0.9611259	0.2965457	0.4716270	0.9264772	0.9995312	0.0191197	0.2084389	0.6211224
150	0.6365595	0.2935348	0.9594661	0.3126406	0.4370134	0.9714598	0.9995052	0.0205926	0.2306473	0.6411455
200	0.6775221	0.2884582	0.9549295	0.3358181	0.4136537	0.9871899	0.9994131	0.0231104	0.2440253	0.6501922
250	0.6917737	0.2856021	0.9473905	0.3582416	0.4009415	0.9925871	0.9992073	0.0258706	0.2504746	0.6539381
300	0.6963919	0.2842469	0.9383788	0.3751767	0.3948141	0.9944300	0.9988791	0.0281335	0.2532284	0.6553973
350	0.6977975	0.2836707	0.9298739	0.3859932	0.3920802	0.9950572	0.9984794	0.0296598	0.2543088	0.6559200
400	0.6981975	0.2834454	0.9231483	0.3921259	0.3909238	0.9952691	0.9980873	0.0305574	0.2546881	0.6560696
450	0.6983019	0.2833659	0.9185008	0.3953107	0.3904535	0.9953393	0.9977631	0.0310329	0.2547868	0.6560771
500	0.6983259	0.2833435	0.9156073	0.3968578	0.3902681	0.9953615	0.9975288	0.0312620	0.2547807	0.6560381
550	0.4614973	0.2842494	0.9139522	0.3972683	0.3955724	0.8315127	0.9973778	0.0312207	0.2443855	0.6222583
600	0.2329707	0.2887990	0.9134396	0.3915187	0.4224514	0.7134143	0.9973424	0.0294441	0.2151305	0.5853173
650	0.1263265	0.2948150	0.9156986	0.3734085	0.4565705	0.6682573	0.9975694	0.0260409	0.1948335	0.5652493
700	0.0859326	0.2998096	0.9222628	0.3487912	0.4825236	0.6525865	0.9980323	0.0229522	0.1853426	0.5562133
750	0.0725393	0.3030695	0.9317173	0.3266150	0.4978510	0.6474079	0.9985292	0.0209145	0.1814207	0.5525258
800	0.0687182	0.3048922	0.9412050	0.3108401	0.5056385	0.6458399	0.9989236	0.0197712	0.1798930	0.5511395
