"Time"	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W
400	0.0283511	0.0482754	0.9998299	0.9539762	0.2725336	0.8218227	0.8737855	0.8380443	0.3854986	0.4006303
450	0.0282153	0.0482658	0.9998279	0.9526438	0.2729198	0.8218064	0.8698686	0.8014386	0.3557649	0.4035755
500	0.0281750	0.0482632	0.9998266	0.9519971	0.2730798	0.8218011	0.8659662	0.7768672	0.3390897	0.4049916
550	0.1230728	0.2409748	0.9998259	0.9524023	0.2621777	0.9414355	0.8639963	0.7671043	0.4546346	0.2527483
600	0.3284588	0.2971328	0.9998261	0.9589375	0.2356500	0.9807530	0.8657620	0.8179603	0.7278465	0.1940656
650	0.4474199	0.3134974	0.9998283	0.9700182	0.2141017	0.9936745	0.8714043	0.9010582	0.8913928	0.1475939
700	0.4957889	0.3182648	0.9998324	0.9792252	0.2015096	0.9979212	0.8785345	0.9490890	0.9607170	0.1111593
750	0.5130297	0.3196518	0.9998367	0.9848217	0.1951325	0.9993168	0.8840570	0.9699238	0.9864527	0.0877804
800	0.5187784	0.3200537	0.9998401	0.9877676	0.1921463	0.9997755	0.8874154	0.9782534	0.9954060	0.0747112
850	0.5206186	0.3201689	0.9998423	0.9892114	0.1908164	0.9999262	0.8892175	0.9814795	0.9984390	0.0679963
900	0.5211909	0.3202012	0.9998436	0.9898900	0.1902447	0.9999757	0.8901166	0.9827061	0.9994575	0.0647334
950	0.5213646	0.3202098	0.9998444	0.9901994	0.1900055	0.9999920	0.8905440	0.9831655	0.9997993	0.0632120
1000	0.5214159	0.3202119	0.9998447	0.9903370	0.1899075	0.9999974	0.8907403	0.9833353	0.9999144	0.0625257

0	0.5214626	0.3202139	0.9998451	0.9904395	0.1898421	1.0000000	0.8907897	0.9833661	0.9999457	0.0620068
50	0.6821607	0.3129409	0.9998451	0.9897344	0.2288330	0.4689124	0.8859720	0.9701487	0.4177036	0.1546165
100	0.7161214	0.3108215	0.9998443	0.9711210	0.3976026	0.2943723	0.8692063	0.8793599	0.2269349	0.2368329
150	0.7226194	0.3102052	0.9998325	0.8096457	0.6248707	0.2370103	0.8443082	0.7752772	0.1480712	0.4864998
200	0.7236845	0.3100392	0.9997371	0.4711748	0.7867690	0.2181585	0.8107398	0.7274400	0.0621836	0.7489611
250	0.7238171	0.3100803	0.9992092	0.2413801	0.8695864	0.2119629	0.7654422	0.7105691	0.0216119	0.8803551
300	0.7239199	0.3105728	0.9964858	0.1396554	0.9063830	0.2099268	0.7163001	0.7052803	0.0074924	0.9326815
350	0.7245131	0.3130935	0.9844165	0.0993712	0.9218343	0.2092576	0.6774205	0.7036629	0.0027323	0.9525186
400	0.7272780	0.3232631	0.9480851	0.0837004	0.9281669	0.2090377	0.6538802	0.7031675	0.0011357	0.9600689
450	0.7367845	0.3519023	0.8843354	0.0775537	0.9307282	0.2089654	0.6418017	0.7030139	0.0006000	0.9629936
500	0.7586677	0.4052746	0.8172611	0.0751145	0.9317540	0.2089416	0.6360391	0.7029648	0.0004197	0.9641451
550	0.6728818	0.4798324	0.7689920	0.0763912	0.8360614	0.7400214	0.6577285	0.7029487	0.0135851	0.9596086
600	0.7020718	0.5394085	0.7718855	0.1203044	0.5543631	0.9145589	0.7034984	0.7029457	0.0179408	0.9374636
650	0.7357367	0.5359648	0.8898326	0.3355303	0.3540476	0.9719201	0.7392293	0.7029483	0.0197843	0.8280681
700	0.7315706	0.4550218	0.9704345	0.6741994	0.2588217	0.9907716	0.7781690	0.7029520	0.0238421	0.5709695
750	0.6825271	0.3824423	0.9928249	0.8740765	0.2182002	0.9969671	0.8169163	0.7029567	0.0723693	0.3151030
