"Time"	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C
500	0.0345979	0.0718950	0.0769622	0.3902549	0.0152293	0.0201918	0.4365115	0.1186347	0.7266098	0.1446014
550	0.0296477	0.0946185	0.2671873	0.4389228	0.4818333	0.2514887	0.6500936	0.1786609	0.7557506	0.5602770
600	0.2988148	0.2433087	0.1643342	0.5675189	0.5139715	0.2020781	0.5886066	0.2133127	0.6574731	0.7654259
650	0.2952383	0.2519663	0.2287724	0.4690892	0.4919698	0.1360603	0.6742470	0.0894402	0.7031706	0.8061434
700	0.3390192	0.2587598	0.1366198	0.5578135	0.3071972	0.0994821	0.6220114	0.1899089	0.7454257	0.8424561
750	0.2572106	0.2024307	0.1715585	0.5772811	0.5706012	0.0639267	0.6527456	0.1461762	0.7576007	0.7535460
800	0.1962635	0.1845430	0.1427184	0.7016124	0.6054893	0.0930187	0.8532130	0.1455599	0.7974236	0.6184871
850	0.0604474	0.1799410	0.1388480	0.5563535	0.8412166	0.0828582	0.6036168	0.1521462	0.7485519	0.7247113
900	0.1274689	0.1628032	0.1192023	0.7534090	0.7745882	0.1165752	0.6501251	0.1513552	0.7413066	0.6969574
950	0.0567964	0.1483748	0.1470162	0.7420610	0.6745862	0.0950015	0.8644995	0.1957138	0.6747458	0.7175281
1000	0.0529586	0.2102439	0.1410769	0.5593427	0.6899089	0.1157073	0.7593779	0.1563062	0.8347685	0.8140734

0	0.0807548	0.2082532	0.1840198	0.7779443	0.7463169	0.0395201	0.7175149	0.2307772	0.8783879	0.8100395
50	0.0953139	0.1346983	0.1209754	0.6815704	0.6269853	0.0269216	0.8542005	0.0563709	0.8362378	0.7107779
100	0.0720611	0.1827796	0.1282940	0.6225695	0.6522365	0.0086453	0.6441152	0.0421151	0.7282517	0.7268556
150	0.1220063	0.1647577	0.1120755	0.6957537	0.7301291	0.0075097	0.7860044	0.0650896	0.7341237	0.7445373
200	0.0972496	0.1986914	0.1031748	0.5627333	0.7040568	0.0049739	0.6389546	0.0191352	0.8455480	0.7320932
250	0.1383223	0.2206845	0.1475605	0.5999596	0.7834573	0.0070276	0.6594661	0.0170806	0.7301432	0.6210582
300	0.1521806	0.1853113	0.1222038	0.6112259	0.9059590	0.0017569	0.6910333	0.0184203	0.7581574	0.7934118
350	0.1872036	0.2481070	0.2274350	0.6530995	0.5676156	0.0065362	0.7703681	0.0474231	0.8399868	0.7402248
400	0.2185132	0.1597929	0.1615856	0.6946739	0.7003382	0.0132932	0.8450183	0.0071450	0.6686686	0.5873891
450	0.1549418	0.1642736	0.1322498	0.6932251	0.7450840	0.0021799	0.6153972	0.0095392	0.6583154	0.6963313
500	0.2089700	0.2161789	0.1113395	0.7250605	0.7549441	0.0028340	0.6303386	0.0423701	0.6722574	0.6912577
550	0.0573370	0.2136347	0.1066229	0.6928825	0.7077819	0.0296275	0.6354907	0.1154929	0.6098715	0.6961337
600	0.0483804	0.1611474	0.1475085	0.7180006	0.6740162	0.1210268	0.7128269	0.2571391	0.6553659	0.8623667
650	0.0825751	0.1688684	0.1740694	0.5512404	0.6620101	0.1463837	0.5729179	0.1582182	0.6738501	0.6420090
700	0.2794059	0.1641516	0.1122058	0.7704305	0.6251972	0.1053399	0.7227404	0.1380230	0.7051662	0.6425289
750	0.2584837	0.2177126	0.1370107	0.6088510	0.5890431	0.0492191	0.8266379	0.1052991	0.7429800	0.6303005
800	0.1947032	0.1546529	0.2024419	0.5825051	0.5737612	0.0406562	0.7596853	0.1709656	0.8303545	0.6797500
