Dionesus-rank	RandomForest-rank	Lasso-rank	range	mean-rank	median-rank	sd-rank	regulator-target	tp	index	Edge	Lag	Lag_list	Sign	parent	child	name_x	parent_cluster	name_y	child_cluster	Source	Target	moduleID	window_size	min_lag	max_lag	total_edges	pr	roc
20	54	176	(20, 176)	83.33333333333333	54.0	82.03251387915242	('gadw', 'cyoc')	False												gadw	cyoc	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
131	65	54	(54, 131)	83.33333333333333	65.0	41.645327869202006	('gade', 'tord')	False												gade	tord	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
13	84	153	(13, 153)	83.33333333333333	84.0	70.00238091188994	('torr', 'torc')	True	2768.0	('torr', 'torc')		[(0, 0.23614577346170704, 0.0068337811216203932), (10, 0.36787796533759248, 0.003830646620945176), (20, 0.37199835603257325, 0.0043810423365078796), (30, 0.13749356464789514, 0.25286528105311912), (60, 0.030261703225015098, 0.8672320963977137), (90, 0.14281953283780757, 0.59773855053157376)]	['+']	torr	torc	torr	11.0	torc	11.0	torr	torc	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
138	49	64	(49, 138)	83.66666666666667	64.0	47.648014998878324	('gadx', 'ybas')	True	1802.0	('gadx', 'ybas')	0.0	[(0, 0.5162932511834758, 3.2300994178708788e-10), (10, 0.23262902500439592, 0.073669891631844051), (20, 0.056101561144113264, 0.67850762142556431), (30, 0.20298186736580182, 0.089560645361830393), (60, 0.71775532081208648, 2.5806571107169212e-06), (90, 0.71928893992811127, 0.0016857868927915884)]	['+']	gadx	ybas	gadx	11.0	ybas	11.0	gadx	ybas	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
58	135	59	(58, 135)	84.0	59.0	44.170125650715555	('idnr', 'idno')	True	1881.0	('idnr', 'idno')		[(0, 0.038198983862164339, 0.66611467630536936), (10, 0.13504000186789147, 0.30360523911697901), (20, 0.27461692106158453, 0.038705091709217473), (30, 0.27004774640676027, 0.022752399912497036), (60, -0.17862029210846223, 0.31995085146713925), (90, -0.1573750016134336, 0.56051068479868427)]	['+']	idnr	idno	idnr	62.0	idno	62.0	idnr	idno	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
162	33	63	(33, 162)	86.0	63.0	67.50555532695068	('gade', 'tora')	False												gade	tora	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
111	101	49	(49, 111)	87.0	101.0	33.28663395418648	('torr', 'idno')	False												torr	idno	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
40	129	93	(40, 129)	87.33333333333333	93.0	44.76978147515725	('gadw', 'muri')	False												gadw	muri	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
66	56	140	(56, 140)	87.33333333333333	66.0	45.8839114868527	('gadw', 'cadb')	False												gadw	cadb	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
118	123	22	(22, 123)	87.66666666666667	118.0	56.923925842595686	('idnr', 'mdtf')	False												idnr	mdtf	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
23	20	220	(20, 220)	87.66666666666667	23.0	114.61384442262344	('gadx', 'cyoe')	False												gadx	cyoe	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
16	57	192	(16, 192)	88.33333333333333	57.0	92.08872533233009	('gadw', 'cyod')	False												gadw	cyod	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
87	172	11	(11, 172)	90.0	87.0	80.54191455385202	('torr', 'cyod')	False												torr	cyod	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
130	138	2	(2, 138)	90.0	130.0	76.31513611335565	('idnr', 'cyoc')	False												idnr	cyoc	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
73	173	25	(25, 173)	90.33333333333333	73.0	75.50717405209477	('torr', 'cyoc')	False												torr	cyoc	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
67	158	47	(47, 158)	90.66666666666667	67.0	59.16361494477271	('idnr', 'tnab')	False												idnr	tnab	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
82	91	100	(82, 100)	91.0	91.0	9.0	('idnr', 'idnd')	True	1879.0	('idnr', 'idnd')		[(0, 0.028364126462887676, 0.74870923947140233), (10, 0.095327950425815378, 0.46874260714841276), (20, 0.19188317570785354, 0.15274085201242132), (30, 0.24122151127101538, 0.042711270240341728), (60, -0.045432278128858715, 0.80177175228218001), (90, 0.13169825691330347, 0.62683412061491262)]	['+']	idnr	idnd	idnr	62.0	idnd	62.0	idnr	idnd	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
51	71	152	(51, 152)	91.33333333333333	71.0	53.48208422764892	('torr', 'lon')	False												torr	lon	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
143	40	92	(40, 143)	91.66666666666667	92.0	51.50080905513362	('gade', 'ybas')	False												gade	ybas	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
52	176	50	(50, 176)	92.66666666666667	52.0	72.17571151941166	('idnr', 'ybat')	False												idnr	ybat	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
