Dionesus-rank	Lasso-rank	RandomForest-rank	range	mean-rank	median-rank	sd-rank	regulator-target	tp	index	Edge	Lag	Lag_list	Sign	parent	child	name_x	parent_cluster	name_y	child_cluster	Source	Target	moduleID	window_size	min_lag	max_lag	total_edges	pr	roc
916	653	834	(653, 916)	801.0	834.0	134.56968455042167	('soxs', 'inaa')	True	2724.0	('soxs', 'inaa')		[(0, 0.12479438765248044, 0.15716551448231797), (10, 0.2298988939823719, 0.077214575642023262), (20, 0.25446106731961177, 0.056113932976573896), (30, -0.0026146830199332504, 0.98273458491321264), (60, -0.23188877838257213, 0.19410869865677557), (90, -0.17926362580618158, 0.50649659939884084)]	['+']	soxs	inaa	soxs	0.0	inaa	0.0	soxs	inaa	0	5	0	0	125	0.12444175533328364	0.4722455726092105
951	849	612	(612, 951)	804.0	849.0	173.92239648762893	('mara', 'ydbk')	False												mara	ydbk	0	5	0	0	125	0.12444175533328364	0.4722455726092105
876	887	650	(650, 887)	804.3333333333334	876.0	133.76970259865772	('crp', 'flda')	False												crp	flda	0	5	0	0	125	0.12444175533328364	0.4722455726092105
913	673	828	(673, 913)	804.6666666666666	828.0	121.6894955751454	('puta', 'slp')	False												puta	slp	0	5	0	0	125	0.12444175533328364	0.4722455726092105
602	943	873	(602, 943)	806.0	873.0	180.10274845209887	('marr', 'flda')	False												marr	flda	0	5	0	0	125	0.12444175533328364	0.4722455726092105
803	710	906	(710, 906)	806.3333333333334	803.0	98.0425077878638	('soxs', 'acrb')	True	2719.0	('soxs', 'acrb')		[(0, 0.0043394789471593309, 0.96091926773782765), (10, 0.097089533363969263, 0.46052769653489167), (20, 0.17118408745783925, 0.20294679793291495), (30, -0.0069073599633007327, 0.95440975953805474), (60, -0.41553821992044587, 0.016175725473405282), (90, -0.33296195999798012, 0.20761615780350592)]	['+']	soxs	acrb	soxs	0.0	acrb	27.0	soxs	acrb	0	5	0	0	125	0.12444175533328364	0.4722455726092105
894	900	641	(641, 900)	811.6666666666666	894.0	147.83211198292926	('cpxr', 'fumc')	False												cpxr	fumc	0	5	0	0	125	0.12444175533328364	0.4722455726092105
846	761	829	(761, 846)	812.0	829.0	44.97777228809804	('ompr', 'fis')	False												ompr	fis	0	5	0	0	125	0.12444175533328364	0.4722455726092105
635	890	918	(635, 918)	814.3333333333334	890.0	155.93695307185317	('lrp', 'ybjc')	False												lrp	ybjc	0	5	0	0	125	0.12444175533328364	0.4722455726092105
888	702	865	(702, 888)	818.3333333333334	865.0	101.40184087743839	('soxs', 'pgi')	True	2730.0	('soxs', 'pgi')		[(0, 0.016125253745536666, 0.85551029433205206), (10, 0.31361806152040772, 0.014684079073588903), (20, 0.40500395822103541, 0.0017776980323527018), (30, 0.12801966250279309, 0.28735090679760622), (60, -0.26834250518479602, 0.13106371447137055), (90, -0.19735437665051081, 0.46378104201051096)]	['+']	soxs	pgi	soxs	0.0	pgi	0.0	soxs	pgi	0	5	0	0	125	0.12444175533328364	0.4722455726092105
906	628	922	(628, 922)	818.6666666666666	906.0	165.31585929164007	('oxyr', 'marb')	False												oxyr	marb	0	5	0	0	125	0.12444175533328364	0.4722455726092105
817	675	965	(675, 965)	819.0	817.0	145.01034445859372	('lrp', 'acrb')	False												lrp	acrb	0	5	0	0	125	0.12444175533328364	0.4722455726092105
905	881	672	(672, 905)	819.3333333333334	881.0	128.15745523898846	('soxr', 'hdeb')	False												soxr	hdeb	0	5	0	0	125	0.12444175533328364	0.4722455726092105
936	668	856	(668, 936)	820.0	856.0	137.5790681753587	('fur', 'marb')	False												fur	marb	0	5	0	0	125	0.12444175533328364	0.4722455726092105
850	944	667	(667, 944)	820.3333333333334	850.0	140.8628174265066	('fur', 'lrp')	False												fur	lrp	0	5	0	0	125	0.12444175533328364	0.4722455726092105
940	824	711	(711, 940)	825.0	824.0	114.50327506233174	('basr', 'tolc')	False												basr	tolc	0	5	0	0	125	0.12444175533328364	0.4722455726092105
814	724	940	(724, 940)	826.0	814.0	108.49884792015075	('ompr', 'mara')	False												ompr	mara	0	5	0	0	125	0.12444175533328364	0.4722455726092105
691	957	842	(691, 957)	830.0	842.0	133.4053971921676	('arca', 'yhid')	False												arca	yhid	0	5	0	0	125	0.12444175533328364	0.4722455726092105
965	802	727	(727, 965)	831.3333333333334	802.0	121.68127766149291	('fnr', 'poxb')	False												fnr	poxb	0	5	0	0	125	0.12444175533328364	0.4722455726092105
628	934	932	(628, 934)	831.3333333333334	932.0	176.09467150749717	('fur', 'crp')	False												fur	crp	0	5	0	0	125	0.12444175533328364	0.4722455726092105
741	790	970	(741, 970)	833.6666666666666	790.0	120.58330453812141	('phop', 'fumc')	False												phop	fumc	0	5	0	0	125	0.12444175533328364	0.4722455726092105
813	969	720	(720, 969)	834.0	813.0	125.82130185306461	('oxyr', 'mara')	False												oxyr	mara	0	5	0	0	125	0.12444175533328364	0.4722455726092105
732	886	886	(732, 886)	834.6666666666666	886.0	88.91194145520237	('oxyr', 'acna')	False												oxyr	acna	0	5	0	0	125	0.12444175533328364	0.4722455726092105
849	855	800	(800, 855)	834.6666666666666	849.0	30.171730698342998	('soxs', 'yhid')	False												soxs	yhid	0	5	0	0	125	0.12444175533328364	0.4722455726092105
812	772	929	(772, 929)	837.6666666666666	812.0	81.58635506831601	('puta', 'fpr')	False												puta	fpr	0	5	0	0	125	0.12444175533328364	0.4722455726092105
873	739	917	(739, 917)	843.0	873.0	92.71461589199407	('mara', 'ompn')	False												mara	ompn	0	5	0	0	125	0.12444175533328364	0.4722455726092105
638	948	944	(638, 948)	843.3333333333334	944.0	177.83512963791304	('rob', 'fis')	False												rob	fis	0	5	0	0	125	0.12444175533328364	0.4722455726092105
859	876	795	(795, 876)	843.3333333333334	859.0	42.71221527073178	('ompr', 'puta')	False												ompr	puta	0	5	0	0	125	0.12444175533328364	0.4722455726092105
760	844	927	(760, 927)	843.6666666666666	844.0	83.50049900050499	('phop', 'pqib')	False												phop	pqib	0	5	0	0	125	0.12444175533328364	0.4722455726092105
963	853	716	(716, 963)	844.0	853.0	123.7457069962429	('puta', 'flda')	False												puta	flda	0	5	0	0	125	0.12444175533328364	0.4722455726092105
907	800	826	(800, 907)	844.3333333333334	826.0	55.80621231846266	('puta', 'ompr')	False												puta	ompr	0	5	0	0	125	0.12444175533328364	0.4722455726092105
777	819	938	(777, 938)	844.6666666666666	819.0	83.51247411814198	('lrp', 'inaa')	False												lrp	inaa	0	5	0	0	125	0.12444175533328364	0.4722455726092105
968	913	658	(658, 968)	846.3333333333334	913.0	165.4035469188413	('soxs', 'ynce')	False												soxs	ynce	0	5	0	0	125	0.12444175533328364	0.4722455726092105
